"","TaskPit - 打鍵回数","ブラウザ - 打鍵回数","メール - 打鍵回数","プログラミング - 打鍵回数","ワード - 打鍵回数","プレゼン編集 - 打鍵回数","エクセル - 打鍵回数","ファイル操作 - 打鍵回数","登録外 - 打鍵回数"
"2013年02月04日09時55分","0","1","0","0","0","0","4","1","0"
"2013年02月04日10時00分","0","9","0","0","0","0","0","24","15"
"2013年02月04日10時05分","0","11","0","0","0","0","9","2","10"
"2013年02月04日10時10分","0","0","2","0","0","0","0","0","32"
"2013年02月04日10時15分","0","0","0","0","0","0","0","10","86"
"2013年02月04日10時20分","0","0","0","0","0","0","0","0","10"
"2013年02月04日10時25分","0","0","0","0","0","0","0","0","33"
"2013年02月04日10時30分","0","0","0","0","0","0","0","0","62"
"2013年02月04日10時35分","0","0","0","0","0","0","0","3","61"
"2013年02月04日10時40分","0","0","0","0","0","0","0","0","163"
"2013年02月04日10時45分","0","0","0","0","0","0","0","0","73"
"2013年02月04日10時50分","0","2","0","0","0","0","243","0","4"
"2013年02月04日10時55分","0","0","0","0","0","0","19","0","130"
"2013年02月04日11時00分","0","0","0","0","0","0","101","0","5"
"2013年02月04日11時05分","0","142","0","0","0","0","12","0","35"
"2013年02月04日11時10分","0","15","0","0","0","0","40","0","0"
"2013年02月04日11時15分","0","154","0","0","0","0","0","0","4"
"2013年02月04日11時20分","0","0","2","0","0","0","0","12","75"
"2013年02月04日11時25分","0","0","0","0","0","0","290","0","10"
"2013年02月04日11時30分","0","2","0","0","0","0","126","0","0"
"2013年02月04日11時35分","0","115","0","0","0","0","5","0","0"
"2013年02月04日11時40分","0","0","0","0","0","0","20","4","21"
"2013年02月04日11時45分","0","0","0","0","0","0","18","33","0"
"2013年02月04日11時50分","0","3","0","0","0","0","0","0","49"
"2013年02月04日11時55分","0","0","0","0","0","0","0","0","50"
"2013年02月04日12時00分","0","10","0","0","0","0","0","0","122"
"2013年02月04日12時05分","0","6","0","0","0","0","0","8","11"
"2013年02月04日12時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時15分","0","0","0","0","0","0","2","11","2"
"2013年02月04日12時20分","0","0","0","0","0","0","8","0","0"
"2013年02月04日12時25分","0","3","0","0","0","0","29","0","35"
"2013年02月04日12時30分","0","207","12","0","0","0","1","0","4"
"2013年02月04日12時35分","0","0","0","0","0","0","0","0","40"
"2013年02月04日12時40分","0","0","0","0","0","0","0","0","38"
"2013年02月04日12時45分","0","0","0","0","0","0","0","0","16"
"2013年02月04日12時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時40分","0","127","0","0","0","0","29","0","4"
"2013年02月04日13時45分","0","44","0","0","0","0","18","2","47"
"2013年02月04日13時50分","0","65","0","0","0","0","11","0","14"
"2013年02月04日13時55分","0","0","0","0","0","0","0","0","27"
"2013年02月04日14時00分","0","0","3","0","0","0","0","0","35"
"2013年02月04日14時05分","0","0","0","0","0","0","0","0","20"
"2013年02月04日14時10分","0","0","0","0","0","0","0","0","67"
"2013年02月04日14時15分","0","0","0","0","0","0","0","0","18"
"2013年02月04日14時20分","0","0","0","0","0","0","0","0","26"
"2013年02月04日14時25分","0","0","0","0","0","0","0","4","18"
"2013年02月04日14時30分","0","3","0","0","0","0","0","8","14"
"2013年02月04日14時35分","0","0","0","0","0","0","209","0","0"
"2013年02月04日14時40分","0","10","0","0","0","0","4","0","24"
"2013年02月04日14時45分","0","0","0","0","0","0","0","0","104"
"2013年02月04日14時50分","0","0","0","0","0","0","2","7","0"
"2013年02月04日14時55分","0","3","0","0","0","0","0","0","0"
"2013年02月04日15時00分","0","16","0","0","0","0","1","0","1"
"2013年02月04日15時05分","0","3","0","0","0","0","0","0","2"
"2013年02月04日15時10分","0","0","0","0","0","0","1","2","50"
"2013年02月04日15時15分","0","0","0","0","0","0","0","0","11"
"2013年02月04日15時20分","0","0","0","0","0","0","0","0","31"
"2013年02月04日15時25分","0","0","0","0","0","0","2","0","89"
"2013年02月04日15時30分","0","0","0","0","0","0","0","0","77"
"2013年02月04日15時35分","0","0","0","0","0","0","0","0","46"
"2013年02月04日15時40分","0","0","0","0","0","0","0","0","13"
"2013年02月04日15時45分","0","0","0","0","0","0","0","0","22"
"2013年02月04日15時50分","0","0","0","0","0","0","0","0","95"
"2013年02月04日15時55分","0","0","0","0","0","0","2","0","59"
"2013年02月04日16時00分","0","0","0","0","0","0","0","0","142"
"2013年02月04日16時05分","0","0","0","0","0","0","0","0","24"
"2013年02月04日16時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時15分","0","0","0","0","0","0","0","0","74"
"2013年02月04日16時20分","0","0","0","0","0","0","0","0","12"
"2013年02月04日16時25分","0","0","0","0","0","0","2","0","3"
"2013年02月04日16時30分","0","0","0","0","0","0","3","0","81"
"2013年02月04日16時35分","0","0","0","0","0","0","0","0","68"
"2013年02月04日16時40分","0","4","0","0","0","0","42","7","78"
"2013年02月04日16時45分","0","2","0","0","0","0","0","14","58"
"2013年02月04日16時50分","0","0","0","0","0","0","0","0","24"
"2013年02月04日16時55分","0","0","0","0","0","0","0","0","32"
"2013年02月04日17時00分","0","0","0","0","0","0","0","0","49"
"2013年02月04日17時05分","0","0","0","0","0","0","0","0","54"
"2013年02月04日17時10分","0","0","0","0","0","0","0","0","7"
"2013年02月04日17時15分","0","0","0","0","0","0","317","0","1"
"2013年02月04日17時20分","0","0","0","0","0","0","2","21","22"
"2013年02月04日17時25分","0","0","0","0","0","0","133","0","47"
"2013年02月04日17時30分","0","0","0","0","0","0","183","0","4"
"2013年02月04日17時35分","0","127","0","0","0","0","4","0","26"
"2013年02月04日17時40分","0","3","0","0","0","0","0","0","46"
"2013年02月04日17時45分","0","0","0","0","0","0","4","0","120"
"2013年02月04日17時50分","0","0","0","0","0","0","2","0","152"
"2013年02月04日17時55分","0","0","0","0","0","0","13","0","57"
"2013年02月04日18時00分","0","0","0","0","0","0","0","0","169"
"2013年02月04日18時05分","0","0","0","0","0","0","0","0","94"
"2013年02月04日18時10分","0","0","0","0","0","0","6","0","8"
"2013年02月04日18時15分","0","0","0","0","0","0","0","0","123"
"2013年02月04日18時20分","0","0","0","0","0","0","0","0","68"
"2013年02月04日18時25分","0","0","0","0","0","0","0","0","59"
"2013年02月04日18時30分","0","0","0","0","0","0","0","0","96"
"2013年02月04日18時35分","0","0","0","0","0","0","4","0","82"
"2013年02月04日18時40分","0","0","0","0","0","0","5","0","199"
"2013年02月04日18時45分","0","0","0","0","0","0","0","0","264"
"2013年02月04日18時50分","0","0","0","0","0","0","0","0","51"
"2013年02月04日18時55分","0","0","0","0","0","0","0","11","12"
"2013年02月04日19時00分","0","1","0","0","0","0","2","29","0"
"2013年02月04日19時05分","0","0","0","0","0","0","22","2","26"
"2013年02月04日19時10分","0","100","0","0","0","0","35","0","0"
"2013年02月04日19時15分","0","111","0","0","0","0","0","0","8"
"2013年02月05日09時00分","0","0","25","0","0","0","0","0","0"
"2013年02月05日09時05分","0","3","0","0","0","0","0","0","0"
