"","TaskPit","ブラウザ","メール","プログラミング","ワード","プレゼン編集","データ分析","ファイル操作","文書閲覧","調査","SQLサーバ","テスト","プログラミング・デバッグ","登録外"
"2013年02月04日09時50分","0","28","56","0","0","0","0","12","0","0","0","0","0","29"
"2013年02月04日09時55分","0","0","279","0","0","0","0","17","0","0","0","0","0","0"
"2013年02月04日10時00分","0","11","150","0","0","0","0","120","5","0","0","0","0","10"
"2013年02月04日10時05分","0","171","59","0","0","0","66","1","0","0","0","0","0","0"
"2013年02月04日10時10分","0","24","84","0","0","0","9","161","0","0","0","0","0","17"
"2013年02月04日10時15分","0","62","95","0","0","0","71","68","0","0","0","0","0","0"
"2013年02月04日10時20分","0","27","13","0","0","0","21","146","0","0","0","0","0","86"
"2013年02月04日10時25分","0","0","0","0","0","0","0","205","31","18","37","0","0","3"
"2013年02月04日10時30分","0","0","0","0","0","0","0","0","232","0","65","0","0","0"
"2013年02月04日10時35分","0","0","0","0","0","0","0","0","0","154","143","0","0","0"
"2013年02月04日10時40分","0","92","11","0","0","0","12","8","0","46","58","69","0","0"
"2013年02月04日10時45分","0","49","7","0","0","0","207","2","0","0","0","26","0","6"
"2013年02月04日10時50分","0","142","0","0","0","0","84","0","0","0","0","69","0","0"
"2013年02月04日10時55分","0","196","1","0","0","0","2","5","0","13","31","47","0","0"
"2013年02月04日11時00分","0","15","0","0","0","0","0","0","0","0","284","0","0","0"
"2013年02月04日11時05分","0","74","0","0","0","0","0","0","0","0","0","223","0","0"
"2013年02月04日11時10分","0","35","0","0","0","0","0","0","0","0","211","43","0","0"
"2013年02月04日11時15分","0","0","0","0","0","0","72","6","0","0","1","0","0","0"
"2013年02月04日11時20分","0","0","0","0","0","0","31","0","0","148","108","7","0","0"
"2013年02月04日11時25分","0","214","0","0","0","0","13","1","0","0","0","70","0","0"
"2013年02月04日11時30分","0","277","0","0","0","0","8","0","0","0","0","0","0","0"
"2013年02月04日11時35分","0","151","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時40分","0","118","0","0","0","0","0","0","0","0","0","31","0","0"
"2013年02月04日11時45分","0","3","1","0","0","0","193","66","0","9","0","8","0","16"
"2013年02月04日11時50分","0","0","0","0","0","0","45","173","0","81","0","0","0","0"
"2013年02月04日11時55分","0","116","0","0","0","0","0","58","0","0","0","0","0","0"
"2013年02月04日12時00分","0","282","0","0","0","0","14","0","0","0","0","0","0","0"
"2013年02月04日12時05分","0","52","0","0","0","0","189","1","0","0","0","0","0","1"
"2013年02月04日12時10分","0","40","0","0","0","0","52","38","0","0","0","0","0","3"
"2013年02月04日12時15分","0","75","0","0","0","0","131","74","0","8","0","0","0","6"
"2013年02月04日12時20分","0","0","0","0","0","0","298","1","0","0","0","0","0","0"
"2013年02月04日12時25分","0","0","0","0","0","0","209","15","24","0","0","0","0","21"
"2013年02月04日12時30分","0","0","166","0","0","0","27","0","106","0","0","0","0","0"
"2013年02月04日12時35分","0","0","51","0","0","0","218","0","0","0","0","0","0","26"
"2013年02月04日12時40分","0","0","0","0","0","0","1","207","0","0","0","0","0","0"
"2013年02月04日12時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時40分","0","0","31","0","0","0","0","88","0","0","0","1","0","0"
"2013年02月04日13時45分","0","0","0","0","0","0","0","293","0","0","0","0","0","3"
"2013年02月04日13時50分","0","111","22","0","0","0","139","4","0","0","0","0","0","21"
"2013年02月04日13時55分","0","3","1","0","0","0","49","229","0","0","0","0","0","11"
"2013年02月04日14時00分","0","19","113","0","0","0","0","67","0","8","0","0","0","0"
"2013年02月04日14時05分","0","0","86","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時50分","0","0","2","0","0","0","0","19","0","3","0","0","0","0"
"2013年02月04日14時55分","0","0","0","0","0","0","63","125","88","0","0","0","0","16"
"2013年02月04日15時00分","0","0","0","0","0","0","0","0","78","0","0","0","0","0"
"2013年02月04日15時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時10分","0","0","0","0","0","0","14","2","1","0","0","0","0","9"
"2013年02月04日15時15分","0","0","0","0","0","0","224","71","0","0","0","0","0","2"
"2013年02月04日15時20分","0","0","0","0","0","0","212","80","0","5","0","0","0","0"
"2013年02月04日15時25分","0","0","0","0","0","0","164","0","0","0","0","0","0","0"
"2013年02月04日15時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時05分","0","0","0","0","0","0","4","83","0","2","0","0","0","2"
"2013年02月04日16時10分","0","0","0","0","0","0","1","90","0","0","0","124","0","82"
