"","TaskPit","ブラウザ","メール","プログラミング","ワード","プレゼン編集","エクセル","ファイル操作","文書閲覧","調査","SQLサーバ","テスト","プログラミング・デバッグ","登録外"
"2013年02月04日10時45分","1","280","19","0","0","0","2","38","0","0","0","0","0","93"
"2013年02月04日10時50分","0","256","0","0","0","0","1","0","0","0","0","0","0","0"
"2013年02月04日10時55分","0","140","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時00分","0","55","0","0","0","0","195","46","0","0","0","0","0","0"
"2013年02月04日11時05分","0","0","21","0","0","0","248","28","0","0","0","0","0","0"
"2013年02月04日11時10分","0","0","0","0","0","0","298","0","0","0","0","0","0","0"
"2013年02月04日11時15分","0","0","5","0","0","0","95","11","0","0","0","0","0","188"
"2013年02月04日11時20分","0","0","0","0","0","0","6","16","0","0","0","0","0","274"
"2013年02月04日11時25分","0","0","16","0","0","0","29","0","0","0","0","0","0","254"
"2013年02月04日11時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","257"
"2013年02月04日11時35分","0","0","9","0","0","0","0","0","0","0","0","0","0","290"
"2013年02月04日11時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月04日11時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月04日11時50分","0","0","2","0","0","0","1","2","0","0","0","0","0","293"
"2013年02月04日11時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","46"
"2013年02月04日12時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時55分","0","4","28","0","0","0","0","2","0","0","0","0","0","104"
"2013年02月04日13時00分","0","0","31","0","0","0","0","2","0","57","0","0","0","208"
"2013年02月04日13時05分","0","0","0","0","0","0","0","0","0","28","0","0","0","199"
"2013年02月04日13時10分","0","162","22","0","0","0","107","0","0","1","0","0","0","0"
"2013年02月04日13時15分","0","0","1","0","0","0","277","20","0","0","0","0","0","1"
"2013年02月04日13時20分","0","66","0","0","0","0","218","12","0","0","0","0","0","0"
"2013年02月04日13時25分","0","51","24","0","0","0","36","84","0","3","0","15","0","83"
"2013年02月04日13時30分","0","136","51","0","0","0","40","0","0","0","0","49","0","20"
"2013年02月04日13時35分","0","87","0","0","0","0","5","29","2","0","0","0","0","2"
"2013年02月04日13時40分","0","0","0","0","0","0","202","74","0","0","0","0","0","7"
"2013年02月04日13時45分","0","0","12","0","0","0","28","30","0","0","0","22","0","26"
"2013年02月04日13時50分","0","0","6","0","0","0","206","0","0","0","0","0","0","6"
"2013年02月04日13時55分","0","2","0","0","0","0","22","99","0","0","0","79","0","70"
"2013年02月04日14時00分","0","0","0","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月04日14時05分","0","0","0","0","0","0","0","0","0","0","0","71","0","0"
"2013年02月04日14時10分","0","0","0","0","0","0","0","0","0","0","0","100","0","0"
"2013年02月04日14時15分","0","0","0","0","0","0","0","0","0","0","0","298","0","0"
"2013年02月04日14時20分","0","0","0","0","0","0","29","111","0","0","0","149","0","6"
