"","TaskPit - 左クリック","ブラウザ - 左クリック","メール - 左クリック","プログラミング - 左クリック","ワード - 左クリック","プレゼン編集 - 左クリック","エクセル - 左クリック","ファイル操作 - 左クリック","文書閲覧　 - 左クリック","調査　 - 左クリック","SQLサーバ　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ　 - 左クリック","登録外 - 左クリック"
"2013年02月04日14時10分","1","0","0","0","0","0","1","15","0","0","0","1","0","2"
"2013年02月04日14時15分","0","0","0","0","0","0","2","10","0","8","0","0","0","0"
"2013年02月04日14時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時30分","0","0","0","0","0","0","0","9","0","9","0","0","0","0"
"2013年02月04日14時35分","0","0","0","0","0","0","2","14","0","21","0","0","0","0"
"2013年02月04日14時40分","0","0","0","0","0","0","1","15","0","68","0","0","0","0"
"2013年02月04日14時45分","0","0","0","0","0","0","12","11","0","9","0","0","0","0"
"2013年02月04日14時50分","0","0","0","0","0","0","0","13","0","48","0","0","0","3"
"2013年02月04日14時55分","0","0","0","0","0","0","0","9","0","0","0","0","0","14"
"2013年02月04日15時00分","0","0","13","0","0","0","0","0","0","0","0","0","0","6"
"2013年02月04日15時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"2013年02月04日15時10分","0","0","3","0","0","0","0","5","0","0","0","0","0","34"
"2013年02月04日15時15分","0","0","4","0","0","0","0","0","0","0","0","0","0","8"
"2013年02月04日15時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"2013年02月04日15時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","32"
"2013年02月04日15時30分","0","1","0","0","0","0","0","0","0","0","0","0","0","28"
"2013年02月04日15時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","35"
"2013年02月04日15時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","28"
"2013年02月04日15時45分","0","0","0","0","0","0","0","7","0","1","0","0","0","19"
"2013年02月04日15時50分","0","1","1","0","0","0","0","35","0","9","0","0","0","1"
"2013年02月04日15時55分","0","0","0","0","0","0","0","4","0","2","0","0","0","54"
"2013年02月04日16時00分","0","0","0","0","0","0","0","2","0","22","0","0","0","21"
"2013年02月04日16時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"2013年02月04日16時10分","0","5","0","0","0","0","22","22","0","20","0","0","0","11"
"2013年02月04日16時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日19時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日19時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時55分","1","7","49","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日09時00分","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時05分","0","0","2","0","0","0","0","2","0","0","0","0","0","0"
