タスク名,開始時刻,終了時刻,左クリック,右クリック,打鍵回数
ブラウザ,2013年02月05日08時51分02秒,2013年02月05日08時51分34秒,0,0,46
ブラウザ,2013年02月05日08時51分34秒,2013年02月05日08時51分36秒,0,0,0
ブラウザ,2013年02月05日08時51分36秒,2013年02月05日08時51分38秒,0,0,0
ブラウザ,2013年02月05日08時51分38秒,2013年02月05日08時52分23秒,0,0,3
登録外,2013年02月05日08時52分23秒,2013年02月05日08時52分24秒,0,0,0
登録外,2013年02月05日08時52分24秒,2013年02月05日08時52分27秒,0,0,0
登録外,2013年02月05日08時52分27秒,2013年02月05日08時52分33秒,0,0,0
登録外,2013年02月05日08時52分33秒,2013年02月05日08時53分23秒,0,0,0
ブラウザ,2013年02月05日08時53分23秒,2013年02月05日08時53分27秒,0,0,0
ファイル操作,2013年02月05日08時53分27秒,2013年02月05日08時53分34秒,0,0,0
登録外,2013年02月05日08時53分34秒,2013年02月05日08時53分44秒,0,0,0
メール,2013年02月05日08時53分44秒,2013年02月05日08時53分45秒,0,0,0
ファイル操作,2013年02月05日08時53分45秒,2013年02月05日08時53分47秒,0,0,0
登録外,2013年02月05日08時53分47秒,2013年02月05日08時54分00秒,0,0,0
登録外,2013年02月05日08時54分00秒,2013年02月05日08時54分04秒,0,0,0
ブラウザ,2013年02月05日08時54分04秒,2013年02月05日08時54分21秒,0,0,0
登録外,2013年02月05日08時54分21秒,2013年02月05日08時54分25秒,0,0,8
登録外,2013年02月05日08時54分25秒,2013年02月05日08時54分36秒,0,0,0
ブラウザ,2013年02月05日08時54分36秒,2013年02月05日08時54分41秒,0,0,0
ブラウザ,2013年02月05日08時54分41秒,2013年02月05日08時54分44秒,0,0,3
ファイル操作,2013年02月05日08時54分44秒,2013年02月05日08時54分45秒,0,0,0
ファイル操作,2013年02月05日08時54分45秒,2013年02月05日08時54分47秒,0,0,0
ファイル操作,2013年02月05日08時54分47秒,2013年02月05日08時54分48秒,0,0,0
ファイル操作,2013年02月05日08時54分48秒,2013年02月05日08時54分51秒,0,0,0
ファイル操作,2013年02月05日08時54分51秒,2013年02月05日08時54分57秒,0,0,0
調査　,2013年02月05日08時54分57秒,2013年02月05日08時55分14秒,0,0,0
ファイル操作,2013年02月05日08時55分14秒,2013年02月05日08時55分18秒,0,0,1
ブラウザ,2013年02月05日08時55分18秒,2013年02月05日08時55分32秒,0,0,0
ファイル操作,2013年02月05日08時55分32秒,2013年02月05日08時55分37秒,0,0,0
ブラウザ,2013年02月05日08時55分37秒,2013年02月05日08時55分51秒,0,0,0
ブラウザ,2013年02月05日08時55分51秒,2013年02月05日08時56分20秒,0,0,14
ブラウザ,2013年02月05日08時56分20秒,2013年02月05日08時56分36秒,0,0,0
ブラウザ,2013年02月05日08時56分36秒,2013年02月05日08時56分41秒,0,0,0
ブラウザ,2013年02月05日08時56分41秒,2013年02月05日08時57分10秒,0,0,0
ブラウザ,2013年02月05日08時57分10秒,2013年02月05日08時57分12秒,0,0,0
ブラウザ,2013年02月05日08時57分12秒,2013年02月05日08時57分18秒,0,0,0
ブラウザ,2013年02月05日08時57分18秒,2013年02月05日08時57分21秒,0,0,0
ブラウザ,2013年02月05日08時57分21秒,2013年02月05日08時57分50秒,0,0,0
ブラウザ,2013年02月05日08時57分50秒,2013年02月05日08時57分53秒,0,0,0
ブラウザ,2013年02月05日08時57分53秒,2013年02月05日08時58分04秒,0,0,17
ブラウザ,2013年02月05日08時58分04秒,2013年02月05日08時58分12秒,0,0,0
ブラウザ,2013年02月05日08時58分12秒,2013年02月05日08時58分40秒,0,0,0
ブラウザ,2013年02月05日08時58分40秒,2013年02月05日08時58分41秒,0,0,0
ブラウザ,2013年02月05日08時58分41秒,2013年02月05日09時00分51秒,0,0,0
ブラウザ,2013年02月05日09時00分51秒,2013年02月05日09時01分04秒,0,0,0
メール,2013年02月05日09時05分18秒,2013年02月05日09時05分20秒,0,0,4
ファイル操作,2013年02月05日09時05分20秒,2013年02月05日09時05分22秒,0,0,0
登録外,2013年02月05日09時05分22秒,2013年02月05日09時05分23秒,0,0,3
登録外,2013年02月05日09時05分23秒,2013年02月05日09時05分24秒,0,0,0
ファイル操作,2013年02月05日09時05分24秒,2013年02月05日09時05分25秒,0,0,0
ファイル操作,2013年02月05日09時05分25秒,2013年02月05日09時05分31秒,0,0,0
文書閲覧　,2013年02月05日09時05分31秒,2013年02月05日09時05分32秒,0,0,0
登録外,2013年02月05日09時05分32秒,2013年02月05日09時05分33秒,0,0,0
文書閲覧　,2013年02月05日09時05分33秒,2013年02月05日09時05分37秒,0,0,5
文書閲覧　,2013年02月05日09時05分37秒,2013年02月05日09時05分38秒,0,0,0
ファイル操作,2013年02月05日09時05分38秒,2013年02月05日09時05分40秒,0,0,0
文書閲覧　,2013年02月05日09時05分40秒,2013年02月05日09時05分41秒,0,0,2
文書閲覧　,2013年02月05日09時05分41秒,2013年02月05日09時05分42秒,0,0,1
文書閲覧　,2013年02月05日09時05分42秒,2013年02月05日09時05分43秒,0,0,1
文書閲覧　,2013年02月05日09時05分43秒,2013年02月05日09時05分45秒,0,0,5
文書閲覧　,2013年02月05日09時05分45秒,2013年02月05日09時05分51秒,0,0,0
