"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"TaskPit","2013年02月05日08時54分42秒","2013年02月05日08時55分00秒","0","0","0"
"TaskPit","2013年02月05日08時55分00秒","2013年02月05日08時55分27秒","1","0","0"
"ファイル操作","2013年02月05日08時55分27秒","2013年02月05日08時55分32秒","0","0","0"
"ブラウザ","2013年02月05日08時55分32秒","2013年02月05日08時55分33秒","0","0","0"
"ブラウザ","2013年02月05日08時55分33秒","2013年02月05日08時55分44秒","2","0","0"
"ブラウザ","2013年02月05日08時55分44秒","2013年02月05日08時56分06秒","1","0","0"
"ブラウザ","2013年02月05日08時56分06秒","2013年02月05日08時56分16秒","1","0","15"
"ブラウザ","2013年02月05日08時56分16秒","2013年02月05日08時56分20秒","1","0","0"
"ブラウザ","2013年02月05日08時56分20秒","2013年02月05日08時56分23秒","1","0","0"
"ブラウザ","2013年02月05日08時56分23秒","2013年02月05日08時56分25秒","1","0","0"
"ブラウザ","2013年02月05日08時56分25秒","2013年02月05日08時56分30秒","2","0","0"
"ブラウザ","2013年02月05日08時56分30秒","2013年02月05日08時56分34秒","1","0","0"
"ブラウザ","2013年02月05日08時56分34秒","2013年02月05日08時57分05秒","1","0","28"
"ブラウザ","2013年02月05日08時57分05秒","2013年02月05日08時57分06秒","0","0","0"
"ブラウザ","2013年02月05日08時57分06秒","2013年02月05日08時57分10秒","0","0","0"
"ブラウザ","2013年02月05日08時57分10秒","2013年02月05日08時57分23秒","2","0","0"
"ブラウザ","2013年02月05日08時57分23秒","2013年02月05日08時57分26秒","1","0","0"
"ブラウザ","2013年02月05日08時57分26秒","2013年02月05日08時57分27秒","1","0","0"
"ブラウザ","2013年02月05日08時57分27秒","2013年02月05日08時57分32秒","2","0","0"
"文書閲覧　","2013年02月05日08時57分32秒","2013年02月05日08時58分25秒","1","0","0"
"ブラウザ","2013年02月05日08時58分25秒","2013年02月05日08時58分27秒","1","0","0"
"ブラウザ","2013年02月05日08時58分27秒","2013年02月05日08時58分29秒","1","0","0"
"ブラウザ","2013年02月05日08時58分29秒","2013年02月05日08時58分36秒","1","0","0"
"ファイル操作","2013年02月05日08時58分36秒","2013年02月05日08時58分39秒","2","0","0"
"ファイル操作","2013年02月05日08時58分39秒","2013年02月05日08時58分41秒","2","0","0"
"ファイル操作","2013年02月05日08時58分41秒","2013年02月05日08時58分42秒","0","0","0"
"ファイル操作","2013年02月05日08時58分42秒","2013年02月05日08時58分54秒","2","0","0"
"ファイル操作","2013年02月05日08時58分57秒","2013年02月05日08時59分39秒","2","0","0"
"ファイル操作","2013年02月05日08時59分39秒","2013年02月05日09時00分00秒","0","0","0"
"ファイル操作","2013年02月05日09時00分00秒","2013年02月05日09時00分31秒","1","0","0"
"ファイル操作","2013年02月05日09時00分31秒","2013年02月05日09時00分43秒","2","0","0"
"ファイル操作","2013年02月05日09時00分43秒","2013年02月05日09時00分49秒","2","0","0"
"ファイル操作","2013年02月05日09時00分49秒","2013年02月05日09時00分51秒","1","0","0"
"ファイル操作","2013年02月05日09時00分51秒","2013年02月05日09時00分54秒","1","0","0"
"ファイル操作","2013年02月05日09時00分54秒","2013年02月05日09時01分01秒","1","0","0"
"メール","2013年02月05日09時01分01秒","2013年02月05日09時01分03秒","1","0","0"
"メール","2013年02月05日09時01分03秒","2013年02月05日09時01分12秒","3","0","0"
"メール","2013年02月05日09時01分12秒","2013年02月05日09時01分32秒","13","0","0"
"メール","2013年02月05日09時01分32秒","2013年02月05日09時01分48秒","5","0","2"
"ファイル操作","2013年02月05日09時01分48秒","2013年02月05日09時01分49秒","1","0","0"
"ファイル操作","2013年02月05日09時01分49秒","2013年02月05日09時01分51秒","0","0","3"
"ファイル操作","2013年02月05日09時01分51秒","2013年02月05日09時01分57秒","3","0","0"
"エクセル","2013年02月05日09時01分57秒","2013年02月05日09時02分02秒","1","0","0"
"メール","2013年02月05日09時02分02秒","2013年02月05日09時02分08秒","0","0","2"
"エクセル","2013年02月05日09時02分08秒","2013年02月05日09時04分26秒","10","0","0"
"メール","2013年02月05日09時04分26秒","2013年02月05日09時04分28秒","1","0","0"
"エクセル","2013年02月05日09時04分28秒","2013年02月05日09時05分01秒","5","0","0"
