"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"TaskPit","2013年02月04日09時28分29秒","2013年02月04日09時28分32秒","0","0","0"
"ファイル操作","2013年02月04日09時28分32秒","2013年02月04日09時28分43秒","0","0","5"
"ファイル操作","2013年02月04日09時28分43秒","2013年02月04日09時28分47秒","0","0","1"
"ファイル操作","2013年02月04日09時28分47秒","2013年02月04日09時28分54秒","0","0","0"
"ファイル操作","2013年02月04日09時28分54秒","2013年02月04日09時28分55秒","0","0","0"
"ファイル操作","2013年02月04日09時28分55秒","2013年02月04日09時28分57秒","0","0","3"
"ファイル操作","2013年02月04日09時28分57秒","2013年02月04日09時28分59秒","0","0","1"
"ファイル操作","2013年02月04日09時28分59秒","2013年02月04日09時29分00秒","0","0","0"
"ファイル操作","2013年02月04日09時29分00秒","2013年02月04日09時29分01秒","0","0","0"
"ファイル操作","2013年02月04日09時29分01秒","2013年02月04日09時29分02秒","0","0","0"
"メール","2013年02月04日09時29分02秒","2013年02月04日09時29分15秒","0","0","0"
"ファイル操作","2013年02月04日09時29分15秒","2013年02月04日09時29分16秒","0","0","0"
"メール","2013年02月04日09時29分16秒","2013年02月04日09時29分22秒","0","0","0"
"ファイル操作","2013年02月04日09時29分22秒","2013年02月04日09時29分25秒","0","0","0"
"メール","2013年02月04日09時29分25秒","2013年02月04日09時29分26秒","0","0","0"
"ファイル操作","2013年02月04日09時29分26秒","2013年02月04日09時29分29秒","0","0","0"
"ファイル操作","2013年02月04日09時29分29秒","2013年02月04日09時29分46秒","0","0","2"
"メール","2013年02月04日09時29分46秒","2013年02月04日09時29分47秒","0","0","0"
"データ分析","2013年02月04日09時29分47秒","2013年02月04日09時29分48秒","0","0","0"
"データ分析","2013年02月04日09時29分48秒","2013年02月04日09時29分55秒","0","0","0"
"ファイル操作","2013年02月04日09時29分55秒","2013年02月04日09時29分57秒","0","0","0"
"データ分析","2013年02月04日09時29分57秒","2013年02月04日09時29分58秒","0","0","0"
"ファイル操作","2013年02月04日09時29分58秒","2013年02月04日09時30分00秒","0","0","0"
"ファイル操作","2013年02月04日09時30分00秒","2013年02月04日09時30分02秒","0","0","0"
"ファイル操作","2013年02月04日09時30分02秒","2013年02月04日09時30分04秒","0","0","0"
"ファイル操作","2013年02月04日09時30分04秒","2013年02月04日09時30分05秒","0","0","0"
"ファイル操作","2013年02月04日09時30分05秒","2013年02月04日09時30分07秒","0","0","0"
"ファイル操作","2013年02月04日09時30分07秒","2013年02月04日09時30分10秒","0","0","0"
"ファイル操作","2013年02月04日09時30分10秒","2013年02月04日09時30分11秒","0","0","0"
"ファイル操作","2013年02月04日09時30分11秒","2013年02月04日09時30分17秒","0","0","0"
"調査　","2013年02月04日09時30分17秒","2013年02月04日09時30分27秒","0","0","0"
"ファイル操作","2013年02月04日09時30分27秒","2013年02月04日09時30分30秒","0","0","0"
"データ分析","2013年02月04日09時30分30秒","2013年02月04日09時30分35秒","0","0","0"
"データ分析","2013年02月04日09時30分35秒","2013年02月04日09時30分36秒","0","0","0"
"データ分析","2013年02月04日09時30分36秒","2013年02月04日09時30分41秒","0","0","0"
"ファイル操作","2013年02月04日09時30分42秒","2013年02月04日09時30分43秒","0","0","0"
"ファイル操作","2013年02月04日09時30分43秒","2013年02月04日09時30分44秒","0","0","0"
"ファイル操作","2013年02月04日09時30分44秒","2013年02月04日09時30分46秒","0","0","0"
"ブラウザ","2013年02月04日09時30分46秒","2013年02月04日09時30分48秒","0","0","0"
"ファイル操作","2013年02月04日09時30分48秒","2013年02月04日09時30分49秒","0","0","0"
"登録外","2013年02月04日09時30分49秒","2013年02月04日09時30分51秒","0","0","10"
"ブラウザ","2013年02月04日09時30分51秒","2013年02月04日09時30分52秒","0","0","0"
