"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日11時30分","0","0","0","17","201","0","0","0","0","0","0"
"2013年02月05日11時35分","0","0","1","11","172","0","0","0","0","0","0"
"2013年02月05日11時40分","0","0","0","21","14","0","0","0","1","0","0"
"2013年02月05日11時45分","0","0","15","25","58","0","0","0","9","0","0"
"2013年02月05日11時50分","0","1","0","0","19","0","0","0","37","0","0"
"2013年02月05日11時55分","0","10","2","23","0","229","0","0","72","0","0"
"2013年02月05日12時00分","61","0","0","0","0","220","0","0","27","0","0"
"2013年02月05日12時05分","0","0","0","6","297","0","0","0","9","0","14"
"2013年02月05日12時10分","0","2","0","16","23","72","0","0","53","0","0"
"2013年02月05日12時15分","0","0","0","2","54","554","0","0","4","0","0"
"2013年02月05日12時20分","137","0","0","0","162","174","0","0","1","0","0"
"2013年02月05日12時25分","0","0","0","0","25","1","0","0","1","0","0"
"2013年02月05日12時30分","0","0","0","0","0","0","0","0","49","0","0"
"2013年02月05日12時35分","1","0","2","0","0","9","0","0","16","0","0"
"2013年02月05日12時40分","0","0","1","2","29","213","0","0","13","0","0"
"2013年02月05日12時45分","0","0","0","0","0","426","0","0","7","0","0"
"2013年02月05日12時50分","0","0","0","31","131","136","0","0","17","0","0"
"2013年02月05日12時55分","119","0","0","11","0","150","0","0","16","0","0"
"2013年02月05日13時00分","132","0","0","0","28","0","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","0","0","2","0","0","0","0","4"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時00分","0","1","0","26","0","0","0","0","0","0","0"
"2013年02月05日14時05分","0","0","2","67","115","0","0","0","0","0","0"
"2013年02月05日14時10分","0","0","0","6","142","0","0","0","0","0","6"
"2013年02月05日14時15分","0","0","0","0","199","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","0","166","43","0","0","0","0","0","0"
"2013年02月05日14時25分","2","1","0","0","245","2","0","0","0","0","0"
"2013年02月05日14時30分","0","0","0","0","43","287","0","0","0","0","0"
"2013年02月05日14時35分","186","0","0","0","167","56","0","0","0","0","0"
"2013年02月05日14時40分","0","0","0","0","440","0","0","0","0","0","0"
"2013年02月05日14時45分","0","1","0","0","250","0","0","0","0","0","0"
