"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月05日11時30分","0","0","14","29","105","0","0","0","0","0","3"
"2013年02月05日11時35分","0","0","5","24","269","0","0","0","0","0","0"
"2013年02月05日11時40分","0","7","0","70","145","0","0","0","27","0","0"
"2013年02月05日11時45分","10","2","16","34","120","0","0","0","114","0","2"
"2013年02月05日11時50分","0","3","2","5","46","0","0","0","241","0","0"
"2013年02月05日11時55分","17","21","5","19","3","95","0","0","132","0","3"
"2013年02月05日12時00分","56","0","2","0","7","149","0","0","81","0","0"
"2013年02月05日12時05分","0","0","0","12","199","0","0","0","81","0","5"
"2013年02月05日12時10分","0","4","7","14","59","43","0","0","168","0","1"
"2013年02月05日12時15分","0","0","0","3","36","230","0","0","28","0","1"
"2013年02月05日12時20分","76","0","0","0","127","78","0","0","9","0","3"
"2013年02月05日12時25分","64","0","0","0","88","105","0","0","39","0","0"
"2013年02月05日12時30分","0","0","4","0","0","4","0","0","290","0","0"
"2013年02月05日12時35分","14","0","16","0","2","21","0","0","242","0","0"
"2013年02月05日12時40分","0","0","6","8","27","98","0","0","156","0","0"
"2013年02月05日12時45分","0","0","0","0","0","267","0","0","26","0","3"
"2013年02月05日12時50分","0","0","0","49","82","118","0","0","48","0","0"
"2013年02月05日12時55分","95","0","0","13","8","130","0","0","41","0","9"
"2013年02月05日13時00分","88","0","11","0","56","2","0","0","2","0","133"
"2013年02月05日13時05分","1","0","0","0","0","3","0","0","0","0","126"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時00分","10","6","0","32","4","4","0","0","0","0","0"
"2013年02月05日14時05分","0","0","11","75","211","0","0","0","0","0","0"
"2013年02月05日14時10分","0","0","2","4","255","0","0","0","0","0","35"
"2013年02月05日14時15分","0","0","16","0","278","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","45","150","101","0","0","0","0","0","0"
"2013年02月05日14時25分","33","22","1","0","218","24","0","0","0","0","0"
"2013年02月05日14時30分","0","0","0","0","18","279","0","0","0","0","0"
"2013年02月05日14時35分","123","20","0","10","59","57","0","0","3","0","23"
"2013年02月05日14時40分","1","0","2","2","286","0","0","0","0","0","1"
"2013年02月05日14時45分","0","13","1","0","285","0","0","0","0","0","0"
"2013年02月05日14時50分","0","1","33","77","162","0","0","0","0","0","22"
"2013年02月05日14時55分","0","0","9","242","45","0","0","0","0","0","0"
"2013年02月05日15時00分","0","55","83","0","0","0","0","159","0","0","0"
"2013年02月05日15時05分","0","117","0","0","168","0","0","8","5","0","0"
"2013年02月05日15時10分","0","5","180","66","43","0","0","0","0","0","0"
"2013年02月05日15時15分","0","0","192","74","0","0","0","0","0","0","29"
"2013年02月05日15時20分","0","0","201","94","0","0","0","0","0","0","0"
"2013年02月05日15時25分","0","1","66","196","0","0","0","0","0","1","31"
"2013年02月05日15時30分","0","0","0","61","17","0","0","0","0","9","179"
"2013年02月05日15時35分","0","0","94","0","0","0","0","0","0","22","13"
"2013年02月05日15時40分","0","0","0","98","0","0","0","0","0","144","52"
"2013年02月05日15時45分","0","0","0","6","0","0","0","0","0","290","0"
"2013年02月05日15時50分","0","0","10","18","19","0","0","0","0","243","6"
"2013年02月05日15時55分","0","21","0","42","0","0","0","0","0","232","0"
"2013年02月05日16時00分","0","0","0","29","0","0","0","0","0","266","0"
"2013年02月05日16時05分","0","105","29","25","0","0","0","0","0","137","0"
"2013年02月05日16時10分","0","64","27","129","0","44","0","0","0","30","0"
"2013年02月05日16時15分","0","0","72","85","49","74","0","0","0","0","14"
"2013年02月05日16時20分","0","58","6","121","69","38","0","0","0","0","4"
"2013年02月05日16時25分","0","215","0","81","0","0","0","0","0","0","0"
"2013年02月05日16時30分","0","1","63","75","73","0","0","0","0","70","13"
"2013年02月05日16時35分","0","0","127","74","17","0","0","0","0","35","39"
"2013年02月05日16時40分","0","0","15","238","0","0","0","0","0","34","10"
"2013年02月05日16時45分","0","0","0","54","0","0","0","0","0","29","0"
"2013年02月05日16時50分","0","0","20","260","0","0","0","0","0","0","13"
"2013年02月05日16時55分","0","0","93","110","0","0","0","0","0","86","7"
"2013年02月05日17時00分","0","0","21","102","0","0","0","0","0","85","88"
"2013年02月05日17時05分","0","0","54","0","0","0","0","0","0","0","174"
"2013年02月05日17時10分","0","0","0","7","0","0","0","0","0","159","131"
"2013年02月05日17時15分","0","0","10","0","23","0","0","0","0","6","256"
"2013年02月05日17時20分","52","0","46","65","0","0","0","0","0","88","45"
"2013年02月05日17時25分","142","1","77","6","3","0","0","0","0","68","0"
"2013年02月05日17時30分","0","0","0","0","0","0","0","0","0","243","54"
"2013年02月05日17時35分","0","0","0","6","0","0","0","0","0","173","116"
"2013年02月05日17時40分","0","0","0","112","7","0","0","0","0","171","7"
"2013年02月05日17時45分","19","0","2","236","0","0","0","0","0","26","12"
"2013年02月05日17時50分","0","0","60","12","0","0","0","0","115","17","92"
"2013年02月05日17時55分","0","0","23","0","0","0","0","0","194","22","59"
"2013年02月05日18時00分","4","0","0","7","20","0","0","0","0","184","80"
"2013年02月05日18時05分","112","5","0","14","62","7","0","0","0","93","2"
"2013年02月05日18時10分","0","0","0","26","0","0","0","0","0","273","0"
"2013年02月05日18時15分","0","0","0","0","0","0","0","0","0","297","0"
"2013年02月05日18時20分","0","0","79","56","0","0","0","0","0","159","0"
"2013年02月05日18時25分","0","0","0","0","0","0","0","0","0","299","0"
"2013年02月05日18時30分","0","0","0","17","0","0","0","0","0","281","0"
"2013年02月05日18時35分","0","0","20","13","0","0","0","0","0","263","0"
"2013年02月05日18時40分","0","0","74","102","65","0","0","0","0","16","32"
"2013年02月05日18時45分","0","0","4","99","33","0","0","0","0","160","0"
"2013年02月05日18時50分","0","0","0","37","0","0","0","0","0","259","0"
"2013年02月05日18時55分","50","0","1","5","0","0","0","0","0","239","2"
"2013年02月05日19時00分","0","0","0","96","0","0","0","0","0","199","1"
"2013年02月05日19時05分","0","0","0","24","0","0","0","0","0","267","4"
"2013年02月05日19時10分","0","0","0","57","0","0","0","0","0","239","0"
"2013年02月05日19時15分","0","0","0","0","0","0","0","0","0","295","0"
"2013年02月05日19時20分","0","0","0","0","0","0","0","0","0","296","0"
"2013年02月05日19時25分","0","0","0","0","0","0","0","0","0","296","0"
"2013年02月05日19時30分","0","0","0","0","0","0","0","0","0","297","0"
"2013年02月05日19時35分","0","0","0","125","0","0","0","0","4","167","0"
"2013年02月05日19時40分","0","0","0","216","0","0","0","0","0","37","0"
"2013年02月05日19時45分","0","0","72","121","45","0","0","0","0","58","0"
"2013年02月05日19時50分","0","0","71","160","54","0","0","0","0","0","10"
"2013年02月05日19時55分","0","0","27","270","0","0","0","0","0","0","0"
"2013年02月05日20時00分","0","0","0","132","0","0","0","0","0","128","38"
"2013年02月05日20時05分","0","0","0","252","0","0","0","0","0","44","0"
"2013年02月05日20時10分","0","0","0","7","0","0","0","0","0","289","0"
"2013年02月05日20時15分","0","0","0","0","0","0","0","0","0","267","29"
"2013年02月05日20時20分","3","45","65","41","114","0","0","0","0","18","6"
"2013年02月05日20時25分","0","0","5","55","237","0","0","0","0","0","0"
"2013年02月05日20時30分","0","0","0","299","0","0","0","0","0","0","0"
"2013年02月05日20時35分","0","0","22","148","126","0","0","0","0","0","0"
"2013年02月05日20時40分","0","0","6","0","291","0","0","0","0","0","0"
"2013年02月05日20時45分","0","0","3","21","275","0","0","0","0","0","0"
"2013年02月05日20時50分","0","0","0","0","300","0","0","0","0","0","0"
"2013年02月05日20時55分","0","0","0","44","254","0","0","0","0","0","0"
"2013年02月05日21時00分","0","0","0","0","300","0","0","0","0","0","0"
"2013年02月05日21時05分","0","0","0","165","132","0","0","0","0","0","0"
"2013年02月05日21時10分","0","0","5","111","150","0","0","0","31","0","0"
"2013年02月05日21時15分","0","0","4","12","283","0","0","0","0","0","0"
"2013年02月05日21時20分","0","0","71","225","0","0","0","0","0","0","0"
"2013年02月05日21時25分","0","0","0","296","0","0","0","0","0","0","2"
"2013年02月05日21時30分","29","0","37","121","0","0","0","0","73","0","36"
"2013年02月05日21時35分","0","0","8","237","0","0","0","0","51","0","0"
"2013年02月05日21時40分","29","0","15","161","10","0","0","0","83","0","0"
"2013年02月05日21時45分","154","0","5","0","0","0","0","0","138","0","0"
"2013年02月05日21時50分","2","0","32","0","0","0","0","0","264","0","0"
"2013年02月05日21時55分","0","25","125","0","0","0","0","0","140","0","5"
"2013年02月05日22時00分","0","0","245","21","0","0","0","0","30","0","0"
"2013年02月05日22時05分","0","0","109","158","16","0","0","0","0","0","12"
"2013年02月05日22時10分","0","0","33","79","147","0","0","0","0","0","38"
"2013年02月05日22時15分","0","0","0","0","300","0","0","0","0","0","0"
"2013年02月05日22時20分","0","3","67","63","163","0","0","0","0","0","0"
"2013年02月05日22時25分","0","0","41","103","149","0","0","0","0","0","3"
"2013年02月05日22時30分","0","0","60","29","207","0","0","0","0","0","0"
"2013年02月05日22時35分","0","0","270","16","10","0","0","0","0","0","0"
"2013年02月05日22時40分","41","2","8","164","0","32","0","0","38","0","9"
"2013年02月05日22時45分","6","0","3","1","8","144","0","0","122","0","11"
"2013年02月05日22時50分","70","0","2","0","0","220","0","0","4","0","2"
"2013年02月05日22時55分","158","66","20","46","0","6","0","0","0","0","0"
"2013年02月05日23時00分","243","3","40","0","11","0","0","0","0","0","0"
"2013年02月05日23時05分","11","0","0","0","288","0","0","0","0","0","0"
"2013年02月05日23時10分","42","4","4","0","233","0","0","0","0","0","14"
