"","ブラウザ - 左クリック","メール - 左クリック","ファイル操作 - 左クリック","調査　 - 左クリック","ＳＱＬサーバ　 - 左クリック","エクセル - 左クリック","ワード・パワポ - 左クリック","文書閲覧　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月05日11時25分","0","4","7","0","0","0","0","0","0","0","4"
"2013年02月05日11時30分","10","8","21","0","0","19","0","0","0","6","0"
"2013年02月05日11時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時35分","0","0","0","0","0","1","0","0","0","0","1"
"2013年02月05日12時40分","3","5","9","0","0","11","9","0","0","4","3"
"2013年02月05日12時45分","0","0","8","0","0","16","0","0","0","19","0"
"2013年02月05日12時50分","0","0","0","0","0","3","0","0","0","6","0"
"2013年02月05日12時55分","0","0","0","0","0","18","0","0","0","3","0"
"2013年02月05日13時00分","0","0","0","0","0","38","0","0","0","3","0"
"2013年02月05日13時05分","0","0","0","0","0","43","0","0","0","5","0"
"2013年02月05日13時10分","0","0","0","0","0","97","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","15","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","5","0","0","0","4","0"
"2013年02月05日13時25分","0","4","1","0","0","4","0","0","0","0","0"
"2013年02月05日13時30分","0","4","0","0","0","4","0","0","0","0","0"
"2013年02月05日13時35分","0","0","2","0","0","40","0","0","0","0","13"
"2013年02月05日13時40分","1","1","36","0","0","5","0","0","28","6","4"
"2013年02月05日13時45分","8","0","0","0","0","0","0","0","7","21","3"
"2013年02月05日13時50分","0","0","1","0","0","0","0","0","24","6","30"
"2013年02月05日13時55分","0","0","0","0","0","6","0","0","0","21","1"
"2013年02月05日14時00分","0","0","0","0","0","0","0","0","5","50","5"
"2013年02月05日14時05分","2","0","0","0","0","0","0","0","0","46","0"
"2013年02月05日14時10分","0","0","0","0","0","0","0","0","0","9","2"
"2013年02月05日14時15分","0","0","61","0","0","0","0","0","0","19","0"
"2013年02月05日14時20分","0","0","12","2","0","0","0","0","0","7","47"
"2013年02月05日14時25分","0","0","3","0","0","1","0","0","1","4","1"
"2013年02月05日14時30分","0","1","27","0","0","6","0","0","2","3","7"
"2013年02月05日14時35分","0","0","66","0","0","0","0","0","0","15","4"
