"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月05日11時25分","0","57","20","0","0","0","0","0","0","0","8"
"2013年02月05日11時30分","52","14","23","0","0","152","0","0","0","55","0"
"2013年02月05日11時35分","0","0","0","0","0","146","0","0","0","0","0"
"2013年02月05日11時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時35分","0","2","0","0","0","1","0","0","0","0","2"
"2013年02月05日12時40分","3","7","9","0","0","82","183","0","0","7","4"
"2013年02月05日12時45分","0","0","9","0","0","211","0","0","0","74","0"
"2013年02月05日12時50分","0","0","0","0","0","278","0","0","0","21","0"
"2013年02月05日12時55分","0","0","0","0","0","296","0","0","0","3","0"
"2013年02月05日13時00分","0","0","0","0","0","278","0","0","0","18","0"
"2013年02月05日13時05分","0","0","0","0","0","289","0","0","0","7","0"
"2013年02月05日13時10分","0","0","0","0","0","297","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","300","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","125","0","0","0","174","0"
"2013年02月05日13時25分","0","123","1","0","0","165","0","0","0","8","0"
"2013年02月05日13時30分","0","88","0","0","0","88","0","0","0","0","1"
"2013年02月05日13時35分","0","0","9","0","0","175","0","0","0","0","113"
"2013年02月05日13時40分","1","1","69","0","0","16","0","0","146","41","12"
"2013年02月05日13時45分","118","0","0","0","0","0","0","0","38","132","9"
"2013年02月05日13時50分","0","0","2","0","0","0","0","0","83","19","194"
"2013年02月05日13時55分","0","0","0","0","0","138","0","0","0","155","3"
"2013年02月05日14時00分","0","0","1","0","0","0","0","0","19","190","87"
"2013年02月05日14時05分","1","0","0","0","0","0","0","0","0","296","0"
"2013年02月05日14時10分","0","0","0","0","0","0","0","0","0","291","8"
"2013年02月05日14時15分","0","0","205","1","0","0","0","0","0","91","0"
"2013年02月05日14時20分","0","0","36","4","0","0","0","0","0","22","233"
"2013年02月05日14時25分","0","0","13","0","0","18","0","0","1","190","26"
"2013年02月05日14時30分","0","1","105","0","0","11","0","0","2","57","12"
"2013年02月05日14時35分","0","0","82","0","0","0","0","0","0","186","29"
"2013年02月05日14時40分","0","0","144","0","0","7","0","0","0","0","143"
"2013年02月05日14時45分","0","1","35","0","0","0","0","0","0","16","200"
"2013年02月05日14時50分","0","0","33","0","0","0","0","0","0","0","265"
"2013年02月05日14時55分","0","12","75","1","0","1","0","0","0","0","205"
"2013年02月05日15時00分","0","0","9","0","0","0","0","0","0","47","241"
"2013年02月05日15時05分","0","0","0","0","0","0","0","0","0","27","272"
"2013年02月05日15時10分","0","0","19","0","0","2","0","0","0","134","141"
"2013年02月05日15時15分","88","0","132","2","0","24","0","0","0","16","24"
"2013年02月05日15時20分","0","0","107","13","0","0","27","0","0","0","148"
"2013年02月05日15時25分","0","0","44","0","0","8","0","0","0","32","212"
"2013年02月05日15時30分","0","0","0","0","0","243","0","0","0","7","47"
"2013年02月05日15時35分","13","0","56","0","0","216","0","0","0","12","0"
"2013年02月05日15時40分","0","0","143","0","0","140","0","0","0","0","14"
"2013年02月05日15時45分","0","1","112","0","0","1","0","0","0","128","55"
"2013年02月05日15時50分","0","0","183","0","0","0","0","0","0","0","0"
"2013年02月05日15時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時00分","0","0","73","0","0","12","0","0","0","0","166"
"2013年02月05日16時05分","0","0","13","0","0","141","0","0","0","17","127"
"2013年02月05日16時10分","0","0","0","0","0","55","0","0","0","10","234"
"2013年02月05日16時15分","0","0","0","0","0","0","0","0","0","27","272"
"2013年02月05日16時20分","0","0","30","0","0","0","0","0","0","62","204"
"2013年02月05日16時25分","67","0","77","0","0","0","0","0","0","1","151"
"2013年02月05日16時30分","7","0","1","0","0","25","0","0","0","0","238"
"2013年02月05日16時35分","4","1","0","0","0","0","0","0","0","31","260"
"2013年02月05日16時40分","0","0","0","0","0","15","0","0","0","110","173"
"2013年02月05日16時45分","0","0","0","0","0","5","0","0","0","38","254"
"2013年02月05日16時50分","53","0","0","0","0","0","0","0","0","16","229"
"2013年02月05日16時55分","0","0","0","0","0","9","0","0","0","44","244"
"2013年02月05日17時00分","0","2","0","0","0","48","0","0","0","65","182"
"2013年02月05日17時05分","0","0","0","0","0","0","0","0","0","84","184"
"2013年02月05日17時10分","0","10","0","0","0","186","0","0","0","61","41"
"2013年02月05日17時15分","0","0","50","0","0","129","0","0","0","5","112"
"2013年02月05日17時20分","0","0","0","0","0","0","0","0","0","21","277"
"2013年02月05日17時25分","0","0","5","0","0","63","0","0","0","33","197"
"2013年02月05日17時30分","1","1","0","0","0","184","0","0","0","6","102"
"2013年02月05日17時35分","0","0","0","0","0","237","0","0","0","11","50"
"2013年02月05日17時40分","1","1","1","0","0","178","0","0","0","40","72"
"2013年02月05日17時45分","0","0","0","0","0","156","0","0","0","114","27"
"2013年02月05日17時50分","45","0","0","0","0","164","0","0","0","53","36"
"2013年02月05日17時55分","0","0","34","0","0","111","0","0","0","0","0"
"2013年02月05日18時00分","0","0","78","0","0","139","0","0","0","80","0"
"2013年02月05日18時05分","0","0","19","0","0","13","0","0","0","186","77"
"2013年02月05日18時10分","0","0","0","0","0","0","0","0","0","5","0"
"2013年02月05日18時15分","0","0","0","0","0","0","0","0","0","173","0"
"2013年02月05日18時20分","0","1","7","0","0","25","0","0","0","264","0"
"2013年02月05日18時25分","65","0","125","0","0","35","0","0","0","22","49"
"2013年02月05日18時30分","298","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時35分","100","2","24","0","0","102","0","0","0","57","9"
"2013年02月05日18時40分","0","0","23","0","0","183","0","0","0","90","3"
"2013年02月05日18時45分","3","0","9","0","0","221","0","0","0","23","40"
"2013年02月05日18時50分","0","0","116","13","0","127","0","0","0","38","4"
"2013年02月05日18時55分","0","89","126","0","0","0","0","0","0","84","0"
"2013年02月05日19時00分","0","50","0","0","0","204","0","0","0","44","0"
"2013年02月05日19時05分","20","66","20","0","0","173","0","0","0","4","13"
