"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"登録外","2013年02月05日11時23分32秒","2013年02月05日11時23分36秒","1","0","0"
"登録外","2013年02月05日11時23分36秒","2013年02月05日11時23分41秒","3","0","0"
"メール","2013年02月05日11時23分41秒","2013年02月05日11時24分38秒","3","1","0"
"ファイル操作","2013年02月05日11時24分38秒","2013年02月05日11時24分41秒","3","0","0"
"メール","2013年02月05日11時24分41秒","2013年02月05日11時24分42秒","1","0","0"
"ファイル操作","2013年02月05日11時24分42秒","2013年02月05日11時24分44秒","1","0","2"
"ファイル操作","2013年02月05日11時24分44秒","2013年02月05日11時24分45秒","1","1","0"
"ファイル操作","2013年02月05日11時24分45秒","2013年02月05日11時25分00秒","2","0","37"
"ファイル操作","2013年02月05日11時25分00秒","2013年02月05日11時25分03秒","3","0","5"
"メール","2013年02月05日11時25分03秒","2013年02月05日11時25分04秒","0","0","0"
"ファイル操作","2013年02月05日11時25分04秒","2013年02月05日11時25分06秒","2","0","0"
"メール","2013年02月05日11時25分06秒","2013年02月05日11時25分07秒","0","0","0"
"ファイル操作","2013年02月05日11時25分07秒","2013年02月05日11時25分08秒","1","0","0"
"メール","2013年02月05日11時25分08秒","2013年02月05日11時25分16秒","3","0","0"
"ファイル操作","2013年02月05日11時25分16秒","2013年02月05日11時25分18秒","1","0","0"
"メール","2013年02月05日11時25分18秒","2013年02月05日11時25分22秒","5","0","0"
"ファイル操作","2013年02月05日11時25分22秒","2013年02月05日11時25分23秒","1","0","0"
"ファイル操作","2013年02月05日11時25分23秒","2013年02月05日11時25分30秒","7","1","0"
"ファイル操作","2013年02月05日11時25分30秒","2013年02月05日11時25分31秒","2","0","0"
"ファイル操作","2013年02月05日11時25分31秒","2013年02月05日11時25分33秒","1","0","0"
"エクセル","2013年02月05日11時25分33秒","2013年02月05日11時25分48秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日11時25分48秒","2013年02月05日11時26分43秒","6","0","0"
"ファイル操作","2013年02月05日11時26分43秒","2013年02月05日11時26分45秒","1","0","0"
"ファイル操作","2013年02月05日11時26分45秒","2013年02月05日11時26分46秒","1","0","0"
"ファイル操作","2013年02月05日11時26分46秒","2013年02月05日11時26分48秒","1","0","0"
"エクセル","2013年02月05日11時26分48秒","2013年02月05日11時26分49秒","1","0","0"
"エクセル","2013年02月05日11時26分49秒","2013年02月05日11時27分07秒","3","0","0"
"エクセル","2013年02月05日11時27分07秒","2013年02月05日11時27分22秒","5","0","0"
"ブラウザ","2013年02月05日11時27分22秒","2013年02月05日11時27分24秒","2","1","0"
"ブラウザ","2013年02月05日11時27分24秒","2013年02月05日11時27分28秒","0","0","13"
"ブラウザ","2013年02月05日11時27分28秒","2013年02月05日11時27分29秒","0","0","0"
"ブラウザ","2013年02月05日11時27分29秒","2013年02月05日11時27分30秒","0","0","0"
"ブラウザ","2013年02月05日11時27分30秒","2013年02月05日11時27分34秒","1","0","0"
"ブラウザ","2013年02月05日11時27分34秒","2013年02月05日11時27分44秒","1","0","0"
"ブラウザ","2013年02月05日11時27分44秒","2013年02月05日11時27分48秒","1","0","0"
"ブラウザ","2013年02月05日11時27分48秒","2013年02月05日11時27分52秒","1","0","0"
"ブラウザ","2013年02月05日11時27分52秒","2013年02月05日11時28分14秒","3","0","0"
"エクセル","2013年02月05日11時28分14秒","2013年02月05日11時28分17秒","1","0","0"
"ブラウザ","2013年02月05日11時28分17秒","2013年02月05日11時28分18秒","1","0","0"
"エクセル","2013年02月05日11時28分18秒","2013年02月05日11時28分54秒","1","0","0"
"エクセル","2013年02月05日11時28分54秒","2013年02月05日11時29分20秒","4","0","4"
"エクセル","2013年02月05日11時29分20秒","2013年02月05日11時29分22秒","1","0","0"
"エクセル","2013年02月05日11時29分22秒","2013年02月05日11時30分00秒","2","0","0"
"エクセル","2013年02月05日11時30分00秒","2013年02月05日11時32分26秒","0","0","0"
"エクセル","2013年02月05日12時34分54秒","2013年02月05日12時34分55秒","1","0","0"
"登録外","2013年02月05日12時34分55秒","2013年02月05日12時34分57秒","1","0","0"
"メール","2013年02月05日12時34分58秒","2013年02月05日12時35分00秒","0","0","0"
"メール","2013年02月05日12時35分00秒","2013年02月05日12時35分04秒","2","0","0"
"プログラミング・デバッグ","2013年02月05日12時35分04秒","2013年02月05日12時35分05秒","2","0","0"
"ファイル操作","2013年02月05日12時35分05秒","2013年02月05日12時35分06秒","2","0","0"
"ブラウザ","2013年02月05日12時35分07秒","2013年02月05日12時35分10秒","1","0","0"
"ブラウザ","2013年02月05日12時35分10秒","2013年02月05日12時35分11秒","2","0","0"
"メール","2013年02月05日12時35分12秒","2013年02月05日12時35分13秒","1","0","0"
"エクセル","2013年02月05日12時35分13秒","2013年02月05日12時35分14秒","1","0","0"
"登録外","2013年02月05日12時35分15秒","2013年02月05日12時35分19秒","3","0","0"
"メール","2013年02月05日12時35分19秒","2013年02月05日12時35分21秒","2","0","0"
"ファイル操作","2013年02月05日12時35分21秒","2013年02月05日12時35分26秒","3","0","0"
"ワード・パワポ","2013年02月05日12時35分26秒","2013年02月05日12時35分27秒","0","0","0"
"ワード・パワポ","2013年02月05日12時35分27秒","2013年02月05日12時35分28秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日12時35分28秒","2013年02月05日12時35分34秒","2","0","0"
"ワード・パワポ","2013年02月05日12時35分34秒","2013年02月05日12時37分38秒","5","0","0"
"ファイル操作","2013年02月05日12時37分38秒","2013年02月05日12時37分40秒","2","0","0"
"ワード・パワポ","2013年02月05日12時37分40秒","2013年02月05日12時38分37秒","2","0","0"
"ワード・パワポ","2013年02月05日12時38分37秒","2013年02月05日12時38分38秒","1","0","0"
"ファイル操作","2013年02月05日12時38分38秒","2013年02月05日12時38分39秒","2","0","0"
"エクセル","2013年02月05日12時38分39秒","2013年02月05日12時38分40秒","0","0","0"
"エクセル","2013年02月05日12時38分40秒","2013年02月05日12時40分01秒","10","0","31"
"エクセル","2013年02月05日12時40分01秒","2013年02月05日12時40分28秒","1","0","3"
"エクセル","2013年02月05日12時40分28秒","2013年02月05日12時40分30秒","2","0","0"
"ファイル操作","2013年02月05日12時40分31秒","2013年02月05日12時40分34秒","1","0","0"
"ファイル操作","2013年02月05日12時40分34秒","2013年02月05日12時40分36秒","2","0","0"
"エクセル","2013年02月05日12時40分36秒","2013年02月05日12時40分37秒","0","0","0"
"エクセル","2013年02月05日12時40分37秒","2013年02月05日12時40分40秒","0","0","5"
"エクセル","2013年02月05日12時40分40秒","2013年02月05日12時40分42秒","0","0","0"
"エクセル","2013年02月05日12時40分42秒","2013年02月05日12時41分43秒","2","0","34"
"エクセル","2013年02月05日12時41分43秒","2013年02月05日12時42分48秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日12時42分48秒","2013年02月05日12時43分59秒","16","0","0"
"ファイル操作","2013年02月05日12時43分59秒","2013年02月05日12時44分00秒","2","0","0"
"エクセル","2013年02月05日12時44分00秒","2013年02月05日12時44分01秒","0","0","0"
"エクセル","2013年02月05日12時44分01秒","2013年02月05日12時44分04秒","1","0","5"
"エクセル","2013年02月05日12時44分04秒","2013年02月05日12時44分06秒","1","0","0"
"エクセル","2013年02月05日12時44分06秒","2013年02月05日12時44分12秒","1","0","0"
"ファイル操作","2013年02月05日12時44分12秒","2013年02月05日12時44分15秒","3","0","0"
"エクセル","2013年02月05日12時44分16秒","2013年02月05日12時44分19秒","1","0","0"
"エクセル","2013年02月05日12時44分19秒","2013年02月05日12時44分25秒","4","0","1"
"エクセル","2013年02月05日12時44分25秒","2013年02月05日12時44分57秒","2","0","0"
"プログラミング・デバッグ","2013年02月05日12時44分57秒","2013年02月05日12時45分01秒","3","0","0"
"プログラミング・デバッグ","2013年02月05日12時45分01秒","2013年02月05日12時45分22秒","6","0","0"
"エクセル","2013年02月05日12時45分22秒","2013年02月05日12時50分01秒","3","0","49"
"エクセル","2013年02月05日12時50分01秒","2013年02月05日12時54分56秒","17","0","40"
"プログラミング・デバッグ","2013年02月05日12時54分56秒","2013年02月05日12時54分59秒","3","0","0"
"エクセル","2013年02月05日12時54分59秒","2013年02月05日12時55分00秒","1","0","0"
"エクセル","2013年02月05日12時55分02秒","2013年02月05日12時55分16秒","3","0","0"
"エクセル","2013年02月05日12時55分16秒","2013年02月05日12時55分27秒","6","0","2"
"プログラミング・デバッグ","2013年02月05日12時55分27秒","2013年02月05日12時55分28秒","2","0","0"
"エクセル","2013年02月05日12時55分29秒","2013年02月05日12時55分32秒","1","0","0"
"エクセル","2013年02月05日12時55分32秒","2013年02月05日12時55分36秒","2","0","0"
"エクセル","2013年02月05日12時55分36秒","2013年02月05日12時58分59秒","24","0","0"
"エクセル","2013年02月05日12時58分59秒","2013年02月05日12時59分00秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日12時59分00秒","2013年02月05日12時59分17秒","1","0","0"
"エクセル","2013年02月05日12時59分17秒","2013年02月05日12時59分19秒","1","0","0"
"エクセル","2013年02月05日12時59分19秒","2013年02月05日13時00分01秒","0","0","0"
"エクセル","2013年02月05日13時00分01秒","2013年02月05日13時00分33秒","3","0","0"
"エクセル","2013年02月05日13時00分33秒","2013年02月05日13時01分16秒","6","0","0"
"エクセル","2013年02月05日13時01分16秒","2013年02月05日13時03分29秒","20","0","0"
"エクセル","2013年02月05日13時03分29秒","2013年02月05日13時03分31秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時03分31秒","2013年02月05日13時03分38秒","5","0","0"
"エクセル","2013年02月05日13時03分38秒","2013年02月05日13時03分49秒","3","0","0"
"エクセル","2013年02月05日13時03分49秒","2013年02月05日13時04分41秒","6","0","0"
"エクセル","2013年02月05日13時04分41秒","2013年02月05日13時04分57秒","3","0","0"
"エクセル","2013年02月05日13時04分58秒","2013年02月05日13時05分01秒","1","0","0"
"エクセル","2013年02月05日13時05分01秒","2013年02月05日13時05分33秒","1","0","0"
"エクセル","2013年02月05日13時05分34秒","2013年02月05日13時05分37秒","2","0","0"
"エクセル","2013年02月05日13時05分37秒","2013年02月05日13時05分43秒","3","0","0"
"エクセル","2013年02月05日13時05分43秒","2013年02月05日13時07分10秒","5","0","0"
"エクセル","2013年02月05日13時07分10秒","2013年02月05日13時07分23秒","6","0","0"
"エクセル","2013年02月05日13時07分23秒","2013年02月05日13時07分31秒","8","0","0"
"エクセル","2013年02月05日13時07分31秒","2013年02月05日13時07分52秒","10","0","0"
"エクセル","2013年02月05日13時07分52秒","2013年02月05日13時07分53秒","1","0","0"
"エクセル","2013年02月05日13時07分53秒","2013年02月05日13時07分59秒","4","0","0"
"エクセル","2013年02月05日13時07分59秒","2013年02月05日13時08分03秒","2","0","0"
"エクセル","2013年02月05日13時08分03秒","2013年02月05日13時08分12秒","4","0","0"
"エクセル","2013年02月05日13時08分12秒","2013年02月05日13時08分15秒","5","0","0"
"エクセル","2013年02月05日13時08分15秒","2013年02月05日13時09分47秒","40","0","2"
"エクセル","2013年02月05日13時09分47秒","2013年02月05日13時09分48秒","1","0","0"
"エクセル","2013年02月05日13時09分48秒","2013年02月05日13時10分01秒","5","0","0"
"エクセル","2013年02月05日13時10分01秒","2013年02月05日13時15分02秒","15","0","48"
"エクセル","2013年02月05日13時15分02秒","2013年02月05日13時15分20秒","1","0","7"
"エクセル","2013年02月05日13時15分20秒","2013年02月05日13時15分34秒","2","0","0"
"プログラミング・デバッグ","2013年02月05日13時15分34秒","2013年02月05日13時18分28秒","4","0","0"
"エクセル","2013年02月05日13時18分28秒","2013年02月05日13時20分02秒","2","0","20"
"エクセル","2013年02月05日13時20分02秒","2013年02月05日13時21分13秒","1","0","15"
"プログラミング・デバッグ","2013年02月05日13時21分13秒","2013年02月05日13時21分21秒","0","1","0"
"ファイル操作","2013年02月05日13時21分21秒","2013年02月05日13時21分22秒","1","0","0"
"エクセル","2013年02月05日13時21分22秒","2013年02月05日13時21分24秒","1","0","0"
"エクセル","2013年02月05日13時21分24秒","2013年02月05日13時22分18秒","1","0","0"
"エクセル","2013年02月05日13時22分18秒","2013年02月05日13時22分58秒","1","0","0"
"メール","2013年02月05日13時22分58秒","2013年02月05日13時25分02秒","4","0","7"
"メール","2013年02月05日13時25分02秒","2013年02月05日13時26分23秒","0","0","0"
"登録外","2013年02月05日13時28分26秒","2013年02月05日13時28分27秒","0","0","2"
"メール","2013年02月05日13時28分27秒","2013年02月05日13時28分34秒","4","0","0"
"エクセル","2013年02月05日13時28分34秒","2013年02月05日13時30分02秒","4","0","5"
"エクセル","2013年02月05日13時30分02秒","2013年02月05日13時32分10秒","0","1","0"
"ファイル操作","2013年02月05日13時32分10秒","2013年02月05日13時32分12秒","1","0","0"
"エクセル","2013年02月05日13時32分12秒","2013年02月05日13時32分13秒","1","0","0"
"ファイル操作","2013年02月05日13時32分13秒","2013年02月05日13時32分15秒","1","0","0"
"ファイル操作","2013年02月05日13時32分15秒","2013年02月05日13時32分20秒","0","0","0"
"登録外","2013年02月05日13時32分20秒","2013年02月05日13時32分23秒","0","0","0"
"登録外","2013年02月05日13時32分23秒","2013年02月05日13時32分27秒","1","0","0"
"登録外","2013年02月05日13時32分27秒","2013年02月05日13時33分02秒","4","0","9"
"エクセル","2013年02月05日13時33分02秒","2013年02月05日13時33分04秒","1","0","0"
"登録外","2013年02月05日13時33分04秒","2013年02月05日13時34分16秒","8","1","9"
"エクセル","2013年02月05日13時34分16秒","2013年02月05日13時34分19秒","1","0","0"
"エクセル","2013年02月05日13時34分19秒","2013年02月05日13時35分02秒","37","0","0"
"エクセル","2013年02月05日13時35分02秒","2013年02月05日13時35分13秒","2","0","0"
"プログラミング・デバッグ","2013年02月05日13時35分13秒","2013年02月05日13時35分15秒","1","0","0"
"エクセル","2013年02月05日13時35分15秒","2013年02月05日13時35分16秒","1","0","0"
"登録外","2013年02月05日13時35分16秒","2013年02月05日13時35分27秒","3","0","0"
"プログラミング・デバッグ","2013年02月05日13時35分27秒","2013年02月05日13時35分29秒","1","0","0"
"エクセル","2013年02月05日13時35分38秒","2013年02月05日13時35分40秒","1","0","0"
"エクセル","2013年02月05日13時35分40秒","2013年02月05日13時35分42秒","1","0","0"
"ブラウザ","2013年02月05日13時35分42秒","2013年02月05日13時35分43秒","1","0","0"
"ファイル操作","2013年02月05日13時35分43秒","2013年02月05日13時35分45秒","1","0","0"
"ファイル操作","2013年02月05日13時35分47秒","2013年02月05日13時35分54秒","2","0","0"
"ファイル操作","2013年02月05日13時35分54秒","2013年02月05日13時35分57秒","2","0","0"
"ファイル操作","2013年02月05日13時35分57秒","2013年02月05日13時35分58秒","2","0","0"
"ファイル操作","2013年02月05日13時35分58秒","2013年02月05日13時36分02秒","3","0","0"
"ファイル操作","2013年02月05日13時36分02秒","2013年02月05日13時36分03秒","2","0","0"
"ファイル操作","2013年02月05日13時36分03秒","2013年02月05日13時36分15秒","4","0","0"
"ファイル操作","2013年02月05日13時36分15秒","2013年02月05日13時36分18秒","2","0","0"
"ファイル操作","2013年02月05日13時36分18秒","2013年02月05日13時36分28秒","3","0","0"
"ファイル操作","2013年02月05日13時36分28秒","2013年02月05日13時36分30秒","2","0","0"
"ファイル操作","2013年02月05日13時36分30秒","2013年02月05日13時36分32秒","2","0","0"
"ファイル操作","2013年02月05日13時36分32秒","2013年02月05日13時36分37秒","1","0","0"
"ファイル操作","2013年02月05日13時36分37秒","2013年02月05日13時36分39秒","4","0","0"
"ファイル操作","2013年02月05日13時36分39秒","2013年02月05日13時36分41秒","2","0","0"
"ファイル操作","2013年02月05日13時36分41秒","2013年02月05日13時36分44秒","2","0","0"
"ファイル操作","2013年02月05日13時36分44秒","2013年02月05日13時36分46秒","2","0","0"
"ファイル操作","2013年02月05日13時36分46秒","2013年02月05日13時36分47秒","0","0","0"
"ファイル操作","2013年02月05日13時36分47秒","2013年02月05日13時36分52秒","0","0","0"
"テスト　","2013年02月05日13時36分52秒","2013年02月05日13時36分59秒","1","0","8"
"ファイル操作","2013年02月05日13時36分59秒","2013年02月05日13時37分02秒","0","0","0"
"テスト　","2013年02月05日13時37分02秒","2013年02月05日13時37分14秒","2","0","0"
"テスト　","2013年02月05日13時37分14秒","2013年02月05日13時37分16秒","2","0","0"
"テスト　","2013年02月05日13時37分16秒","2013年02月05日13時37分17秒","2","0","0"
"テスト　","2013年02月05日13時37分17秒","2013年02月05日13時37分18秒","0","0","0"
"テスト　","2013年02月05日13時37分18秒","2013年02月05日13時37分19秒","1","0","0"
"テスト　","2013年02月05日13時37分19秒","2013年02月05日13時37分45秒","8","0","0"
"テスト　","2013年02月05日13時37分45秒","2013年02月05日13時37分48秒","1","1","0"
"テスト　","2013年02月05日13時37分48秒","2013年02月05日13時38分57秒","6","0","0"
"登録外","2013年02月05日13時38分57秒","2013年02月05日13時38分58秒","1","0","0"
"テスト　","2013年02月05日13時38分58秒","2013年02月05日13時38分59秒","1","0","0"
"メール","2013年02月05日13時38分59秒","2013年02月05日13時39分00秒","1","0","0"
"テスト　","2013年02月05日13時39分00秒","2013年02月05日13時39分01秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時39分01秒","2013年02月05日13時39分39秒","4","0","0"
"テスト　","2013年02月05日13時39分39秒","2013年02月05日13時40分02秒","3","0","0"
"テスト　","2013年02月05日13時40分02秒","2013年02月05日13時40分31秒","4","0","0"
"プログラミング・デバッグ","2013年02月05日13時40分32秒","2013年02月05日13時40分41秒","7","0","0"
"ブラウザ","2013年02月05日13時40分41秒","2013年02月05日13時40分43秒","1","1","0"
"ブラウザ","2013年02月05日13時40分43秒","2013年02月05日13時40分45秒","1","0","0"
"ブラウザ","2013年02月05日13時40分45秒","2013年02月05日13時40分46秒","1","0","0"
"ブラウザ","2013年02月05日13時40分46秒","2013年02月05日13時42分00秒","1","0","0"
"ブラウザ","2013年02月05日13時42分00秒","2013年02月05日13時42分01秒","0","0","0"
"ブラウザ","2013年02月05日13時42分01秒","2013年02月05日13時42分37秒","2","0","0"
"ブラウザ","2013年02月05日13時42分37秒","2013年02月05日13時42分39秒","2","0","0"
"プログラミング・デバッグ","2013年02月05日13時42分39秒","2013年02月05日13時43分09秒","6","0","0"
"プログラミング・デバッグ","2013年02月05日13時43分09秒","2013年02月05日13時43分13秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時43分13秒","2013年02月05日13時43分15秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時43分15秒","2013年02月05日13時44分43秒","6","0","0"
"テスト　","2013年02月05日13時44分43秒","2013年02月05日13時44分53秒","3","0","0"
"登録外","2013年02月05日13時44分53秒","2013年02月05日13時45分02秒","3","0","0"
"登録外","2013年02月05日13時45分02秒","2013年02月05日13時47分31秒","22","3","2"
"ファイル操作","2013年02月05日13時47分31秒","2013年02月05日13時47分33秒","1","0","0"
"登録外","2013年02月05日13時47分33秒","2013年02月05日13時48分05秒","6","0","12"
"登録外","2013年02月05日13時48分05秒","2013年02月05日13時48分08秒","1","0","0"
"テスト　","2013年02月05日13時48分08秒","2013年02月05日13時48分13秒","2","0","0"
"テスト　","2013年02月05日13時48分13秒","2013年02月05日13時48分14秒","0","0","0"
"テスト　","2013年02月05日13時48分14秒","2013年02月05日13時48分16秒","2","1","0"
"テスト　","2013年02月05日13時48分16秒","2013年02月05日13時48分17秒","1","1","0"
"テスト　","2013年02月05日13時48分17秒","2013年02月05日13時48分18秒","1","0","0"
"テスト　","2013年02月05日13時48分18秒","2013年02月05日13時48分23秒","2","0","0"
"テスト　","2013年02月05日13時48分23秒","2013年02月05日13時48分31秒","5","0","7"
"テスト　","2013年02月05日13時48分31秒","2013年02月05日13時48分51秒","6","1","4"
"テスト　","2013年02月05日13時48分51秒","2013年02月05日13時49分29秒","4","0","0"
"登録外","2013年02月05日13時49分29秒","2013年02月05日13時49分40秒","1","0","0"
"テスト　","2013年02月05日13時49分40秒","2013年02月05日13時49分43秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時49分43秒","2013年02月05日13時50分03秒","6","0","0"
"プログラミング・デバッグ","2013年02月05日13時50分03秒","2013年02月05日13時50分29秒","3","0","0"
"登録外","2013年02月05日13時50分29秒","2013年02月05日13時50分32秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時50分32秒","2013年02月05日13時51分38秒","1","0","0"
"エクセル","2013年02月05日13時51分39秒","2013年02月05日13時53分58秒","6","0","2"
"プログラミング・デバッグ","2013年02月05日13時53分58秒","2013年02月05日13時54分20秒","8","0","0"
"プログラミング・デバッグ","2013年02月05日13時54分20秒","2013年02月05日13時54分26秒","0","0","13"
"プログラミング・デバッグ","2013年02月05日13時54分26秒","2013年02月05日13時54分47秒","7","2","0"
"プログラミング・デバッグ","2013年02月05日13時54分47秒","2013年02月05日13時54分58秒","1","0","12"
"プログラミング・デバッグ","2013年02月05日13時54分58秒","2013年02月05日13時55分03秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時55分03秒","2013年02月05日13時55分04秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時55分04秒","2013年02月05日13時55分06秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時55分06秒","2013年02月05日13時55分08秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時55分08秒","2013年02月05日13時55分11秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時55分11秒","2013年02月05日13時56分21秒","9","0","44"
"登録外","2013年02月05日13時56分21秒","2013年02月05日13時57分48秒","5","0","0"
"プログラミング・デバッグ","2013年02月05日13時57分48秒","2013年02月05日13時58分25秒","9","0","33"
"プログラミング・デバッグ","2013年02月05日13時58分25秒","2013年02月05日13時58分27秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時58分27秒","2013年02月05日13時58分29秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時58分29秒","2013年02月05日13時59分09秒","6","0","46"
"テスト　","2013年02月05日13時59分09秒","2013年02月05日13時59分14秒","2","0","0"
"テスト　","2013年02月05日13時59分14秒","2013年02月05日13時59分16秒","1","0","0"
"プログラミング・デバッグ","2013年02月05日13時59分16秒","2013年02月05日13時59分19秒","2","0","0"
