"","打鍵回数","左クリック","右クリック"
"2013年02月04日09時45分","3","60","4"
"2013年02月04日09時50分","42","53","3"
"2013年02月04日09時55分","0","69","6"
"2013年02月04日10時00分","0","13","0"
"2013年02月04日10時05分","0","17","3"
"2013年02月04日10時10分","0","0","0"
"2013年02月04日10時15分","1","14","3"
"2013年02月04日10時20分","6","47","6"
"2013年02月04日10時25分","8","11","1"
"2013年02月04日10時30分","43","16","3"
"2013年02月04日10時35分","41","50","5"
"2013年02月04日10時40分","113","41","6"
"2013年02月04日10時45分","39","47","1"
"2013年02月04日10時50分","15","84","11"
"2013年02月04日10時55分","0","21","3"
"2013年02月04日11時00分","23","29","4"
"2013年02月04日11時05分","10","37","4"
"2013年02月04日11時10分","0","56","0"
"2013年02月04日11時15分","0","37","0"
"2013年02月04日11時20分","36","102","5"
"2013年02月04日11時25分","3","67","3"
"2013年02月04日11時30分","4","63","10"
"2013年02月04日11時35分","4","41","1"
"2013年02月04日11時40分","0","0","0"
"2013年02月04日11時45分","0","0","0"
"2013年02月04日11時50分","0","0","0"
"2013年02月04日11時55分","0","0","0"
"2013年02月04日12時00分","0","0","0"
"2013年02月04日12時05分","0","0","0"
"2013年02月04日12時15分","0","0","0"
"2013年02月04日12時20分","0","0","0"
"2013年02月04日12時25分","2","0","0"
"2013年02月04日12時30分","0","0","0"
"2013年02月04日12時35分","53","21","1"
"2013年02月04日12時40分","25","6","1"
"2013年02月04日12時45分","0","1","0"
"2013年02月04日12時50分","50","54","7"
"2013年02月04日12時55分","34","46","7"
"2013年02月04日13時00分","40","16","0"
"2013年02月04日13時05分","0","7","0"
"2013年02月04日13時10分","14","5","0"
"2013年02月04日13時15分","44","27","4"
"2013年02月04日13時20分","61","45","1"
"2013年02月04日13時25分","0","29","1"
"2013年02月04日13時30分","21","5","0"
"2013年02月04日13時35分","0","18","0"
"2013年02月04日13時40分","0","24","1"
"2013年02月04日13時45分","0","36","0"
"2013年02月04日13時50分","26","47","1"
"2013年02月04日13時55分","0","20","1"
"2013年02月04日14時00分","0","0","0"
"2013年02月04日14時05分","3","38","4"
"2013年02月04日14時10分","17","112","4"
"2013年02月04日14時15分","0","25","1"
"2013年02月04日14時20分","2","51","7"
"2013年02月04日14時25分","29","92","8"
"2013年02月04日14時30分","21","91","10"
"2013年02月04日14時35分","8","45","11"
"2013年02月04日14時40分","43","57","0"
"2013年02月04日14時45分","109","89","3"
"2013年02月04日14時50分","1","76","0"
"2013年02月04日14時55分","205","78","1"
"2013年02月04日15時00分","87","115","5"
"2013年02月04日15時05分","124","108","7"
"2013年02月04日15時10分","22","51","0"
"2013年02月04日15時25分","32","47","1"
"2013年02月04日15時30分","43","54","2"
"2013年02月04日15時35分","0","55","6"
"2013年02月04日15時40分","2","38","0"
"2013年02月04日15時45分","0","30","0"
"2013年02月04日15時50分","4","48","2"
"2013年02月04日15時55分","0","37","2"
"2013年02月04日16時00分","10","17","1"
"2013年02月04日16時05分","0","48","3"
"2013年02月04日16時10分","30","20","1"
"2013年02月04日16時15分","34","0","0"
"2013年02月04日16時20分","14","42","1"
"2013年02月04日16時25分","21","34","5"
"2013年02月04日16時30分","0","2","0"
"2013年02月04日16時35分","0","0","0"
"2013年02月04日16時40分","0","0","0"
"2013年02月04日16時45分","1","20","0"
"2013年02月04日16時50分","12","59","10"
"2013年02月04日16時55分","20","60","4"
"2013年02月04日17時00分","8","25","0"
"2013年02月04日17時05分","1","45","3"
"2013年02月04日17時10分","25","69","5"
"2013年02月04日17時15分","0","32","3"
"2013年02月04日17時20分","1","23","0"
"2013年02月04日17時25分","0","60","2"
"2013年02月04日17時30分","64","13","0"
"2013年02月04日17時35分","58","39","3"
"2013年02月04日17時40分","2","43","1"
"2013年02月04日17時45分","0","80","3"
"2013年02月04日17時50分","49","53","3"
"2013年02月04日17時55分","22","20","1"
"2013年02月04日18時00分","33","63","2"
"2013年02月04日18時05分","113","12","0"
"2013年02月04日18時10分","4","55","7"
"2013年02月04日18時15分","75","97","16"
"2013年02月04日18時20分","74","148","7"
"2013年02月04日18時25分","0","22","0"
"2013年02月04日18時30分","0","15","1"
"2013年02月04日18時35分","5","20","0"
"2013年02月04日18時40分","1","39","0"
"2013年02月04日18時45分","8","103","6"
"2013年02月04日18時50分","21","53","3"
"2013年02月04日18時55分","0","45","4"
"2013年02月04日19時00分","0","27","3"
"2013年02月04日19時05分","2","35","1"
"2013年02月04日19時10分","37","42","3"
"2013年02月04日19時15分","22","110","2"
"2013年02月05日09時40分","10","82","5"
"2013年02月05日09時45分","28","41","1"
"2013年02月05日09時50分","16","43","3"
"2013年02月05日09時55分","0","29","4"
"2013年02月05日10時00分","0","51","2"
"2013年02月05日10時05分","32","73","0"
"2013年02月05日10時10分","0","0","0"
"2013年02月05日10時15分","0","0","0"
"2013年02月05日10時20分","2","15","0"
"2013年02月05日10時25分","0","18","0"
"2013年02月05日10時30分","13","39","0"
"2013年02月05日10時35分","0","0","0"
"2013年02月05日10時40分","0","0","0"
"2013年02月05日10時45分","0","0","0"
"2013年02月05日10時50分","0","0","0"
"2013年02月05日10時55分","0","0","0"
"2013年02月05日11時00分","2","19","0"
"2013年02月05日11時05分","0","67","0"
"2013年02月05日11時10分","54","69","3"
"2013年02月05日11時15分","48","102","11"
"2013年02月05日11時20分","2","47","1"
