"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"ファイル操作","2013年02月04日09時41分03秒","2013年02月04日09時41分05秒","2","0","0"
"ファイル操作","2013年02月04日09時41分06秒","2013年02月04日09時41分07秒","2","0","0"
"ファイル操作","2013年02月04日09時41分07秒","2013年02月04日09時41分19秒","1","0","0"
"ファイル操作","2013年02月04日09時41分19秒","2013年02月04日09時41分21秒","1","0","0"
"ファイル操作","2013年02月04日09時41分21秒","2013年02月04日09時41分28秒","1","0","0"
"メール","2013年02月04日09時41分28秒","2013年02月04日09時41分29秒","0","0","0"
"メール","2013年02月04日09時41分29秒","2013年02月04日09時41分30秒","1","0","0"
"ファイル操作","2013年02月04日09時41分30秒","2013年02月04日09時41分32秒","2","0","0"
"ファイル操作","2013年02月04日09時41分32秒","2013年02月04日09時41分33秒","2","0","0"
"ファイル操作","2013年02月04日09時41分33秒","2013年02月04日09時41分56秒","2","0","3"
"登録外","2013年02月04日09時41分58秒","2013年02月04日09時42分11秒","3","0","0"
"メール","2013年02月04日09時42分11秒","2013年02月04日09時42分14秒","2","0","0"
"登録外","2013年02月04日09時42分14秒","2013年02月04日09時42分21秒","1","0","0"
"メール","2013年02月04日09時42分21秒","2013年02月04日09時42分23秒","0","0","0"
"登録外","2013年02月04日09時42分23秒","2013年02月04日09時42分25秒","1","0","0"
"ファイル操作","2013年02月04日09時42分25秒","2013年02月04日09時42分26秒","1","0","0"
"登録外","2013年02月04日09時42分26秒","2013年02月04日09時42分31秒","1","0","0"
"ファイル操作","2013年02月04日09時42分31秒","2013年02月04日09時42分34秒","1","0","0"
"ファイル操作","2013年02月04日09時42分34秒","2013年02月04日09時42分36秒","2","0","0"
"ファイル操作","2013年02月04日09時42分36秒","2013年02月04日09時42分38秒","0","1","0"
"ファイル操作","2013年02月04日09時42分38秒","2013年02月04日09時42分39秒","1","0","0"
"ファイル操作","2013年02月04日09時42分39秒","2013年02月04日09時42分41秒","3","0","0"
"ファイル操作","2013年02月04日09時42分41秒","2013年02月04日09時42分48秒","2","1","0"
"調査　","2013年02月04日09時42分48秒","2013年02月04日09時43分03秒","3","0","0"
"ファイル操作","2013年02月04日09時43分03秒","2013年02月04日09時43分04秒","1","0","0"
"ファイル操作","2013年02月04日09時43分04秒","2013年02月04日09時43分11秒","4","0","0"
"登録外","2013年02月04日09時43分11秒","2013年02月04日09時43分52秒","1","0","0"
"ファイル操作","2013年02月04日09時43分52秒","2013年02月04日09時43分56秒","2","0","0"
"ファイル操作","2013年02月04日09時43分56秒","2013年02月04日09時44分01秒","3","1","0"
"ファイル操作","2013年02月04日09時44分01秒","2013年02月04日09時44分02秒","1","0","0"
"ファイル操作","2013年02月04日09時44分02秒","2013年02月04日09時44分16秒","5","1","0"
"プログラミング","2013年02月04日09時44分16秒","2013年02月04日09時44分25秒","0","0","0"
"プログラミング・デバッグ　","2013年02月04日09時44分16秒","2013年02月04日09時44分25秒","0","0","0"
"プログラミング","2013年02月04日09時44分25秒","2013年02月04日09時44分28秒","3","0","0"
"プログラミング・デバッグ　","2013年02月04日09時44分25秒","2013年02月04日09時44分28秒","3","0","0"
"プログラミング","2013年02月04日09時44分28秒","2013年02月04日09時44分29秒","1","0","0"
"プログラミング・デバッグ　","2013年02月04日09時44分28秒","2013年02月04日09時44分29秒","1","0","0"
"ファイル操作","2013年02月04日09時44分29秒","2013年02月04日09時44分34秒","1","0","0"
"ファイル操作","2013年02月04日09時44分34秒","2013年02月04日09時45分00秒","3","0","0"
