"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月05日11時35分","39","0","3","27","0","0","0","0","0","0","120"
"2013年02月05日11時40分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日11時45分","7","10","0","0","0","0","0","0","0","0","282"
"2013年02月05日11時50分","0","0","0","0","0","0","0","0","10","0","287"
"2013年02月05日11時55分","0","0","1","0","0","34","0","0","111","0","76"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時40分","0","0","0","0","0","0","0","0","11","0","28"
"2013年02月05日12時45分","34","6","40","29","0","0","0","0","17","0","168"
"2013年02月05日12時50分","0","0","35","86","0","2","0","0","0","0","171"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","254"
"2013年02月05日13時00分","0","0","8","5","0","4","0","0","0","0","218"
"2013年02月05日13時05分","0","0","34","15","0","3","0","0","27","0","218"
"2013年02月05日13時10分","0","0","0","5","0","0","0","0","0","0","295"
"2013年02月05日13時15分","0","6","2","10","0","0","0","0","0","0","279"
"2013年02月05日13時20分","0","0","0","34","0","0","0","0","0","0","265"
"2013年02月05日13時25分","0","5","24","38","0","7","0","0","0","0","186"
"2013年02月05日13時30分","0","0","19","9","0","106","0","0","0","0","163"
"2013年02月05日13時35分","0","0","0","0","0","20","0","0","0","0","279"
"2013年02月05日13時40分","28","0","8","0","0","121","0","0","6","0","133"
"2013年02月05日13時45分","0","7","32","15","0","53","0","0","0","0","190"
"2013年02月05日13時50分","10","0","23","7","0","150","0","0","0","0","106"
"2013年02月05日13時55分","20","0","5","0","0","54","0","0","0","0","215"
"2013年02月05日14時00分","23","0","24","0","0","164","0","0","0","0","83"
"2013年02月05日14時05分","0","0","49","0","0","189","0","0","29","0","27"
"2013年02月05日14時10分","0","0","24","34","0","23","0","0","25","0","189"
"2013年02月05日14時15分","44","0","56","0","0","0","0","0","0","0","187"
"2013年02月05日14時20分","3","6","69","0","0","61","0","0","96","0","60"
"2013年02月05日14時25分","0","0","118","0","0","0","0","0","0","0","0"
"2013年02月05日14時30分","0","0","2","0","0","16","0","0","39","0","168"
"2013年02月05日14時35分","17","0","0","0","0","3","0","0","54","0","222"
"2013年02月05日14時40分","0","12","80","0","0","0","0","0","0","0","203"
"2013年02月05日14時45分","0","3","21","0","0","40","0","0","19","0","214"
"2013年02月05日14時50分","0","0","2","0","0","1","0","0","16","0","275"
"2013年02月05日14時55分","0","0","2","0","0","0","0","0","40","0","253"
"2013年02月05日15時00分","0","32","0","0","0","4","0","0","0","0","262"
"2013年02月05日15時05分","0","25","19","0","0","40","0","0","89","0","122"
"2013年02月05日15時10分","0","0","16","0","0","28","0","0","46","0","205"
"2013年02月05日15時15分","16","0","12","0","0","13","0","0","109","0","147"
"2013年02月05日15時20分","0","12","0","0","0","5","0","0","187","0","92"
"2013年02月05日15時25分","5","18","18","0","0","15","0","0","11","0","229"
"2013年02月05日15時30分","3","12","8","0","0","122","0","0","0","0","151"
"2013年02月05日15時35分","0","3","3","0","0","5","0","0","0","0","285"
"2013年02月05日15時40分","0","0","0","0","0","0","0","0","152","0","113"
"2013年02月05日15時45分","0","0","31","0","0","49","0","0","0","0","130"
"2013年02月05日15時50分","0","0","100","0","0","196","0","0","0","0","0"
"2013年02月05日15時55分","0","0","8","0","0","226","0","0","20","0","39"
"2013年02月05日16時00分","0","0","9","0","0","290","0","0","0","0","0"
"2013年02月05日16時05分","166","0","2","0","0","26","0","0","0","0","0"
"2013年02月05日16時10分","0","39","20","0","0","59","0","0","6","0","37"
"2013年02月05日16時15分","52","44","83","6","0","40","0","0","0","0","69"
