"","打鍵回数","左クリック","右クリック"
"2013年02月05日09時20分","0","2","0"
"2013年02月05日09時25分","38","40","0"
"2013年02月05日09時30分","24","9","0"
"2013年02月05日09時35分","89","35","0"
"2013年02月05日09時40分","113","12","0"
"2013年02月05日09時45分","150","10","0"
"2013年02月05日09時50分","8","8","0"
"2013年02月05日09時55分","531","32","0"
"2013年02月05日10時00分","470","43","0"
"2013年02月05日10時05分","33","80","3"
"2013年02月05日10時10分","69","31","0"
"2013年02月05日10時15分","0","8","0"
"2013年02月05日10時20分","26","6","0"
"2013年02月05日10時25分","2","23","0"
"2013年02月05日10時30分","396","15","0"
"2013年02月05日10時35分","20","41","0"
"2013年02月05日10時40分","49","120","5"
"2013年02月05日10時45分","83","55","1"
"2013年02月05日10時50分","111","86","0"
"2013年02月05日10時55分","47","28","0"
"2013年02月05日11時00分","270","39","0"
"2013年02月05日11時05分","70","39","0"
"2013年02月05日11時10分","348","61","0"
"2013年02月05日11時15分","114","48","0"
"2013年02月05日11時20分","74","91","1"
"2013年02月05日11時25分","114","67","0"
"2013年02月05日11時30分","33","66","0"
