"","ブラウザ - 左クリック","メール - 左クリック","ファイル操作 - 左クリック","調査　 - 左クリック","ＳＱＬサーバ　 - 左クリック","エクセル - 左クリック","ワード・パワポ - 左クリック","文書閲覧　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月06日09時25分","0","0","132","3","0","0","0","0","15","0","4"
"2013年02月06日09時30分","0","0","64","6","11","0","0","0","65","0","6"
"2013年02月06日09時35分","0","0","17","0","0","0","0","0","157","0","1"
"2013年02月06日09時40分","0","0","0","0","0","0","0","0","130","0","0"
"2013年02月06日09時45分","0","0","16","2","0","0","0","0","64","0","0"
"2013年02月06日09時50分","14","14","26","1","32","0","0","0","4","0","0"
"2013年02月06日09時55分","0","36","12","34","25","0","0","0","0","0","0"
"2013年02月06日10時00分","0","18","62","30","0","0","0","0","0","0","0"
"2013年02月06日10時05分","0","5","22","3","8","0","0","0","0","0","0"
"2013年02月06日10時10分","0","0","55","1","16","9","0","0","0","0","0"
"2013年02月06日10時15分","0","0","3","0","19","53","0","0","0","0","1"
"2013年02月06日10時20分","0","0","4","9","40","69","0","0","0","0","1"
"2013年02月06日10時25分","0","0","3","4","4","89","0","0","0","0","0"
"2013年02月06日10時30分","22","3","41","0","6","36","0","0","0","0","4"
"2013年02月06日10時35分","9","0","37","7","0","0","0","0","51","0","0"
"2013年02月06日10時40分","0","0","15","1","0","0","0","0","48","0","0"
"2013年02月06日10時45分","0","0","2","0","4","0","0","0","53","0","0"
"2013年02月06日10時50分","18","0","0","2","2","15","0","0","0","0","4"
"2013年02月06日10時55分","5","0","0","0","0","0","0","0","68","0","0"
"2013年02月06日11時00分","0","0","0","0","0","0","0","0","61","0","0"
"2013年02月06日11時05分","8","0","7","6","1","1","0","0","23","0","0"
"2013年02月06日11時10分","0","0","0","0","0","0","0","0","10","0","0"
"2013年02月06日11時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時20分","0","4","35","2","0","9","0","0","9","0","0"
"2013年02月06日11時25分","0","0","43","39","0","51","0","0","0","0","2"
"2013年02月06日11時30分","0","11","20","77","0","50","0","0","0","0","1"
"2013年02月06日11時35分","1","0","35","14","0","21","0","0","5","0","12"
"2013年02月06日11時40分","0","0","38","25","25","0","0","0","4","0","0"
"2013年02月06日11時45分","0","0","131","32","16","0","0","0","3","0","1"
"2013年02月06日11時50分","0","0","19","44","22","4","0","0","2","0","0"
"2013年02月06日11時55分","0","0","2","75","4","0","0","0","0","0","0"
"2013年02月06日12時00分","0","0","2","48","27","0","0","0","0","0","0"
"2013年02月06日12時05分","2","4","22","4","0","0","0","0","2","0","1"
"2013年02月06日12時10分","0","0","14","30","19","0","0","0","2","0","0"
"2013年02月06日12時15分","0","3","80","13","7","41","0","0","1","0","2"
"2013年02月06日12時20分","0","0","56","40","12","16","0","0","2","0","4"
"2013年02月06日12時25分","0","0","14","20","3","4","0","0","0","0","5"
"2013年02月06日12時30分","0","0","21","39","29","7","0","0","0","0","0"
"2013年02月06日12時35分","0","0","24","11","0","15","0","0","12","0","4"
"2013年02月06日12時40分","0","0","0","2","8","0","0","0","2","0","0"
"2013年02月06日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時50分","0","0","0","4","0","0","0","0","0","0","0"
"2013年02月06日13時55分","17","4","0","3","0","0","0","0","0","0","0"
"2013年02月06日14時00分","4","0","0","0","0","2","0","0","0","0","0"
"2013年02月06日14時05分","0","0","8","3","0","1","0","0","0","0","0"
"2013年02月06日14時10分","0","0","0","0","0","35","0","0","0","0","0"
"2013年02月06日14時15分","0","0","3","3","0","38","0","0","57","0","0"
"2013年02月06日14時20分","13","5","4","5","32","6","0","0","32","0","0"
"2013年02月06日14時25分","0","0","3","21","20","14","0","0","44","0","1"
"2013年02月06日14時30分","16","0","1","2","0","97","0","0","4","0","2"
"2013年02月06日14時35分","7","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時40分","1","1","6","1","0","0","0","0","0","0","0"
"2013年02月06日14時45分","0","4","64","10","10","0","0","0","1","0","4"
"2013年02月06日14時50分","0","0","56","25","1","12","0","0","6","0","2"
"2013年02月06日14時55分","0","0","80","76","0","0","0","0","0","0","0"
"2013年02月06日15時00分","0","0","9","82","0","0","0","0","0","9","0"
"2013年02月06日15時05分","0","0","68","76","0","0","0","0","0","0","0"
"2013年02月06日15時10分","0","0","51","57","7","0","0","0","0","0","0"
"2013年02月06日15時15分","0","0","9","57","28","0","0","0","1","0","0"
"2013年02月06日15時20分","0","0","8","14","35","0","0","0","4","0","0"
"2013年02月06日15時25分","0","0","0","16","64","0","0","0","0","0","0"
"2013年02月06日15時30分","0","0","0","103","22","0","0","0","0","0","0"
"2013年02月06日15時35分","1","0","21","22","8","0","0","0","3","4","3"
"2013年02月06日15時40分","0","0","10","0","0","0","0","0","0","4","0"
"2013年02月06日15時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時50分","0","0","20","0","0","0","0","0","0","9","13"
"2013年02月06日15時55分","61","0","27","10","3","0","0","0","2","0","12"
"2013年02月06日16時00分","25","0","33","64","5","0","0","0","1","0","0"
"2013年02月06日16時05分","0","0","1","43","0","0","0","0","0","0","0"
"2013年02月06日16時10分","0","0","2","35","0","0","0","0","0","0","0"
"2013年02月06日16時15分","5","0","0","29","0","0","0","0","0","0","0"
