"","ブラウザ - 右クリック","メール - 右クリック","ファイル操作 - 右クリック","調査　 - 右クリック","ＳＱＬサーバ　 - 右クリック","エクセル - 右クリック","ワード・パワポ - 右クリック","文書閲覧　 - 右クリック","テスト　 - 右クリック","プログラミング・デバッグ - 右クリック","登録外 - 右クリック"
"2013年02月06日09時25分","0","0","5","0","0","0","0","0","0","0","0"
"2013年02月06日09時30分","0","0","1","0","1","0","0","0","5","0","0"
"2013年02月06日09時35分","0","0","2","0","0","0","0","0","12","0","0"
"2013年02月06日09時40分","0","0","0","0","0","0","0","0","12","0","0"
"2013年02月06日09時45分","0","0","2","0","0","0","0","0","1","0","0"
"2013年02月06日09時50分","0","0","2","0","1","0","0","0","1","0","0"
"2013年02月06日09時55分","0","0","2","0","1","0","0","0","0","0","0"
"2013年02月06日10時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時05分","0","1","0","0","2","0","0","0","0","0","0"
"2013年02月06日10時10分","0","0","1","0","0","0","0","0","0","0","0"
"2013年02月06日10時15分","0","0","0","0","0","3","0","0","0","0","0"
"2013年02月06日10時20分","0","0","1","0","0","2","0","0","0","0","0"
"2013年02月06日10時25分","0","0","0","0","0","4","0","0","0","0","0"
"2013年02月06日10時30分","0","0","1","0","0","0","0","0","0","0","0"
"2013年02月06日10時35分","0","0","2","0","0","0","0","0","2","0","0"
"2013年02月06日10時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時50分","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月06日10時55分","0","0","0","0","0","0","0","0","1","0","0"
"2013年02月06日11時00分","0","0","0","0","0","0","0","0","1","0","0"
"2013年02月06日11時05分","0","0","1","0","0","0","0","0","1","0","0"
"2013年02月06日11時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時20分","0","0","3","0","0","0","0","0","0","0","0"
"2013年02月06日11時25分","0","0","3","0","0","0","0","0","0","0","0"
"2013年02月06日11時30分","0","1","2","0","0","0","0","0","0","0","0"
"2013年02月06日11時35分","0","0","1","0","0","0","0","0","0","0","0"
"2013年02月06日11時40分","0","0","3","0","1","0","0","0","0","0","0"
"2013年02月06日11時45分","0","0","3","0","0","0","0","0","0","0","0"
"2013年02月06日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時15分","0","0","2","0","0","0","0","0","0","0","0"
"2013年02月06日12時20分","0","0","1","0","0","0","0","0","0","0","0"
"2013年02月06日12時25分","0","0","0","1","0","0","0","0","0","0","0"
"2013年02月06日12時30分","0","0","1","0","0","0","0","0","0","0","0"
"2013年02月06日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時00分","0","0","0","0","0","0","0","0","0","0","0"
