"","打鍵回数","左クリック","右クリック"
"2013年02月05日11時35分","2","1","0"
"2013年02月05日11時40分","98","0","0"
"2013年02月05日11時45分","75","0","0"
"2013年02月05日11時50分","0","0","0"
"2013年02月05日11時55分","34","0","0"
"2013年02月05日12時00分","6","0","0"
"2013年02月05日12時05分","10","0","0"
"2013年02月05日12時10分","89","0","0"
"2013年02月05日12時15分","33","0","0"
"2013年02月05日12時20分","5","0","0"
"2013年02月05日12時25分","39","0","0"
"2013年02月05日12時30分","23","0","0"
"2013年02月05日12時35分","81","0","0"
"2013年02月05日12時40分","27","0","0"
"2013年02月05日12時45分","9","0","0"
"2013年02月05日12時50分","0","0","0"
"2013年02月05日12時55分","0","0","0"
"2013年02月05日13時00分","0","0","0"
"2013年02月05日13時05分","25","0","0"
"2013年02月05日13時10分","16","0","0"
"2013年02月05日13時15分","9","0","0"
"2013年02月05日13時20分","58","0","0"
"2013年02月05日13時25分","98","0","0"
"2013年02月05日13時30分","181","0","0"
"2013年02月05日13時35分","81","0","0"
"2013年02月05日13時40分","53","0","0"
"2013年02月05日13時45分","33","0","0"
"2013年02月05日13時50分","56","0","0"
"2013年02月05日13時55分","51","0","0"
"2013年02月05日14時00分","29","0","0"
"2013年02月05日14時05分","202","0","0"
"2013年02月05日14時10分","297","0","0"
"2013年02月05日14時15分","0","0","0"
"2013年02月05日14時20分","28","0","0"
"2013年02月05日14時25分","40","0","0"
"2013年02月05日14時30分","7","0","0"
"2013年02月05日14時35分","2","0","0"
"2013年02月05日14時40分","0","0","0"
"2013年02月05日14時45分","0","0","0"
"2013年02月05日14時50分","0","0","0"
"2013年02月05日14時55分","2","0","0"
"2013年02月05日15時00分","2","0","0"
"2013年02月05日15時05分","0","0","0"
"2013年02月05日15時10分","19","0","0"
"2013年02月05日15時15分","0","0","0"
"2013年02月05日15時20分","0","0","0"
"2013年02月05日15時25分","19","0","0"
"2013年02月05日15時30分","244","0","0"
"2013年02月05日15時35分","169","0","0"
"2013年02月05日15時40分","5","0","0"
"2013年02月05日15時45分","0","0","0"
"2013年02月05日15時50分","2","0","0"
"2013年02月05日15時55分","0","0","0"
"2013年02月05日16時00分","0","0","0"
"2013年02月05日16時05分","1","0","0"
"2013年02月05日16時10分","76","0","0"
"2013年02月05日16時15分","154","0","0"
"2013年02月05日16時20分","132","0","0"
"2013年02月05日16時25分","99","0","0"
"2013年02月05日16時30分","27","0","0"
"2013年02月05日16時35分","1","0","0"
"2013年02月05日16時40分","192","0","0"
"2013年02月05日16時45分","114","0","0"
"2013年02月05日16時50分","244","0","0"
"2013年02月05日16時55分","0","0","0"
"2013年02月05日17時00分","2","0","0"
"2013年02月05日17時05分","30","0","0"
"2013年02月05日17時10分","26","0","0"
"2013年02月05日17時15分","181","0","0"
"2013年02月05日17時20分","64","0","0"
"2013年02月05日17時25分","160","0","0"
"2013年02月05日17時30分","156","0","0"
"2013年02月05日17時35分","167","0","0"
"2013年02月05日17時40分","163","0","0"
"2013年02月05日17時45分","161","0","0"
"2013年02月05日17時50分","38","0","0"
"2013年02月05日17時55分","0","0","0"
"2013年02月05日18時00分","2","0","0"
"2013年02月05日18時05分","0","0","0"
"2013年02月05日18時10分","137","0","0"
"2013年02月05日18時15分","57","0","0"
"2013年02月05日18時20分","135","0","0"
"2013年02月05日18時25分","21","0","0"
"2013年02月05日18時30分","93","0","0"
"2013年02月05日18時35分","60","0","0"
"2013年02月05日18時40分","218","0","0"
"2013年02月05日18時45分","225","0","0"
"2013年02月05日18時50分","3","0","0"
"2013年02月05日18時55分","5","0","0"
"2013年02月05日19時00分","145","0","0"
"2013年02月05日19時05分","295","0","0"
"2013年02月05日19時10分","538","0","0"
"2013年02月05日19時15分","65","0","0"
"2013年02月05日19時20分","111","0","0"
"2013年02月05日19時25分","337","0","0"
"2013年02月05日19時30分","684","0","0"
"2013年02月05日19時35分","417","0","0"
"2013年02月06日16時30分","25","0","0"
"2013年02月06日16時35分","22","0","0"
"2013年02月06日16時40分","4","0","0"
"2013年02月06日16時45分","6","0","0"
"2013年02月06日16時50分","4","0","0"
"2013年02月06日16時55分","61","0","0"
"2013年02月06日17時00分","572","0","0"
"2013年02月06日17時05分","438","0","0"
"2013年02月06日17時10分","321","0","0"
"2013年02月06日17時15分","346","0","0"
"2013年02月06日17時20分","174","0","0"
"2013年02月06日17時25分","284","0","0"
"2013年02月06日17時30分","22","0","0"
"2013年02月06日17時35分","0","0","0"
"2013年02月06日17時40分","18","0","0"
"2013年02月06日17時45分","2","0","0"
"2013年02月06日17時50分","0","0","0"
"2013年02月06日17時55分","0","0","0"
"2013年02月06日18時00分","2","0","0"
"2013年02月06日18時05分","57","0","0"
"2013年02月06日18時10分","48","0","0"
"2013年02月06日18時15分","86","0","0"
"2013年02月06日18時20分","490","0","0"
"2013年02月06日18時25分","250","0","0"
"2013年02月06日18時30分","563","0","0"
"2013年02月06日18時35分","3","0","0"
"2013年02月06日18時40分","0","0","0"
"2013年02月06日18時45分","2","0","0"
"2013年02月06日18時50分","196","0","0"
"2013年02月06日18時55分","172","0","0"
"2013年02月06日19時00分","386","0","0"
