"","打鍵回数","左クリック","右クリック"
"2013年02月04日23時30分","0","50","0"
"2013年02月04日23時35分","18","16","2"
"2013年02月04日23時40分","4","64","2"
"2013年02月05日10時10分","1","28","2"
"2013年02月05日10時15分","1","15","0"
"2013年02月05日10時20分","2","12","0"
"2013年02月05日10時25分","0","0","0"
"2013年02月05日10時30分","0","1","0"
"2013年02月05日10時35分","0","3","0"
"2013年02月05日10時40分","0","0","0"
"2013年02月05日10時45分","3","53","1"
"2013年02月05日10時50分","0","1","0"
"2013年02月05日10時55分","0","0","0"
"2013年02月05日11時00分","0","3","0"
"2013年02月05日11時05分","0","0","0"
"2013年02月05日11時10分","0","0","0"
"2013年02月05日11時15分","0","0","0"
"2013年02月05日11時20分","0","0","0"
"2013年02月05日11時25分","0","0","0"
"2013年02月05日11時30分","0","0","0"
"2013年02月05日11時35分","4","6","0"
"2013年02月05日11時40分","0","0","0"
"2013年02月05日11時45分","0","1","0"
"2013年02月05日11時50分","0","0","0"
"2013年02月05日11時55分","0","0","0"
"2013年02月05日12時00分","0","0","0"
"2013年02月05日12時05分","0","0","0"
"2013年02月05日12時10分","0","0","0"
"2013年02月05日12時15分","3","17","0"
"2013年02月05日12時20分","0","0","0"
"2013年02月05日12時25分","1","6","0"
"2013年02月05日12時30分","0","0","0"
"2013年02月05日12時35分","0","0","0"
"2013年02月05日12時40分","0","8","0"
"2013年02月05日12時45分","6","5","0"
"2013年02月05日12時50分","0","0","0"
"2013年02月05日12時55分","0","2","0"
"2013年02月05日13時00分","0","0","0"
"2013年02月05日13時05分","32","6","0"
"2013年02月05日13時10分","0","0","0"
"2013年02月05日13時15分","0","0","0"
"2013年02月05日13時20分","0","0","0"
"2013年02月05日13時25分","0","0","0"
"2013年02月05日13時30分","0","0","0"
"2013年02月05日13時35分","0","0","0"
"2013年02月05日13時40分","0","0","0"
"2013年02月05日13時45分","0","0","0"
"2013年02月05日13時50分","0","0","0"
"2013年02月05日13時55分","0","0","0"
"2013年02月05日14時00分","0","0","0"
"2013年02月05日14時05分","0","0","0"
"2013年02月05日14時10分","0","0","0"
"2013年02月05日14時15分","0","0","0"
"2013年02月05日14時20分","0","0","0"
"2013年02月05日14時25分","0","0","0"
"2013年02月05日14時30分","0","0","0"
"2013年02月05日14時35分","0","0","0"
"2013年02月05日14時40分","0","0","0"
"2013年02月05日14時45分","0","0","0"
"2013年02月05日14時50分","201","10","1"
"2013年02月05日14時55分","106","26","5"
"2013年02月05日15時00分","10","7","2"
"2013年02月05日15時05分","0","0","0"
"2013年02月05日15時10分","0","2","0"
"2013年02月05日15時15分","1","16","0"
"2013年02月05日15時20分","0","0","0"
"2013年02月05日15時25分","0","0","0"
"2013年02月05日15時30分","1","0","0"
"2013年02月05日15時35分","0","0","0"
"2013年02月05日15時40分","0","4","0"
"2013年02月05日15時45分","0","9","0"
"2013年02月05日15時50分","1","10","0"
"2013年02月05日15時55分","0","0","0"
"2013年02月05日16時00分","0","0","0"
"2013年02月05日16時05分","0","0","0"
"2013年02月05日16時10分","1","4","0"
"2013年02月05日16時15分","0","0","0"
"2013年02月05日16時20分","0","11","0"
"2013年02月05日16時25分","0","6","0"
"2013年02月05日16時30分","0","7","0"
"2013年02月05日16時35分","0","1","0"
"2013年02月05日16時40分","0","0","0"
"2013年02月05日16時45分","0","0","0"
"2013年02月05日16時50分","0","0","0"
"2013年02月05日16時55分","1","0","0"
"2013年02月05日17時00分","0","10","0"
"2013年02月05日17時05分","0","0","0"
"2013年02月05日17時10分","0","0","0"
"2013年02月05日17時15分","0","0","0"
"2013年02月05日17時20分","52","78","4"
"2013年02月05日17時25分","29","25","1"
"2013年02月05日17時30分","0","26","0"
"2013年02月05日17時35分","0","0","0"
"2013年02月05日17時40分","0","0","0"
"2013年02月05日17時45分","2","28","0"
"2013年02月05日17時50分","6","11","0"
"2013年02月05日17時55分","0","0","0"
"2013年02月05日18時00分","0","0","0"
"2013年02月05日18時05分","0","0","0"
"2013年02月05日18時10分","0","0","0"
"2013年02月05日18時15分","0","0","0"
"2013年02月05日18時20分","0","0","0"
"2013年02月05日18時25分","0","0","0"
"2013年02月05日18時30分","1","5","0"
"2013年02月05日18時35分","0","2","0"
"2013年02月05日18時40分","0","0","0"
"2013年02月05日18時45分","0","7","0"
"2013年02月05日18時50分","0","9","0"
