"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"TaskPit","2013年02月05日11時02分15秒","2013年02月05日11時02分41秒","1","0","0"
"TaskPit","2013年02月05日11時02分44秒","2013年02月05日11時02分55秒","0","0","0"
"メール","2013年02月05日11時02分55秒","2013年02月05日11時02分56秒","0","0","0"
"メール","2013年02月05日11時02分56秒","2013年02月05日11時03分02秒","0","0","5"
"ファイル操作","2013年02月05日11時03分02秒","2013年02月05日11時03分05秒","1","0","0"
"メール","2013年02月05日11時03分05秒","2013年02月05日11時06分01秒","19","0","0"
"メール","2013年02月05日11時06分01秒","2013年02月05日11時06分07秒","4","0","0"
"メール","2013年02月05日11時06分07秒","2013年02月05日11時06分11秒","5","0","0"
"ファイル操作","2013年02月05日11時06分11秒","2013年02月05日11時06分46秒","1","0","0"
"メール","2013年02月05日11時06分47秒","2013年02月05日11時06分49秒","1","0","0"
"ファイル操作","2013年02月05日11時06分50秒","2013年02月05日11時06分51秒","0","0","0"
"ブラウザ","2013年02月05日11時06分51秒","2013年02月05日11時06分52秒","0","0","0"
"ブラウザ","2013年02月05日11時06分52秒","2013年02月05日11時07分17秒","1","0","0"
"ファイル操作","2013年02月05日11時07分17秒","2013年02月05日11時07分21秒","2","0","0"
"ブラウザ","2013年02月05日11時07分21秒","2013年02月05日11時07分23秒","0","0","3"
"ブラウザ","2013年02月05日11時07分45秒","2013年02月05日11時08分00秒","1","0","0"
"ブラウザ","2013年02月05日11時08分00秒","2013年02月05日11時08分02秒","1","0","0"
"ブラウザ","2013年02月05日11時08分02秒","2013年02月05日11時09分05秒","12","0","23"
"ブラウザ","2013年02月05日11時09分05秒","2013年02月05日11時09分08秒","2","0","0"
"ブラウザ","2013年02月05日11時09分08秒","2013年02月05日11時09分15秒","2","0","0"
"ブラウザ","2013年02月05日11時09分15秒","2013年02月05日11時09分16秒","1","0","0"
"ブラウザ","2013年02月05日11時09分16秒","2013年02月05日11時09分19秒","2","0","0"
"ブラウザ","2013年02月05日11時09分19秒","2013年02月05日11時09分21秒","1","0","0"
"ブラウザ","2013年02月05日11時09分21秒","2013年02月05日11時10分00秒","8","0","15"
"ブラウザ","2013年02月05日11時10分00秒","2013年02月05日11時10分06秒","1","0","1"
"ブラウザ","2013年02月05日11時10分06秒","2013年02月05日11時10分07秒","0","0","0"
"ブラウザ","2013年02月05日11時10分07秒","2013年02月05日11時10分10秒","0","0","0"
"ブラウザ","2013年02月05日11時10分10秒","2013年02月05日11時10分14秒","1","0","0"
