"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"TaskPit","2013年02月04日14時06分41秒","2013年02月04日14時07分03秒","0","0","0"
"登録外","2013年02月04日14時07分03秒","2013年02月04日14時07分48秒","2","0","0"
"ファイル操作","2013年02月04日14時07分48秒","2013年02月04日14時07分49秒","0","0","0"
"テスト　","2013年02月04日14時07分49秒","2013年02月04日14時07分54秒","1","0","0"
"TaskPit","2013年02月04日14時07分54秒","2013年02月04日14時08分22秒","1","0","0"
"ファイル操作","2013年02月04日14時08分22秒","2013年02月04日14時08分31秒","1","0","2"
"ファイル操作","2013年02月04日14時08分31秒","2013年02月04日14時08分53秒","1","0","20"
"ファイル操作","2013年02月04日14時08分53秒","2013年02月04日14時08分56秒","2","0","0"
"ファイル操作","2013年02月04日14時08分56秒","2013年02月04日14時09分00秒","2","0","0"
"ファイル操作","2013年02月04日14時09分00秒","2013年02月04日14時09分02秒","2","0","0"
"ファイル操作","2013年02月04日14時09分02秒","2013年02月04日14時09分04秒","2","0","0"
"ファイル操作","2013年02月04日14時09分04秒","2013年02月04日14時09分05秒","2","0","0"
"ファイル操作","2013年02月04日14時09分05秒","2013年02月04日14時09分33秒","3","0","0"
"エクセル","2013年02月04日14時09分33秒","2013年02月04日14時09分39秒","1","0","0"
"エクセル","2013年02月04日14時09分39秒","2013年02月04日14時10分00秒","0","0","0"
"エクセル","2013年02月04日14時10分00秒","2013年02月04日14時10分06秒","1","0","0"
"エクセル","2013年02月04日14時10分06秒","2013年02月04日14時10分07秒","1","0","0"
"ファイル操作","2013年02月04日14時10分07秒","2013年02月04日14時10分09秒","1","0","0"
"ファイル操作","2013年02月04日14時10分09秒","2013年02月04日14時10分20秒","2","0","0"
"ファイル操作","2013年02月04日14時10分20秒","2013年02月04日14時10分23秒","2","0","0"
"ファイル操作","2013年02月04日14時10分23秒","2013年02月04日14時10分35秒","2","1","0"
"調査　","2013年02月04日14時10分35秒","2013年02月04日14時11分03秒","3","0","3"
"調査　","2013年02月04日14時11分03秒","2013年02月04日14時11分29秒","1","0","23"
"調査　","2013年02月04日14時11分29秒","2013年02月04日14時11分32秒","1","0","0"
"調査　","2013年02月04日14時11分32秒","2013年02月04日14時11分44秒","2","0","12"
"調査　","2013年02月04日14時11分44秒","2013年02月04日14時11分45秒","0","0","0"
"調査　","2013年02月04日14時11分45秒","2013年02月04日14時11分47秒","1","0","0"
"ファイル操作","2013年02月04日14時11分47秒","2013年02月04日14時11分51秒","2","0","0"
"ファイル操作","2013年02月04日14時11分51秒","2013年02月04日14時12分09秒","1","0","0"
"調査　","2013年02月04日14時12分09秒","2013年02月04日14時12分10秒","0","0","0"
"調査　","2013年02月04日14時12分10秒","2013年02月04日14時15分00秒","0","0","3"
"調査　","2013年02月04日14時15分00秒","2013年02月04日14時15分13秒","0","0","0"
"調査　","2013年02月04日14時25分00秒","2013年02月04日14時26分08秒","2","0","0"
"調査　","2013年02月04日14時26分08秒","2013年02月04日14時26分10秒","1","0","0"
"ファイル操作","2013年02月04日14時26分10秒","2013年02月04日14時26分17秒","2","0","0"
"ファイル操作","2013年02月04日14時26分17秒","2013年02月04日14時26分23秒","1","0","0"
"調査　","2013年02月04日14時26分23秒","2013年02月04日14時26分31秒","0","0","0"
"調査　","2013年02月04日14時26分31秒","2013年02月04日14時27分26秒","2","0","7"
"調査　","2013年02月04日14時27分26秒","2013年02月04日14時28分10秒","1","0","38"
"調査　","2013年02月04日14時28分10秒","2013年02月04日14時28分12秒","1","0","0"
"ファイル操作","2013年02月04日14時28分12秒","2013年02月04日14時28分25秒","5","0","0"
"ファイル操作","2013年02月04日14時28分25秒","2013年02月04日14時28分29秒","1","0","0"
