"","打鍵回数","左クリック","右クリック"
"2013年02月01日21時05分","439","52","3"
"2013年02月01日21時10分","13","48","1"
"2013年02月04日10時35分","4","0","0"
"2013年02月04日10時40分","71","0","0"
"2013年02月04日10時45分","87","0","0"
"2013年02月04日10時50分","20","0","0"
"2013年02月04日10時55分","332","0","0"
"2013年02月04日11時00分","238","0","0"
"2013年02月04日11時05分","782","0","0"
"2013年02月04日11時10分","547","0","0"
"2013年02月04日11時15分","199","0","0"
"2013年02月04日11時20分","285","0","0"
"2013年02月04日11時25分","52","0","0"
"2013年02月04日11時30分","96","0","0"
"2013年02月04日11時35分","60","0","0"
"2013年02月04日11時40分","154","0","0"
"2013年02月04日11時45分","146","0","0"
"2013年02月04日11時50分","99","0","0"
"2013年02月04日11時55分","2","0","0"
"2013年02月04日12時00分","1","0","0"
"2013年02月04日12時05分","52","0","0"
"2013年02月04日12時10分","33","0","0"
"2013年02月04日12時15分","63","0","0"
"2013年02月04日12時20分","82","0","0"
"2013年02月04日12時25分","10","0","0"
"2013年02月04日12時30分","0","0","0"
"2013年02月04日12時35分","71","0","0"
"2013年02月04日12時40分","18","0","0"
"2013年02月04日12時45分","0","0","0"
"2013年02月04日12時50分","0","0","0"
"2013年02月04日12時55分","0","0","0"
"2013年02月04日13時00分","0","0","0"
"2013年02月04日13時05分","0","0","0"
"2013年02月04日13時10分","0","0","0"
"2013年02月04日13時15分","0","0","0"
"2013年02月04日13時20分","0","0","0"
"2013年02月04日13時25分","0","0","0"
"2013年02月04日13時30分","0","0","0"
"2013年02月04日13時35分","0","0","0"
"2013年02月04日13時40分","14","0","0"
"2013年02月04日13時45分","225","0","0"
"2013年02月04日13時50分","190","0","0"
"2013年02月04日13時55分","13","0","0"
"2013年02月04日14時00分","0","0","0"
"2013年02月04日14時05分","2","0","0"
"2013年02月04日14時10分","0","0","0"
"2013年02月04日14時15分","0","0","0"
"2013年02月04日14時20分","0","0","0"
"2013年02月04日14時25分","0","0","0"
"2013年02月04日14時30分","0","0","0"
"2013年02月04日14時35分","0","0","0"
"2013年02月04日14時40分","0","0","0"
"2013年02月04日14時45分","0","0","0"
"2013年02月04日14時50分","0","0","0"
"2013年02月04日14時55分","0","0","0"
"2013年02月04日15時00分","0","0","0"
"2013年02月04日15時05分","0","0","0"
"2013年02月04日15時10分","0","0","0"
"2013年02月04日15時15分","101","0","0"
"2013年02月04日15時20分","184","0","0"
"2013年02月04日15時25分","0","0","0"
"2013年02月04日15時30分","0","0","0"
"2013年02月04日15時35分","0","0","0"
"2013年02月04日15時40分","0","0","0"
"2013年02月04日15時45分","0","0","0"
"2013年02月04日15時50分","0","0","0"
"2013年02月04日15時55分","0","0","0"
"2013年02月04日16時00分","0","0","0"
"2013年02月04日16時05分","0","0","0"
"2013年02月04日16時10分","0","0","0"
"2013年02月04日16時15分","0","0","0"
"2013年02月04日16時20分","0","0","0"
"2013年02月04日16時25分","0","0","0"
"2013年02月04日16時30分","0","0","0"
"2013年02月04日16時35分","15","0","0"
"2013年02月04日16時40分","21","0","0"
"2013年02月04日16時45分","7","0","0"
"2013年02月04日16時50分","13","0","0"
"2013年02月04日16時55分","906","0","0"
"2013年02月04日17時00分","83","0","0"
"2013年02月04日17時05分","13","0","0"
"2013年02月04日17時10分","139","0","0"
"2013年02月04日17時15分","187","0","0"
"2013年02月04日17時20分","32","0","0"
"2013年02月04日17時25分","0","0","0"
"2013年02月04日17時30分","149","0","0"
"2013年02月04日17時35分","414","0","0"
"2013年02月04日17時40分","39","0","0"
"2013年02月04日17時45分","421","0","0"
"2013年02月04日17時50分","399","0","0"
"2013年02月04日17時55分","472","0","0"
"2013年02月04日18時00分","265","0","0"
"2013年02月04日18時05分","198","0","0"
"2013年02月04日18時10分","171","0","0"
"2013年02月04日18時15分","9","0","0"
"2013年02月04日18時20分","1","0","0"
"2013年02月04日18時25分","43","0","0"
"2013年02月04日18時30分","87","0","0"
"2013年02月04日18時35分","416","0","0"
"2013年02月04日18時40分","626","0","0"
"2013年02月04日18時45分","286","0","0"
"2013年02月04日18時50分","10","0","0"
"2013年02月04日18時55分","20","0","0"
"2013年02月04日19時00分","206","0","0"
"2013年02月04日19時05分","41","0","0"
"2013年02月04日19時10分","959","0","0"
"2013年02月04日19時15分","933","0","0"
"2013年02月04日19時20分","600","0","0"
"2013年02月04日19時25分","189","0","0"
"2013年02月04日19時30分","159","0","0"
"2013年02月04日19時35分","14","0","0"
"2013年02月04日19時40分","0","0","0"
"2013年02月04日19時45分","0","0","0"
"2013年02月04日19時50分","0","0","0"
"2013年02月04日19時55分","0","0","0"
"2013年02月04日20時00分","0","0","0"
"2013年02月04日20時05分","0","0","0"
"2013年02月04日20時10分","0","0","0"
"2013年02月04日20時15分","0","0","0"
"2013年02月04日20時20分","0","0","0"
"2013年02月04日20時25分","0","0","0"
"2013年02月04日20時30分","0","0","0"
"2013年02月04日20時35分","0","0","0"
"2013年02月04日20時40分","0","0","0"
"2013年02月04日20時45分","0","0","0"
"2013年02月04日20時50分","0","0","0"
"2013年02月04日20時55分","0","0","0"
"2013年02月04日21時00分","0","0","0"
"2013年02月04日21時05分","0","0","0"
"2013年02月04日21時10分","0","0","0"
"2013年02月04日21時15分","0","0","0"
"2013年02月04日21時20分","0","0","0"
"2013年02月04日21時25分","0","0","0"
"2013年02月04日21時30分","0","0","0"
"2013年02月04日21時35分","0","0","0"
"2013年02月04日21時40分","0","0","0"
"2013年02月04日21時45分","0","0","0"
"2013年02月04日21時50分","0","0","0"
"2013年02月04日21時55分","0","0","0"
"2013年02月04日22時00分","0","0","0"
"2013年02月04日22時05分","0","0","0"
"2013年02月04日22時10分","0","0","0"
"2013年02月04日22時15分","0","0","0"
"2013年02月04日22時20分","0","0","0"
"2013年02月04日22時25分","0","0","0"
"2013年02月04日22時30分","0","0","0"
"2013年02月04日22時35分","0","0","0"
"2013年02月04日22時40分","0","0","0"
"2013年02月04日22時45分","0","0","0"
"2013年02月04日22時50分","0","0","0"
"2013年02月04日22時55分","0","0","0"
"2013年02月04日23時00分","0","0","0"
"2013年02月04日23時05分","0","0","0"
"2013年02月04日23時10分","0","0","0"
"2013年02月04日23時15分","0","0","0"
"2013年02月04日23時20分","0","0","0"
"2013年02月04日23時25分","0","0","0"
"2013年02月04日23時30分","0","0","0"
"2013年02月04日23時35分","0","0","0"
"2013年02月04日23時40分","0","0","0"
"2013年02月04日23時45分","0","0","0"
"2013年02月04日23時50分","0","0","0"
"2013年02月04日23時55分","0","0","0"
"2013年02月05日00時00分","0","0","0"
"2013年02月05日00時05分","0","0","0"
"2013年02月05日00時10分","0","0","0"
"2013年02月05日00時15分","0","0","0"
"2013年02月05日00時20分","0","0","0"
"2013年02月05日00時25分","0","0","0"
"2013年02月05日00時30分","0","0","0"
"2013年02月05日00時35分","0","0","0"
"2013年02月05日00時40分","0","0","0"
"2013年02月05日00時45分","0","0","0"
"2013年02月05日00時50分","0","0","0"
"2013年02月05日00時55分","0","0","0"
"2013年02月05日01時00分","0","0","0"
"2013年02月05日01時05分","0","0","0"
"2013年02月05日01時10分","0","0","0"
"2013年02月05日01時15分","0","0","0"
"2013年02月05日01時20分","0","0","0"
"2013年02月05日01時25分","0","0","0"
"2013年02月05日01時30分","0","0","0"
"2013年02月05日01時35分","0","0","0"
"2013年02月05日01時40分","0","0","0"
"2013年02月05日01時45分","0","0","0"
"2013年02月05日01時50分","0","0","0"
"2013年02月05日01時55分","0","0","0"
"2013年02月05日02時00分","0","0","0"
"2013年02月05日02時05分","0","0","0"
"2013年02月05日02時10分","0","0","0"
"2013年02月05日02時15分","0","0","0"
"2013年02月05日02時20分","0","0","0"
"2013年02月05日02時25分","0","0","0"
"2013年02月05日02時30分","0","0","0"
"2013年02月05日02時35分","0","0","0"
"2013年02月05日02時40分","0","0","0"
"2013年02月05日02時45分","0","0","0"
"2013年02月05日02時50分","0","0","0"
"2013年02月05日02時55分","0","0","0"
"2013年02月05日03時00分","0","0","0"
"2013年02月05日03時05分","0","0","0"
"2013年02月05日03時10分","0","0","0"
"2013年02月05日03時15分","0","0","0"
"2013年02月05日03時20分","0","0","0"
"2013年02月05日03時25分","0","0","0"
"2013年02月05日03時30分","0","0","0"
"2013年02月05日03時35分","0","0","0"
"2013年02月05日03時40分","0","0","0"
"2013年02月05日03時45分","0","0","0"
"2013年02月05日03時50分","0","0","0"
"2013年02月05日03時55分","0","0","0"
