"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日11時30分","0","0","0","0","0","0","0","0","17","0","0"
"2013年02月05日11時35分","0","0","0","11","0","0","0","0","10","0","0"
"2013年02月05日11時40分","0","2","0","0","0","1","0","0","43","0","5"
"2013年02月05日11時45分","0","2","0","0","0","0","0","0","30","0","476"
"2013年02月05日11時50分","0","6","0","0","0","0","0","0","9","0","87"
"2013年02月05日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時10分","0","0","0","0","0","0","0","0","0","0","79"
"2013年02月05日12時15分","0","0","0","0","0","0","0","0","0","0","117"
"2013年02月05日12時20分","0","0","0","0","0","0","0","0","4","22","110"
"2013年02月05日12時25分","5","0","0","0","0","0","0","0","14","48","8"
"2013年02月05日12時30分","0","0","0","0","0","13","0","0","0","29","0"
"2013年02月05日12時35分","0","0","0","9","0","0","0","0","0","0","0"
"2013年02月05日12時40分","0","0","8","0","0","0","0","0","20","0","108"
"2013年02月05日12時45分","2","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時40分","4","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時55分","0","0","0","0","0","0","0","0","7","0","28"
"2013年02月05日14時00分","0","0","0","0","0","0","0","0","0","2","64"
"2013年02月05日14時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時10分","0","0","30","0","0","0","0","0","0","0","0"
"2013年02月05日14時15分","11","0","12","47","0","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","24","0","0","0","0","0","0","0","0"
"2013年02月05日14時25分","0","0","0","0","0","0","0","0","1","4","7"
"2013年02月05日14時30分","0","2","0","0","0","0","0","0","0","2","286"
"2013年02月05日14時35分","1","4","0","0","0","0","0","0","0","1","206"
"2013年02月05日14時40分","0","0","14","0","0","0","0","0","0","0","10"
