"","TaskPit","ブラウザ","メール","プログラミング","ワード","プレゼン編集","エクセル","ファイル操作","文書閲覧　","調査　","SQLサーバ　","テスト　","プログラミング・デバッグ　","登録外"
"2013年02月04日09時40分","1","6","0","0","0","0","0","54","0","12","0","0","0","19"
"2013年02月04日09時45分","0","134","74","0","0","0","0","50","0","32","0","0","0","0"
"2013年02月04日09時50分","0","24","0","0","0","0","0","15","0","0","0","0","0","0"
"2013年02月04日09時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時05分","0","40","34","0","0","0","67","32","0","0","0","0","0","0"
"2013年02月04日10時10分","0","153","18","0","0","0","123","3","0","0","0","0","0","0"
"2013年02月04日10時15分","0","205","0","0","0","0","11","66","0","0","0","0","12","3"
"2013年02月04日10時20分","0","230","14","0","0","0","7","13","0","17","0","0","13","0"
"2013年02月04日10時25分","0","266","0","0","0","0","6","9","0","12","0","0","2","0"
"2013年02月04日10時30分","0","50","6","0","0","0","0","30","0","30","0","61","6","113"
"2013年02月04日10時35分","0","121","2","0","0","0","9","5","0","0","0","78","5","75"
"2013年02月04日10時40分","0","41","0","0","0","0","40","48","0","0","0","107","13","43"
"2013年02月04日10時45分","0","199","28","0","0","0","1","0","0","0","0","68","0","0"
"2013年02月04日10時50分","0","224","0","0","0","0","2","5","0","0","0","1","0","64"
"2013年02月04日10時55分","0","163","90","0","0","0","0","12","0","0","0","0","0","26"
"2013年02月04日11時00分","0","6","69","0","0","0","7","85","0","61","0","2","1","63"
"2013年02月04日11時05分","0","6","0","0","0","0","22","6","0","0","0","0","0","19"
"2013年02月04日11時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時15分","0","24","39","0","0","0","2","0","0","0","0","0","0","2"
"2013年02月04日11時20分","0","0","172","0","0","0","0","126","0","0","0","0","0","0"
"2013年02月04日11時25分","0","0","1","0","0","0","1","56","0","0","0","0","0","183"
"2013年02月04日11時30分","0","17","2","0","0","0","0","6","0","0","0","77","4","78"
"2013年02月04日11時35分","0","53","20","0","0","0","0","162","0","16","0","2","2","40"
"2013年02月04日11時40分","0","0","0","0","0","0","0","14","0","0","0","0","0","280"
"2013年02月04日11時45分","0","0","0","0","0","0","0","150","0","74","0","0","0","67"
"2013年02月04日11時50分","0","43","12","0","0","0","0","90","0","44","0","0","3","105"
"2013年02月04日11時55分","0","77","14","0","0","0","0","0","0","0","0","0","0","168"
