"","TaskPit - 打鍵回数","ブラウザ - 打鍵回数","メール - 打鍵回数","プログラミング - 打鍵回数","ワード - 打鍵回数","プレゼン編集 - 打鍵回数","エクセル - 打鍵回数","ファイル操作 - 打鍵回数","文書閲覧 - 打鍵回数","調査 - 打鍵回数","SQLサーバ - 打鍵回数","テスト - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日09時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時25分","0","23","15","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時30分","0","0","24","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時35分","0","23","0","0","0","0","0","10","0","0","0","0","0","56"
"2013年02月05日09時40分","0","3","0","0","0","0","0","0","0","0","0","0","0","110"
"2013年02月05日09時45分","0","0","1","0","0","0","0","0","0","0","0","0","0","149"
"2013年02月05日09時50分","0","8","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時55分","0","0","0","0","0","0","14","7","0","0","0","0","0","510"
"2013年02月05日10時00分","0","196","0","0","0","0","0","0","0","0","0","0","0","274"
"2013年02月05日10時05分","0","4","0","0","0","0","16","11","0","0","0","0","0","2"
"2013年02月05日10時10分","0","0","0","0","0","0","11","0","0","0","0","0","0","58"
"2013年02月05日10時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時20分","0","6","0","0","0","0","17","0","0","0","0","0","0","3"
"2013年02月05日10時25分","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日10時30分","0","1","0","0","0","0","12","0","0","0","0","0","0","383"
"2013年02月05日10時35分","0","0","0","0","0","0","8","12","0","0","0","0","0","0"
"2013年02月05日10時40分","0","0","1","0","5","0","0","4","0","0","0","0","0","39"
"2013年02月05日10時45分","0","0","0","0","5","0","4","17","0","0","0","51","0","6"
"2013年02月05日10時50分","0","0","0","0","0","0","30","2","0","18","0","0","0","61"
"2013年02月05日10時55分","0","7","0","0","0","0","40","0","0","0","0","0","0","0"
"2013年02月05日11時00分","0","2","0","0","0","0","0","8","0","0","0","0","0","260"
"2013年02月05日11時05分","0","43","0","0","0","0","0","0","0","0","0","0","0","27"
"2013年02月05日11時10分","0","296","0","0","0","0","0","0","0","0","0","0","0","52"
"2013年02月05日11時15分","0","0","0","0","0","0","0","16","0","0","0","0","0","98"
"2013年02月05日11時20分","0","0","0","0","0","0","0","0","0","0","0","11","0","63"
"2013年02月05日11時25分","0","2","79","0","0","0","0","0","0","0","0","1","0","32"
"2013年02月05日11時30分","0","9","2","0","0","0","0","0","0","0","0","0","0","22"
