"","TaskPit","ブラウザ","メール","プログラミング","ワード","プレゼン編集","エクセル","ファイル操作","文書閲覧","調査","SQLサーバ","テスト","プログラミング・デバッグ","登録外"
"2013年02月05日09時20分","2","31","0","0","0","0","0","5","0","0","0","0","0","34"
"2013年02月05日09時25分","0","207","66","0","0","0","19","3","0","0","0","0","0","0"
"2013年02月05日09時30分","0","89","69","0","0","0","1","139","0","0","0","0","0","0"
"2013年02月05日09時35分","0","91","53","0","0","0","0","42","0","0","0","0","0","111"
"2013年02月05日09時40分","0","22","0","0","0","0","0","1","0","0","0","0","0","275"
"2013年02月05日09時45分","0","2","8","0","0","0","0","1","0","0","0","0","0","288"
"2013年02月05日09時50分","0","92","6","0","0","0","0","0","0","0","0","0","0","115"
"2013年02月05日09時55分","0","6","2","0","0","0","49","19","0","0","0","0","0","222"
"2013年02月05日10時00分","0","117","0","0","0","0","2","3","0","0","0","0","0","176"
"2013年02月05日10時05分","0","79","55","0","0","0","53","73","0","0","0","0","0","36"
"2013年02月05日10時10分","0","11","23","0","0","0","141","22","0","0","0","0","0","100"
"2013年02月05日10時15分","0","50","0","0","0","0","210","0","0","0","0","0","0","38"
"2013年02月05日10時20分","0","23","0","0","0","0","240","4","0","0","0","0","0","31"
"2013年02月05日10時25分","0","5","0","0","0","0","0","112","0","0","0","0","0","182"
"2013年02月05日10時30分","0","7","1","0","0","0","53","13","0","0","0","0","0","223"
"2013年02月05日10時35分","0","24","6","0","0","0","187","60","0","0","0","0","0","20"
"2013年02月05日10時40分","0","7","22","0","11","0","4","134","0","0","0","0","0","116"
"2013年02月05日10時45分","0","4","0","0","10","0","4","61","0","6","0","61","0","146"
"2013年02月05日10時50分","0","49","0","0","0","0","47","18","0","22","0","27","0","130"
"2013年02月05日10時55分","0","20","0","0","0","0","264","12","0","0","0","3","0","0"
"2013年02月05日11時00分","0","77","0","0","0","0","26","13","0","0","0","6","0","174"
"2013年02月05日11時05分","0","79","0","0","0","0","0","31","0","0","0","17","0","169"
"2013年02月05日11時10分","0","140","0","0","0","0","0","15","0","0","0","14","0","128"
"2013年02月05日11時15分","0","25","0","0","0","0","0","28","0","0","0","3","0","240"
"2013年02月05日11時20分","0","11","0","0","0","0","11","26","0","0","0","44","0","200"
"2013年02月05日11時25分","0","10","122","0","0","0","0","5","0","0","0","3","0","157"
"2013年02月05日11時30分","0","45","36","0","0","0","0","3","0","0","0","0","0","211"
