"","打鍵回数","左クリック","右クリック"
"2013年02月06日09時15分","70","23","0"
"2013年02月06日09時20分","158","48","0"
"2013年02月06日09時25分","40","36","0"
"2013年02月06日09時30分","265","48","3"
"2013年02月06日09時35分","50","27","1"
"2013年02月06日09時40分","0","26","0"
"2013年02月06日09時45分","0","0","0"
"2013年02月06日09時50分","0","27","1"
"2013年02月06日09時55分","0","40","0"
"2013年02月06日10時00分","19","70","1"
"2013年02月06日10時05分","0","43","0"
"2013年02月06日10時10分","0","31","0"
"2013年02月06日10時15分","7","75","0"
"2013年02月06日10時20分","194","50","0"
"2013年02月06日10時25分","63","37","0"
"2013年02月06日10時30分","119","66","0"
"2013年02月06日10時35分","50","32","0"
"2013年02月06日10時40分","124","85","0"
"2013年02月06日10時45分","2","42","3"
"2013年02月06日10時50分","0","79","0"
"2013年02月06日10時55分","0","17","0"
"2013年02月06日11時00分","0","37","0"
"2013年02月06日11時05分","1","39","1"
"2013年02月06日11時10分","0","34","1"
"2013年02月06日11時15分","9","22","0"
"2013年02月06日11時20分","60","49","0"
"2013年02月06日11時25分","50","68","0"
"2013年02月06日11時30分","0","52","0"
"2013年02月06日11時35分","539","8","0"
"2013年02月06日11時40分","54","104","0"
"2013年02月06日11時45分","0","5","0"
"2013年02月06日11時50分","0","0","0"
"2013年02月06日11時55分","0","0","0"
"2013年02月06日12時00分","0","0","0"
"2013年02月06日12時05分","0","0","0"
"2013年02月06日12時10分","0","0","0"
"2013年02月06日12時15分","0","0","0"
"2013年02月06日12時20分","0","0","0"
"2013年02月06日12時25分","0","0","0"
"2013年02月06日12時30分","0","0","0"
"2013年02月06日12時35分","0","0","0"
"2013年02月06日12時40分","0","0","0"
"2013年02月06日12時45分","0","0","0"
"2013年02月06日12時50分","0","0","0"
"2013年02月06日12時55分","0","0","0"
"2013年02月06日13時00分","0","0","0"
"2013年02月06日13時05分","0","34","0"
"2013年02月06日13時10分","0","130","0"
"2013年02月06日13時15分","0","171","0"
"2013年02月06日13時20分","310","69","0"
"2013年02月06日13時25分","77","102","0"
"2013年02月06日13時30分","0","110","0"
"2013年02月06日13時35分","31","27","0"
"2013年02月06日13時40分","5","10","0"
"2013年02月06日13時45分","0","12","0"
"2013年02月06日13時50分","0","61","0"
"2013年02月06日13時55分","0","0","0"
"2013年02月06日14時00分","0","0","0"
"2013年02月06日14時05分","0","11","1"
"2013年02月06日14時10分","20","37","0"
"2013年02月06日14時15分","3","44","0"
"2013年02月06日14時20分","0","39","1"
"2013年02月06日14時25分","73","69","0"
"2013年02月06日14時30分","113","29","0"
"2013年02月06日14時35分","6","35","0"
"2013年02月06日14時40分","1","103","0"
"2013年02月06日14時45分","81","76","0"
"2013年02月06日14時50分","0","68","4"
"2013年02月06日14時55分","0","1","0"
"2013年02月06日15時00分","0","6","1"
"2013年02月06日15時05分","223","0","0"
"2013年02月06日15時10分","306","0","0"
"2013年02月06日15時15分","158","0","0"
"2013年02月06日15時20分","0","0","0"
"2013年02月06日15時25分","0","0","0"
"2013年02月06日15時30分","11","0","0"
"2013年02月06日15時35分","0","0","0"
"2013年02月06日15時40分","0","0","0"
"2013年02月06日15時45分","0","0","0"
"2013年02月06日15時50分","0","0","0"
"2013年02月06日15時55分","0","0","0"
"2013年02月06日16時00分","0","0","0"
"2013年02月06日16時05分","0","0","0"
"2013年02月06日16時10分","0","0","0"
"2013年02月06日16時15分","0","0","0"
"2013年02月06日16時20分","117","0","0"
"2013年02月06日16時25分","6","0","0"
"2013年02月06日16時30分","2","0","0"
"2013年02月06日16時35分","33","0","0"
"2013年02月06日16時40分","14","0","0"
"2013年02月06日16時45分","5","0","0"
"2013年02月06日16時50分","0","0","0"
"2013年02月06日16時55分","0","0","0"
"2013年02月06日17時00分","1","0","0"
"2013年02月06日17時05分","0","0","0"
"2013年02月06日17時10分","50","0","0"
"2013年02月06日17時15分","0","0","0"
"2013年02月06日17時20分","0","0","0"
"2013年02月06日17時25分","0","0","0"
"2013年02月06日17時30分","0","0","0"
"2013年02月06日17時35分","13","0","0"
"2013年02月06日17時40分","0","0","0"
"2013年02月06日17時45分","0","0","0"
"2013年02月06日17時50分","0","0","0"
"2013年02月06日17時55分","0","0","0"
"2013年02月06日18時00分","0","0","0"
"2013年02月06日18時05分","0","0","0"
"2013年02月06日18時10分","122","0","0"
"2013年02月06日18時15分","0","0","0"
"2013年02月07日09時00分","15","14","0"
