"","ブラウザ - 左クリック","メール - 左クリック","ファイル操作 - 左クリック","調査　 - 左クリック","ＳＱＬサーバ　 - 左クリック","エクセル - 左クリック","ワード・パワポ - 左クリック","文書閲覧　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月06日09時15分","18","1","1","0","0","0","0","0","0","0","2"
"2013年02月06日09時20分","47","0","1","0","0","0","0","0","0","0","0"
"2013年02月06日09時25分","3","8","8","17","0","0","0","0","0","0","0"
"2013年02月06日09時30分","9","14","20","5","0","0","0","0","0","0","0"
"2013年02月06日09時35分","2","15","0","0","0","10","0","0","0","0","0"
"2013年02月06日09時40分","0","2","0","0","0","24","0","0","0","0","0"
"2013年02月06日09時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時50分","2","8","14","2","0","1","0","0","0","0","0"
"2013年02月06日09時55分","0","4","33","0","0","3","0","0","0","0","0"
"2013年02月06日10時00分","27","10","31","0","0","2","0","0","0","0","0"
"2013年02月06日10時05分","18","1","17","7","0","0","0","0","0","0","0"
"2013年02月06日10時10分","12","8","8","2","0","0","0","1","0","0","0"
"2013年02月06日10時15分","2","2","27","44","0","0","0","0","0","0","0"
"2013年02月06日10時20分","0","0","5","15","30","0","0","0","0","0","0"
"2013年02月06日10時25分","0","0","11","8","8","0","0","0","0","10","0"
"2013年02月06日10時30分","0","0","0","0","20","0","0","0","0","46","0"
"2013年02月06日10時35分","0","0","0","7","9","0","0","0","0","16","0"
"2013年02月06日10時40分","0","0","0","0","85","0","0","0","0","0","0"
"2013年02月06日10時45分","0","0","0","0","42","0","0","0","0","0","0"
"2013年02月06日10時50分","0","7","5","19","48","0","0","0","0","0","0"
"2013年02月06日10時55分","0","2","9","4","2","0","0","0","0","0","0"
"2013年02月06日11時00分","0","5","11","19","2","0","0","0","0","0","0"
"2013年02月06日11時05分","0","17","16","0","6","0","0","0","0","0","0"
"2013年02月06日11時10分","0","16","1","0","17","0","0","0","0","0","0"
"2013年02月06日11時15分","0","16","0","0","0","0","0","0","0","6","0"
"2013年02月06日11時20分","0","2","4","0","0","0","0","0","0","43","0"
"2013年02月06日11時25分","0","13","2","0","0","0","0","0","0","53","0"
"2013年02月06日11時30分","0","51","0","0","0","0","0","0","0","1","0"
"2013年02月06日11時35分","0","8","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時40分","0","104","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時45分","0","5","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時05分","0","32","0","0","0","0","0","0","0","1","1"
"2013年02月06日13時10分","0","130","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時15分","0","154","17","0","0","0","0","0","0","0","0"
"2013年02月06日13時20分","0","0","40","0","0","29","0","0","0","0","0"
"2013年02月06日13時25分","0","13","21","1","5","34","0","0","0","27","1"
"2013年02月06日13時30分","0","0","110","0","0","0","0","0","0","0","0"
"2013年02月06日13時35分","0","0","11","0","0","11","0","0","0","5","0"
"2013年02月06日13時40分","6","0","0","0","0","0","0","0","0","4","0"
"2013年02月06日13時45分","5","3","0","0","5","0","0","0","0","0","1"
"2013年02月06日13時50分","8","40","6","0","4","1","0","0","0","0","2"
"2013年02月06日13時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時05分","1","4","2","0","0","0","0","0","0","1","3"
"2013年02月06日14時10分","0","4","2","0","0","0","0","0","0","31","0"
"2013年02月06日14時15分","1","22","9","8","4","0","0","0","0","0","0"
"2013年02月06日14時20分","0","5","22","12","0","0","0","0","0","0","0"
"2013年02月06日14時25分","0","0","7","62","0","0","0","0","0","0","0"
"2013年02月06日14時30分","0","3","0","26","0","0","0","0","0","0","0"
"2013年02月06日14時35分","0","35","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時40分","3","93","7","0","0","0","0","0","0","0","0"
"2013年02月06日14時45分","2","0","65","8","0","0","0","0","0","0","1"
"2013年02月06日14時50分","5","6","15","0","0","0","0","0","0","0","42"
"2013年02月06日14時55分","0","1","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時00分","6","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時35分","0","0","0","0","0","0","0","0","0","0","0"
