"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日11時35分","0","0","2","0","0","73","0","0","0","0","0"
"2013年02月05日11時40分","392","0","0","0","0","19","0","0","0","0","0"
"2013年02月05日11時45分","0","4","0","0","0","121","0","0","0","0","3"
"2013年02月05日11時50分","0","0","0","1","55","0","0","0","14","0","0"
"2013年02月05日11時55分","0","0","0","4","0","0","0","0","0","0","0"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時40分","0","13","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時45分","9","0","1","0","0","0","0","0","0","0","0"
"2013年02月05日12時50分","53","0","0","0","0","0","0","0","0","0","68"
"2013年02月05日12時55分","0","0","0","0","140","0","0","0","18","0","0"
"2013年02月05日13時00分","0","0","0","0","0","13","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","6","4","0","0","0","56","0","8"
"2013年02月05日13時10分","0","0","0","6","0","101","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","67","0","0"
"2013年02月05日13時20分","0","0","0","0","203","0","0","0","10","0","0"
"2013年02月05日13時25分","11","0","0","0","7","0","0","0","1","0","14"
"2013年02月05日13時30分","6","0","0","0","13","0","0","0","43","0","0"
"2013年02月05日13時35分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","0","0","44"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日13時50分","1","1","0","0","0","0","0","0","0","0","15"
"2013年02月05日13時55分","0","0","0","0","0","1","0","0","0","0","0"
"2013年02月05日14時00分","0","0","0","0","0","84","0","0","0","0","2"
"2013年02月05日14時05分","0","0","0","0","0","12","0","0","17","0","35"
"2013年02月05日14時10分","0","0","0","0","122","0","0","0","8","0","1"
"2013年02月05日14時15分","0","0","0","0","0","0","0","0","1","0","6"
"2013年02月05日14時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時25分","0","0","0","0","53","15","0","0","16","0","0"
"2013年02月05日14時30分","0","0","0","0","201","0","0","0","10","0","0"
"2013年02月05日14時35分","2","0","0","0","0","0","0","0","24","0","1"
"2013年02月05日14時40分","0","6","0","0","44","0","0","0","7","0","0"
"2013年02月05日14時45分","0","0","0","0","205","0","0","0","2","0","0"
"2013年02月05日14時50分","2","0","4","0","119","0","0","0","42","0","6"
"2013年02月05日14時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時00分","0","0","8","4","0","57","0","0","0","0","2"
"2013年02月05日15時05分","0","0","25","0","0","172","0","0","0","0","0"
"2013年02月05日15時10分","40","0","10","0","0","55","0","0","0","0","0"
"2013年02月05日15時15分","139","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時20分","3","0","2","0","0","0","0","0","0","0","0"
"2013年02月05日15時25分","3","0","0","4","0","0","0","0","45","0","0"
"2013年02月05日15時30分","0","0","0","0","109","0","0","0","2","0","0"
"2013年02月05日15時35分","0","0","0","0","280","0","0","0","11","0","0"
"2013年02月05日15時40分","0","0","0","0","0","0","0","0","13","0","0"
"2013年02月05日15時45分","0","0","0","123","0","0","0","0","29","0","0"
"2013年02月05日15時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時55分","0","0","0","0","0","0","0","0","4","0","0"
"2013年02月05日16時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時05分","0","0","0","0","0","0","0","0","29","0","0"
"2013年02月05日16時10分","24","0","0","0","0","0","0","0","7","0","0"
"2013年02月05日16時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時20分","0","0","0","0","0","2","0","0","0","0","0"
"2013年02月05日16時25分","0","14","0","0","0","35","0","0","0","0","0"
"2013年02月05日16時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時35分","0","0","0","0","0","0","0","0","64","0","0"
"2013年02月05日16時40分","0","0","2","0","0","0","0","0","65","0","0"
"2013年02月05日16時45分","30","0","0","0","0","0","0","0","20","0","0"
"2013年02月05日16時50分","5","0","0","0","0","2","0","0","5","0","1"
"2013年02月05日16時55分","21","0","15","0","0","0","0","0","0","0","13"
"2013年02月05日17時00分","0","0","15","14","0","0","0","0","21","0","0"
"2013年02月05日17時05分","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月05日17時10分","0","0","0","0","0","10","0","0","0","0","0"
"2013年02月05日17時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時25分","2","0","6","0","0","27","0","0","0","0","0"
"2013年02月05日17時30分","0","2","1","0","0","79","0","0","0","0","2"
"2013年02月05日17時35分","3","0","13","0","0","0","0","0","66","0","26"
"2013年02月05日17時40分","2","0","7","0","0","45","0","0","0","0","2"
"2013年02月05日17時45分","228","11","6","0","0","0","0","0","0","0","0"
"2013年02月05日17時50分","280","0","5","0","0","71","0","0","0","0","0"
"2013年02月05日17時55分","0","1","5","0","0","0","0","0","35","0","58"
"2013年02月05日18時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時05分","0","0","0","0","0","4","0","0","0","0","0"
"2013年02月05日18時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時15分","37","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時30分","0","0","29","0","0","13","0","0","0","0","260"
"2013年02月06日09時35分","0","0","0","0","0","53","0","0","0","0","22"
"2013年02月06日09時40分","46","0","0","0","0","2","0","0","0","0","240"
"2013年02月06日09時45分","0","0","0","0","0","48","0","0","0","0","0"
"2013年02月06日09時50分","0","0","0","0","0","176","0","0","0","0","0"
"2013年02月06日09時55分","0","0","0","0","0","351","0","0","0","0","0"
"2013年02月06日10時00分","9","0","0","0","0","308","0","0","0","0","106"
"2013年02月06日10時05分","345","1","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時10分","2","0","95","0","0","14","0","0","0","0","28"
"2013年02月06日10時15分","0","0","4","0","0","0","0","0","0","0","224"
"2013年02月06日10時20分","0","0","0","0","0","4","0","0","0","0","485"
"2013年02月06日10時25分","0","0","0","0","0","2","0","0","0","0","244"
"2013年02月06日10時30分","0","145","0","0","0","0","0","0","0","0","314"
"2013年02月06日10時35分","0","335","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時40分","9","0","0","0","23","0","0","0","0","0","0"
"2013年02月06日10時45分","48","0","4","0","29","3","0","0","0","0","0"
"2013年02月06日10時50分","2","0","30","0","0","8","0","0","0","0","0"
"2013年02月06日10時55分","0","0","0","0","0","14","0","0","0","0","0"
"2013年02月06日11時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時05分","10","0","14","0","0","6","0","0","0","0","0"
"2013年02月06日11時10分","43","0","19","0","0","0","0","0","0","0","0"
"2013年02月06日11時15分","0","0","4","0","0","0","0","0","0","0","0"
"2013年02月06日11時20分","0","0","95","0","0","0","0","0","8","0","117"
"2013年02月06日11時25分","0","0","0","0","0","0","0","0","0","0","308"
"2013年02月06日11時30分","0","0","0","0","0","0","0","0","0","0","341"
"2013年02月06日11時35分","0","0","0","0","0","0","0","0","0","0","545"
"2013年02月06日11時40分","0","0","0","0","0","0","0","0","0","0","803"
"2013年02月06日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時10分","0","0","0","0","0","47","0","0","0","0","0"
"2013年02月06日13時15分","8","0","0","0","0","15","0","0","0","0","21"
"2013年02月06日13時20分","135","0","19","0","0","47","0","0","0","0","0"
"2013年02月06日13時25分","35","0","2","0","0","0","0","0","1","0","15"
"2013年02月06日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時40分","23","0","15","0","0","0","0","0","0","0","0"
"2013年02月06日13時45分","2","0","28","59","0","0","0","0","0","0","1"
"2013年02月06日13時50分","0","0","10","0","31","0","0","0","0","0","2"
"2013年02月06日13時55分","0","0","0","13","13","0","0","0","112","0","65"
"2013年02月06日14時00分","16","0","5","16","0","1","0","0","1","0","63"
"2013年02月06日14時05分","244","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時10分","13","0","3","394","0","2","0","0","0","0","0"
"2013年02月06日14時15分","0","0","0","292","0","2","0","0","0","0","147"
"2013年02月06日14時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時30分","0","0","0","0","0","0","0","0","0","0","15"
"2013年02月06日14時35分","0","0","43","0","0","0","0","0","0","0","239"
"2013年02月06日14時40分","0","20","0","0","0","0","0","0","0","0","170"
