"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月05日11時30分","0","117","37","0","0","0","0","0","83","0","51"
"2013年02月05日11時35分","0","298","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時40分","0","296","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時45分","0","236","16","0","0","8","0","0","26","0","10"
"2013年02月05日11時50分","38","0","0","0","0","0","0","0","257","0","0"
"2013年02月05日11時55分","0","0","1","0","0","0","0","0","231","0","63"
"2013年02月05日12時00分","0","9","59","5","0","0","0","0","73","0","150"
"2013年02月05日12時05分","2","15","2","23","0","0","0","0","195","0","57"
"2013年02月05日12時10分","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月05日12時15分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日12時20分","0","0","0","0","0","0","0","0","255","0","41"
"2013年02月05日12時25分","0","17","1","89","0","0","0","0","188","0","0"
"2013年02月05日12時30分","0","0","0","141","0","0","0","0","156","0","0"
"2013年02月05日12時35分","17","4","5","0","0","0","0","0","131","0","140"
"2013年02月05日12時40分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日12時45分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","0","0","36"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","0","0","3"
"2013年02月05日13時45分","0","16","0","0","0","0","0","0","0","0","284"
"2013年02月05日13時50分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日13時55分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日14時00分","20","0","0","0","0","0","0","0","0","0","279"
"2013年02月05日14時05分","130","0","0","0","0","0","0","0","0","0","168"
"2013年02月05日14時10分","4","0","0","0","0","0","0","0","0","0","296"
"2013年02月05日14時15分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日14時20分","0","0","0","0","0","0","0","0","0","0","237"
"2013年02月05日14時25分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日14時30分","0","0","1","0","0","0","0","0","23","0","275"
"2013年02月05日14時35分","0","0","1","0","0","0","0","0","56","0","242"
"2013年02月05日14時40分","0","0","17","0","0","0","0","0","0","0","281"
"2013年02月05日14時45分","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月05日14時50分","0","0","0","45","0","0","0","0","0","0","244"
"2013年02月05日14時55分","0","0","0","22","0","0","0","0","0","0","261"
"2013年02月05日15時00分","0","0","0","0","0","0","0","0","0","0","174"
"2013年02月05日15時05分","0","0","0","0","0","0","0","0","0","0","232"
"2013年02月05日15時10分","0","0","0","0","0","0","0","0","0","0","255"
"2013年02月05日15時15分","0","30","1","1","0","0","0","0","0","0","246"
"2013年02月05日15時20分","182","0","4","0","0","54","0","0","0","0","7"
"2013年02月05日15時25分","12","0","0","0","0","0","0","0","0","0","287"
"2013年02月05日15時30分","0","0","0","0","0","0","0","0","0","0","214"
"2013年02月05日15時35分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日15時40分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日15時45分","0","65","0","0","0","0","0","0","0","0","231"
"2013年02月05日15時50分","0","18","0","0","0","0","0","0","0","0","281"
"2013年02月05日15時55分","0","0","0","11","0","0","0","0","0","0","288"
"2013年02月05日16時00分","0","0","42","20","0","0","0","0","0","0","237"
"2013年02月05日16時05分","0","0","56","12","0","0","0","0","0","0","231"
"2013年02月05日16時10分","54","12","31","0","0","60","0","0","0","0","139"
"2013年02月05日16時15分","0","0","19","0","0","12","0","0","46","0","222"
