"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"登録外","2013年02月06日09時20分42秒","2013年02月06日09時20分44秒","2","0","0"
"ファイル操作","2013年02月06日09時20分44秒","2013年02月06日09時20分49秒","4","0","0"
"ファイル操作","2013年02月06日09時20分49秒","2013年02月06日09時20分50秒","2","0","0"
"ファイル操作","2013年02月06日09時20分50秒","2013年02月06日09時20分52秒","1","0","0"
"ファイル操作","2013年02月06日09時20分52秒","2013年02月06日09時20分53秒","1","0","0"
"ファイル操作","2013年02月06日09時20分53秒","2013年02月06日09時20分56秒","3","0","0"
"ファイル操作","2013年02月06日09時20分56秒","2013年02月06日09時20分57秒","1","0","0"
"ファイル操作","2013年02月06日09時20分57秒","2013年02月06日09時21分01秒","3","0","0"
"ファイル操作","2013年02月06日09時21分01秒","2013年02月06日09時21分03秒","3","0","0"
"ファイル操作","2013年02月06日09時21分03秒","2013年02月06日09時21分04秒","1","0","0"
"ファイル操作","2013年02月06日09時21分04秒","2013年02月06日09時21分07秒","2","0","0"
"ファイル操作","2013年02月06日09時21分07秒","2013年02月06日09時21分08秒","0","1","0"
"ファイル操作","2013年02月06日09時21分08秒","2013年02月06日09時21分09秒","1","0","0"
"ファイル操作","2013年02月06日09時21分09秒","2013年02月06日09時21分10秒","0","0","1"
"登録外","2013年02月06日09時21分10秒","2013年02月06日09時21分11秒","1","0","0"
"ファイル操作","2013年02月06日09時21分11秒","2013年02月06日09時21分12秒","2","0","0"
"登録外","2013年02月06日09時21分12秒","2013年02月06日09時21分13秒","1","0","0"
"ファイル操作","2013年02月06日09時21分13秒","2013年02月06日09時21分16秒","3","0","0"
"ファイル操作","2013年02月06日09時21分16秒","2013年02月06日09時21分20秒","2","0","0"
"ファイル操作","2013年02月06日09時21分20秒","2013年02月06日09時21分21秒","1","0","0"
"ファイル操作","2013年02月06日09時21分21秒","2013年02月06日09時21分22秒","2","0","0"
"ファイル操作","2013年02月06日09時21分22秒","2013年02月06日09時21分23秒","2","0","0"
"ファイル操作","2013年02月06日09時21分23秒","2013年02月06日09時21分25秒","1","0","0"
"ファイル操作","2013年02月06日09時21分25秒","2013年02月06日09時21分27秒","3","0","0"
"ファイル操作","2013年02月06日09時21分27秒","2013年02月06日09時21分28秒","1","0","0"
"ファイル操作","2013年02月06日09時21分28秒","2013年02月06日09時21分30秒","2","0","0"
"ファイル操作","2013年02月06日09時21分30秒","2013年02月06日09時21分32秒","3","0","0"
"ファイル操作","2013年02月06日09時21分32秒","2013年02月06日09時21分33秒","2","0","0"
"ファイル操作","2013年02月06日09時21分33秒","2013年02月06日09時21分34秒","1","0","0"
"ファイル操作","2013年02月06日09時21分34秒","2013年02月06日09時21分35秒","2","0","0"
"ファイル操作","2013年02月06日09時21分35秒","2013年02月06日09時22分05秒","2","0","0"
"ファイル操作","2013年02月06日09時22分05秒","2013年02月06日09時22分06秒","2","0","0"
"ファイル操作","2013年02月06日09時22分06秒","2013年02月06日09時22分07秒","2","0","0"
"ファイル操作","2013年02月06日09時22分07秒","2013年02月06日09時22分08秒","2","0","0"
"ファイル操作","2013年02月06日09時22分08秒","2013年02月06日09時22分09秒","1","0","0"
"ファイル操作","2013年02月06日09時22分09秒","2013年02月06日09時22分10秒","1","0","0"
"ファイル操作","2013年02月06日09時22分10秒","2013年02月06日09時22分11秒","1","0","0"
"ファイル操作","2013年02月06日09時22分11秒","2013年02月06日09時22分13秒","1","0","0"
"ファイル操作","2013年02月06日09時22分13秒","2013年02月06日09時22分15秒","2","0","0"
"ファイル操作","2013年02月06日09時22分15秒","2013年02月06日09時22分16秒","2","0","0"
"ファイル操作","2013年02月06日09時22分16秒","2013年02月06日09時22分18秒","2","0","0"
"ファイル操作","2013年02月06日09時22分18秒","2013年02月06日09時22分19秒","1","0","0"
"ファイル操作","2013年02月06日09時22分19秒","2013年02月06日09時22分21秒","4","0","0"
"ファイル操作","2013年02月06日09時22分21秒","2013年02月06日09時22分22秒","0","0","0"
"ファイル操作","2013年02月06日09時22分22秒","2013年02月06日09時22分23秒","3","0","0"
"ファイル操作","2013年02月06日09時22分23秒","2013年02月06日09時22分25秒","2","0","0"
"ファイル操作","2013年02月06日09時22分25秒","2013年02月06日09時22分26秒","2","0","0"
"ファイル操作","2013年02月06日09時22分26秒","2013年02月06日09時22分27秒","2","0","0"
"ファイル操作","2013年02月06日09時22分27秒","2013年02月06日09時22分31秒","2","0","0"
"ファイル操作","2013年02月06日09時22分31秒","2013年02月06日09時22分32秒","2","0","0"
"ファイル操作","2013年02月06日09時22分32秒","2013年02月06日09時22分33秒","2","0","0"
"ファイル操作","2013年02月06日09時22分33秒","2013年02月06日09時22分40秒","2","0","0"
"調査　","2013年02月06日09時22分40秒","2013年02月06日09時22分51秒","2","0","0"
"ファイル操作","2013年02月06日09時22分51秒","2013年02月06日09時22分52秒","0","0","2"
"ファイル操作","2013年02月06日09時22分52秒","2013年02月06日09時22分58秒","5","0","0"
"ファイル操作","2013年02月06日09時22分58秒","2013年02月06日09時23分08秒","1","0","0"
"ファイル操作","2013年02月06日09時23分08秒","2013年02月06日09時23分11秒","2","0","0"
"ファイル操作","2013年02月06日09時23分11秒","2013年02月06日09時23分15秒","1","0","0"
"ファイル操作","2013年02月06日09時23分15秒","2013年02月06日09時23分16秒","1","0","0"
"ファイル操作","2013年02月06日09時23分16秒","2013年02月06日09時23分19秒","2","0","1"
"ファイル操作","2013年02月06日09時23分19秒","2013年02月06日09時23分20秒","1","0","0"
"ファイル操作","2013年02月06日09時23分20秒","2013年02月06日09時23分21秒","2","0","0"
"ファイル操作","2013年02月06日09時23分21秒","2013年02月06日09時23分23秒","1","0","0"
"ファイル操作","2013年02月06日09時23分23秒","2013年02月06日09時23分25秒","1","0","0"
"ファイル操作","2013年02月06日09時23分25秒","2013年02月06日09時23分27秒","2","0","0"
"ファイル操作","2013年02月06日09時23分27秒","2013年02月06日09時23分35秒","0","0","36"
"ファイル操作","2013年02月06日09時23分35秒","2013年02月06日09時23分36秒","1","0","0"
"ファイル操作","2013年02月06日09時23分36秒","2013年02月06日09時23分37秒","1","1","2"
"ファイル操作","2013年02月06日09時23分37秒","2013年02月06日09時23分38秒","0","0","0"
"ファイル操作","2013年02月06日09時23分38秒","2013年02月06日09時23分40秒","1","0","0"
"ファイル操作","2013年02月06日09時23分40秒","2013年02月06日09時23分45秒","2","1","1"
"テスト　","2013年02月06日09時23分45秒","2013年02月06日09時23分46秒","0","0","0"
"テスト　","2013年02月06日09時23分46秒","2013年02月06日09時23分51秒","4","0","0"
"ファイル操作","2013年02月06日09時23分51秒","2013年02月06日09時23分52秒","1","0","0"
"ファイル操作","2013年02月06日09時23分52秒","2013年02月06日09時23分53秒","2","0","0"
"ファイル操作","2013年02月06日09時23分53秒","2013年02月06日09時23分55秒","2","0","0"
"ファイル操作","2013年02月06日09時23分55秒","2013年02月06日09時23分56秒","0","0","0"
"ファイル操作","2013年02月06日09時23分56秒","2013年02月06日09時23分57秒","1","0","0"
"ファイル操作","2013年02月06日09時23分57秒","2013年02月06日09時23分58秒","3","0","0"
"ファイル操作","2013年02月06日09時23分58秒","2013年02月06日09時24分01秒","2","0","0"
"ファイル操作","2013年02月06日09時24分01秒","2013年02月06日09時24分03秒","2","0","4"
"ファイル操作","2013年02月06日09時24分03秒","2013年02月06日09時24分05秒","1","0","4"
"ファイル操作","2013年02月06日09時24分05秒","2013年02月06日09時24分07秒","1","0","0"
"ファイル操作","2013年02月06日09時24分07秒","2013年02月06日09時24分08秒","1","0","0"
"ファイル操作","2013年02月06日09時24分08秒","2013年02月06日09時24分11秒","2","1","1"
"テスト　","2013年02月06日09時24分11秒","2013年02月06日09時24分12秒","2","0","0"
"テスト　","2013年02月06日09時24分12秒","2013年02月06日09時24分13秒","0","0","0"
"テスト　","2013年02月06日09時24分13秒","2013年02月06日09時24分42秒","7","0","0"
"ファイル操作","2013年02月06日09時24分42秒","2013年02月06日09時24分45秒","1","1","0"
"調査　","2013年02月06日09時24分45秒","2013年02月06日09時24分53秒","1","0","0"
"テスト　","2013年02月06日09時24分53秒","2013年02月06日09時24分58秒","2","0","0"
