"","打鍵回数","左クリック","右クリック"
"2013年02月04日09時50分","32","35","4"
"2013年02月04日09時55分","81","120","6"
"2013年02月04日10時00分","58","115","8"
"2013年02月04日10時05分","94","47","0"
"2013年02月04日10時10分","10","77","0"
"2013年02月04日10時15分","34","80","0"
"2013年02月04日10時20分","117","136","3"
"2013年02月04日10時25分","107","131","7"
"2013年02月04日10時30分","1","20","0"
"2013年02月04日10時35分","192","48","0"
"2013年02月04日10時40分","150","85","1"
"2013年02月04日10時45分","321","138","2"
"2013年02月04日10時50分","138","102","6"
"2013年02月04日10時55分","394","63","1"
"2013年02月04日11時00分","391","40","0"
"2013年02月04日11時05分","0","57","0"
"2013年02月04日11時10分","24","25","0"
"2013年02月04日11時15分","0","13","0"
"2013年02月04日11時20分","167","66","0"
"2013年02月04日11時25分","13","44","0"
"2013年02月04日11時30分","105","9","0"
"2013年02月04日11時35分","0","0","0"
"2013年02月04日11時40分","179","11","0"
"2013年02月04日11時45分","13","115","2"
"2013年02月04日11時50分","0","22","0"
"2013年02月04日11時55分","7","30","0"
"2013年02月04日12時00分","40","54","0"
"2013年02月04日12時05分","0","10","0"
"2013年02月04日12時10分","12","56","2"
"2013年02月04日12時15分","258","151","1"
"2013年02月04日12時20分","0","10","0"
"2013年02月04日12時25分","26","58","1"
"2013年02月04日12時30分","0","12","1"
"2013年02月04日12時35分","61","98","1"
"2013年02月04日12時40分","0","24","0"
"2013年02月04日12時45分","0","0","0"
"2013年02月04日12時50分","0","0","0"
"2013年02月04日12時55分","0","0","0"
"2013年02月04日13時00分","0","0","0"
"2013年02月04日13時05分","0","0","0"
"2013年02月04日13時10分","0","0","0"
"2013年02月04日13時15分","0","0","0"
"2013年02月04日13時20分","0","0","0"
"2013年02月04日13時25分","0","0","0"
"2013年02月04日13時30分","0","0","0"
"2013年02月04日13時35分","0","0","0"
"2013年02月04日13時40分","33","36","0"
"2013年02月04日13時45分","41","42","1"
"2013年02月04日13時50分","37","38","3"
"2013年02月04日13時55分","87","106","4"
"2013年02月04日14時00分","0","16","0"
"2013年02月04日14時05分","0","0","0"
"2013年02月04日14時10分","0","0","0"
"2013年02月04日14時15分","0","0","0"
"2013年02月04日14時20分","0","0","0"
"2013年02月04日14時25分","0","0","0"
"2013年02月04日14時30分","0","0","0"
"2013年02月04日14時35分","0","0","0"
"2013年02月04日14時40分","0","0","0"
"2013年02月04日14時45分","0","0","0"
"2013年02月04日14時50分","0","18","0"
"2013年02月04日14時55分","5","86","1"
"2013年02月04日15時00分","0","0","0"
"2013年02月04日15時05分","0","0","0"
"2013年02月04日15時10分","0","13","0"
"2013年02月04日15時15分","22","43","1"
"2013年02月04日15時20分","146","77","3"
"2013年02月04日15時25分","0","0","0"
"2013年02月04日15時30分","0","0","0"
"2013年02月04日15時35分","0","0","0"
"2013年02月04日15時40分","0","0","0"
"2013年02月04日15時45分","0","0","0"
"2013年02月04日15時50分","0","0","0"
"2013年02月04日15時55分","0","0","0"
"2013年02月04日16時00分","0","0","0"
"2013年02月04日16時05分","13","22","4"
"2013年02月04日16時10分","57","97","7"
"2013年02月04日16時15分","73","89","2"
"2013年02月04日16時20分","15","29","1"
"2013年02月04日16時25分","0","0","0"
"2013年02月04日16時30分","5","22","1"
"2013年02月04日16時35分","4","36","2"
"2013年02月04日16時40分","49","9","0"
"2013年02月04日16時45分","140","64","2"
"2013年02月04日16時50分","28","115","1"
"2013年02月04日16時55分","123","114","6"
"2013年02月04日17時00分","56","101","1"
"2013年02月04日17時05分","133","109","1"
"2013年02月04日17時10分","0","99","0"
"2013年02月04日17時15分","183","60","0"
"2013年02月04日17時20分","29","20","0"
"2013年02月04日17時25分","71","71","1"
"2013年02月04日17時30分","142","17","0"
"2013年02月04日17時35分","648","27","1"
"2013年02月04日17時40分","445","50","0"
"2013年02月04日17時45分","396","18","0"
"2013年02月04日17時50分","9","29","4"
"2013年02月04日17時55分","43","104","1"
"2013年02月04日18時00分","156","90","3"
"2013年02月04日18時05分","422","78","7"
"2013年02月04日18時10分","31","108","3"
"2013年02月04日18時15分","40","62","4"
"2013年02月04日18時20分","149","110","4"
"2013年02月04日18時25分","2","92","1"
"2013年02月04日18時30分","1","44","7"
"2013年02月04日18時35分","73","17","0"
"2013年02月04日18時40分","298","24","0"
"2013年02月04日18時45分","242","19","0"
"2013年02月04日18時50分","233","2","0"
"2013年02月04日18時55分","92","41","0"
"2013年02月04日19時00分","506","30","0"
"2013年02月04日19時05分","232","40","0"
"2013年02月04日19時10分","161","8","0"
"2013年02月04日19時15分","204","8","0"
"2013年02月04日19時20分","419","17","0"
"2013年02月04日19時25分","452","12","0"
"2013年02月04日19時30分","0","19","0"
"2013年02月04日19時35分","262","33","0"
"2013年02月04日19時40分","562","64","2"
"2013年02月04日19時45分","0","119","0"
"2013年02月04日19時50分","95","51","3"
"2013年02月04日19時55分","268","70","1"
"2013年02月04日20時00分","342","48","0"
"2013年02月04日20時05分","239","73","0"
"2013年02月04日20時10分","274","72","2"
"2013年02月04日20時15分","183","47","0"
"2013年02月04日20時20分","138","46","0"
"2013年02月04日20時25分","212","116","0"
