"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"TaskPit","2013年02月04日09時47分52秒","2013年02月04日09時47分53秒","0","1","0"
"ファイル操作","2013年02月04日09時47分53秒","2013年02月04日09時47分55秒","2","0","0"
"ファイル操作","2013年02月04日09時47分55秒","2013年02月04日09時47分59秒","1","1","0"
"登録外","2013年02月04日09時47分59秒","2013年02月04日09時48分04秒","1","0","4"
"ファイル操作","2013年02月04日09時48分04秒","2013年02月04日09時48分08秒","2","0","2"
"登録外","2013年02月04日09時48分08秒","2013年02月04日09時48分24秒","5","1","22"
"ファイル操作","2013年02月04日09時48分24秒","2013年02月04日09時48分27秒","1","0","0"
"登録外","2013年02月04日09時48分27秒","2013年02月04日09時48分35秒","2","1","0"
"メール","2013年02月04日09時48分35秒","2013年02月04日09時48分38秒","2","0","0"
"メール","2013年02月04日09時48分38秒","2013年02月04日09時48分44秒","2","0","2"
"メール","2013年02月04日09時48分44秒","2013年02月04日09時48分45秒","1","0","0"
"メール","2013年02月04日09時48分45秒","2013年02月04日09時48分46秒","0","0","0"
"メール","2013年02月04日09時48分46秒","2013年02月04日09時49分07秒","7","0","1"
"ブラウザ","2013年02月04日09時49分07秒","2013年02月04日09時49分08秒","0","0","1"
"ブラウザ","2013年02月04日09時49分08秒","2013年02月04日09時49分35秒","2","0","0"
"メール","2013年02月04日09時49分35秒","2013年02月04日09時49分46秒","4","0","0"
"メール","2013年02月04日09時49分46秒","2013年02月04日09時49分48秒","1","0","0"
"メール","2013年02月04日09時49分48秒","2013年02月04日09時49分57秒","1","0","0"
"メール","2013年02月04日09時49分57秒","2013年02月04日09時50分00秒","1","0","0"
"メール","2013年02月04日09時50分00秒","2013年02月04日09時50分01秒","1","0","0"
"メール","2013年02月04日09時50分01秒","2013年02月04日09時50分07秒","4","0","4"
"メール","2013年02月04日09時50分07秒","2013年02月04日09時50分11秒","1","0","0"
"メール","2013年02月04日09時50分11秒","2013年02月04日09時50分13秒","1","0","0"
"メール","2013年02月04日09時50分13秒","2013年02月04日09時50分34秒","16","0","3"
"メール","2013年02月04日09時50分34秒","2013年02月04日09時50分37秒","2","0","0"
"メール","2013年02月04日09時50分37秒","2013年02月04日09時50分41秒","3","0","0"
"メール","2013年02月04日09時50分41秒","2013年02月04日09時50分52秒","5","1","0"
"メール","2013年02月04日09時50分52秒","2013年02月04日09時51分03秒","5","0","0"
"メール","2013年02月04日09時51分03秒","2013年02月04日09時51分05秒","1","0","0"
"メール","2013年02月04日09時51分05秒","2013年02月04日09時51分06秒","2","0","0"
"メール","2013年02月04日09時51分06秒","2013年02月04日09時51分08秒","1","0","0"
"メール","2013年02月04日09時51分08秒","2013年02月04日09時51分12秒","0","0","0"
"メール","2013年02月04日09時51分12秒","2013年02月04日09時51分14秒","0","0","0"
"メール","2013年02月04日09時51分14秒","2013年02月04日09時51分17秒","0","0","0"
"メール","2013年02月04日09時51分17秒","2013年02月04日09時51分19秒","1","0","0"
"メール","2013年02月04日09時51分19秒","2013年02月04日09時51分20秒","2","0","0"
"メール","2013年02月04日09時51分20秒","2013年02月04日09時51分21秒","0","0","0"
"メール","2013年02月04日09時51分21秒","2013年02月04日09時51分22秒","1","0","0"
"メール","2013年02月04日09時51分22秒","2013年02月04日09時51分44秒","5","0","2"
"メール","2013年02月04日09時51分44秒","2013年02月04日09時51分57秒","6","2","0"
"メール","2013年02月04日09時51分57秒","2013年02月04日09時52分02秒","4","0","2"
"メール","2013年02月04日09時52分02秒","2013年02月04日09時52分03秒","0","0","2"
"ファイル操作","2013年02月04日09時52分03秒","2013年02月04日09時52分05秒","1","0","3"
"メール","2013年02月04日09時52分05秒","2013年02月04日09時52分08秒","2","0","0"
"ファイル操作","2013年02月04日09時52分08秒","2013年02月04日09時52分14秒","2","1","4"
"ファイル操作","2013年02月04日09時52分14秒","2013年02月04日09時52分17秒","2","0","0"
"ファイル操作","2013年02月04日09時52分17秒","2013年02月04日09時52分23秒","2","0","0"
"メール","2013年02月04日09時52分23秒","2013年02月04日09時52分27秒","4","1","0"
"メール","2013年02月04日09時52分27秒","2013年02月04日09時52分30秒","3","0","0"
"メール","2013年02月04日09時52分30秒","2013年02月04日09時52分32秒","1","1","0"
"メール","2013年02月04日09時52分32秒","2013年02月04日09時52分42秒","0","0","27"
"メール","2013年02月04日09時52分42秒","2013年02月04日09時54分00秒","7","0","26"
"メール","2013年02月04日09時54分00秒","2013年02月04日09時54分01秒","2","0","0"
"メール","2013年02月04日09時54分01秒","2013年02月04日09時54分03秒","3","0","0"
"メール","2013年02月04日09時54分03秒","2013年02月04日09時54分04秒","1","0","0"
"メール","2013年02月04日09時54分04秒","2013年02月04日09時54分06秒","4","0","0"
"メール","2013年02月04日09時54分06秒","2013年02月04日09時54分07秒","1","0","0"
"メール","2013年02月04日09時54分07秒","2013年02月04日09時54分08秒","1","0","0"
"メール","2013年02月04日09時54分08秒","2013年02月04日09時54分09秒","2","0","0"
"メール","2013年02月04日09時54分09秒","2013年02月04日09時54分11秒","1","0","0"
"メール","2013年02月04日09時54分11秒","2013年02月04日09時54分12秒","1","0","0"
"メール","2013年02月04日09時54分12秒","2013年02月04日09時54分13秒","1","0","0"
"メール","2013年02月04日09時54分13秒","2013年02月04日09時54分14秒","2","0","0"
