"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月07日08時55分","0","0","4","0","0","0","0","0","0","0","4"
"2013年02月07日09時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時05分","0","6","6","0","0","0","0","0","0","0","0"
"2013年02月07日09時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時30分","0","0","0","0","0","0","0","0","15","0","0"
"2013年02月07日09時35分","0","0","0","0","0","0","0","0","0","0","8"
"2013年02月07日09時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時45分","0","1","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時00分","0","1","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時05分","0","0","49","0","0","35","0","0","0","0","0"
"2013年02月07日10時10分","0","2","0","0","0","56","0","0","0","0","0"
"2013年02月07日10時15分","0","0","0","0","0","242","0","0","0","0","41"
"2013年02月07日10時20分","0","0","0","0","0","1","0","0","0","0","0"
"2013年02月07日10時25分","0","0","3","0","0","2","0","0","62","0","7"
"2013年02月07日10時30分","0","0","0","0","0","0","1","0","15","0","0"
"2013年02月07日10時35分","0","0","0","0","0","0","0","0","3","0","0"
"2013年02月07日10時40分","0","0","0","0","0","0","0","0","17","0","0"
"2013年02月07日10時45分","0","0","0","0","0","0","0","0","19","0","0"
"2013年02月07日10時50分","0","2","0","0","0","0","0","0","10","0","0"
"2013年02月07日10時55分","0","0","2","0","0","0","0","0","22","0","0"
"2013年02月07日11時00分","0","6","0","0","0","1","1","0","29","0","0"
"2013年02月07日11時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時25分","0","0","0","0","0","0","0","0","0","0","0"
