"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月07日08時55分","0","0","18","0","0","0","0","0","0","0","70"
"2013年02月07日09時00分","0","0","1","0","0","0","0","0","0","0","134"
"2013年02月07日09時05分","0","15","34","0","0","18","0","0","0","0","135"
"2013年02月07日09時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時30分","0","0","0","0","0","0","0","0","20","0","0"
"2013年02月07日09時35分","0","0","35","0","0","150","0","0","1","0","88"
"2013年02月07日09時40分","0","0","0","0","0","0","0","0","0","0","77"
"2013年02月07日09時45分","0","9","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時00分","0","3","0","0","0","0","0","0","0","0","35"
"2013年02月07日10時05分","0","0","20","0","0","46","0","0","0","0","142"
"2013年02月07日10時10分","0","5","29","0","0","138","98","0","0","0","17"
"2013年02月07日10時15分","0","0","37","0","0","217","0","0","0","0","41"
"2013年02月07日10時20分","0","0","12","0","0","58","150","0","0","0","0"
"2013年02月07日10時25分","0","0","17","0","0","8","43","0","126","0","39"
"2013年02月07日10時30分","0","0","4","0","0","1","91","0","203","0","0"
"2013年02月07日10時35分","0","0","0","0","0","41","33","0","208","0","0"
"2013年02月07日10時40分","0","0","0","0","0","2","127","0","145","0","0"
"2013年02月07日10時45分","0","0","8","0","0","3","54","0","234","0","0"
"2013年02月07日10時50分","0","62","2","0","0","10","80","0","143","0","0"
"2013年02月07日10時55分","0","0","8","0","0","0","102","0","86","0","0"
"2013年02月07日11時00分","0","27","22","0","0","14","57","0","153","0","0"
"2013年02月07日11時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時35分","0","0","0","0","0","0","0","0","0","0","232"
"2013年02月07日13時40分","0","0","0","0","0","0","0","0","0","0","70"
"2013年02月07日13時45分","0","1","2","0","0","0","0","0","0","0","237"
"2013年02月07日13時50分","0","82","0","0","0","0","0","0","2","0","176"
"2013年02月07日13時55分","0","3","0","0","0","43","0","0","0","0","1"
"2013年02月07日14時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時05分","0","0","7","0","0","48","6","0","0","0","0"
"2013年02月07日14時10分","0","0","5","0","0","292","0","0","0","0","0"
"2013年02月07日14時15分","0","0","3","0","0","217","75","0","0","0","0"
"2013年02月07日14時20分","0","0","9","0","0","7","101","0","12","0","123"
"2013年02月07日14時25分","0","0","11","0","0","32","0","0","112","0","139"
"2013年02月07日14時30分","0","14","1","0","0","58","0","0","195","0","28"
"2013年02月07日14時35分","0","1","44","0","0","16","0","0","111","0","18"
"2013年02月07日14時40分","0","0","0","0","0","13","286","0","0","0","0"
"2013年02月07日14時45分","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月07日14時50分","0","0","0","0","0","7","256","0","0","0","35"
"2013年02月07日14時55分","0","0","0","0","0","0","0","0","0","0","143"
"2013年02月07日15時00分","0","0","6","0","0","0","0","0","71","0","185"
"2013年02月07日15時05分","0","0","1","0","0","43","1","0","138","0","9"
"2013年02月07日15時10分","0","0","0","0","0","0","0","0","164","0","0"
"2013年02月07日15時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時25分","0","18","2","0","0","21","3","0","136","0","1"
"2013年02月07日15時30分","0","0","0","0","0","0","0","0","51","12","0"
"2013年02月07日15時35分","0","0","0","0","0","0","254","0","0","0","0"
"2013年02月07日15時40分","0","0","2","0","0","88","173","0","35","0","0"
"2013年02月07日15時45分","0","0","3","0","0","235","0","0","0","0","60"
"2013年02月07日15時50分","0","10","0","0","0","27","0","0","0","0","0"
"2013年02月07日15時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時00分","0","9","1","0","0","32","0","0","0","0","169"
"2013年02月07日16時05分","0","0","13","0","0","126","122","0","0","0","36"
"2013年02月07日16時10分","0","0","0","0","0","0","260","0","0","0","0"
"2013年02月07日16時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時20分","0","0","0","0","0","2","5","0","0","0","131"
"2013年02月07日16時25分","0","0","0","0","0","0","0","0","0","0","96"
"2013年02月07日16時30分","0","0","0","0","0","0","0","0","1","0","257"
"2013年02月07日16時35分","0","6","30","0","0","0","176","0","3","0","82"
"2013年02月07日16時40分","0","0","0","0","0","0","1","0","0","0","0"
"2013年02月07日16時45分","0","74","7","0","0","167","6","0","0","5","20"
"2013年02月07日16時50分","0","87","0","0","0","0","0","0","0","0","180"
"2013年02月07日16時55分","0","0","0","0","0","0","0","0","1","0","19"
"2013年02月07日17時00分","0","0","11","0","0","0","4","0","0","0","145"
"2013年02月07日17時05分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月07日17時10分","0","0","0","0","0","0","51","0","0","0","192"
"2013年02月07日17時15分","0","181","0","0","0","0","0","0","0","0","3"
"2013年02月07日17時20分","0","0","0","0","0","0","16","0","0","0","0"
"2013年02月07日17時25分","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月07日17時30分","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月07日17時35分","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月07日17時40分","0","21","0","0","0","0","132","0","141","0","0"
"2013年02月07日17時45分","0","0","0","0","0","0","0","0","29","0","0"
"2013年02月07日17時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日17時55分","0","0","1","0","0","9","0","0","22","0","13"
"2013年02月07日18時00分","0","0","2","0","0","38","45","0","0","0","0"
"2013年02月07日18時05分","0","141","0","0","0","0","158","0","0","0","0"
"2013年02月07日18時10分","0","8","5","0","0","0","286","0","0","0","0"
"2013年02月07日18時15分","0","0","28","0","0","0","265","0","0","0","6"
"2013年02月07日18時20分","0","57","2","0","0","20","123","0","0","0","95"
"2013年02月07日18時25分","0","0","0","0","0","0","0","0","0","0","237"
"2013年02月07日18時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時00分","0","30","41","0","0","0","0","0","0","0","237"
"2013年02月08日09時05分","0","3","0","0","0","0","0","0","0","0","149"
"2013年02月08日09時10分","0","0","0","0","0","0","0","0","0","0","29"
"2013年02月08日09時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時20分","0","0","0","0","0","0","0","0","0","0","0"
