"","TaskPit","ブラウザ","メール","プログラミング","ワード","プレゼン編集","エクセル","ファイル操作","文書閲覧　","調査　","SQLサーバ　","テスト　","プログラミング・デバッグ　","登録外"
"2013年02月05日11時10分","36","162","195","0","0","0","0","42","0","0","0","0","0","0"
"2013年02月05日11時15分","0","76","143","0","0","0","0","9","67","0","0","0","0","0"
"2013年02月05日11時20分","0","61","173","0","0","0","0","6","56","0","0","0","0","0"
"2013年02月05日11時25分","0","36","179","0","0","0","0","24","58","0","0","0","0","0"
"2013年02月05日11時30分","0","4","146","0","0","0","0","0","91","0","0","0","0","0"
"2013年02月05日11時35分","0","8","191","0","0","0","0","10","88","0","0","0","0","0"
"2013年02月05日11時40分","0","6","291","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時45分","0","7","291","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日11時50分","0","0","250","0","0","0","17","29","0","0","0","0","0","1"
"2013年02月05日11時55分","0","16","225","0","0","0","33","21","0","0","0","0","0","0"
"2013年02月05日12時00分","0","0","300","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時05分","0","0","62","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時10分","0","42","194","0","0","0","0","18","0","0","0","0","0","0"
"2013年02月05日12時15分","0","0","0","0","0","0","0","169","0","0","0","0","0","0"
"2013年02月05日12時20分","0","0","161","0","0","0","0","4","0","0","0","0","0","1"
"2013年02月05日12時25分","0","8","35","0","0","56","142","54","0","0","0","0","0","0"
"2013年02月05日12時30分","0","0","0","0","0","101","0","170","27","0","0","0","0","0"
"2013年02月05日12時35分","0","90","0","0","0","17","33","12","0","0","0","0","0","126"
"2013年02月05日12時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","174"
"2013年02月05日12時45分","0","0","2","0","0","0","0","0","0","0","0","0","0","283"
"2013年02月05日12時50分","0","0","0","0","0","0","0","180","0","0","0","0","0","1"
"2013年02月05日12時55分","0","2","2","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日13時00分","0","8","3","0","0","0","0","21","0","0","0","0","0","206"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","208","76","0","0","0","0","0","0","0","0","0","0","3"
"2013年02月05日13時35分","0","148","31","0","0","0","6","0","0","0","0","0","0","112"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","281"
"2013年02月05日13時50分","0","0","8","0","0","0","151","55","0","0","0","0","0","75"
"2013年02月05日13時55分","0","0","78","0","0","6","22","158","17","0","0","0","0","15"
"2013年02月05日14時00分","6","35","56","0","0","0","0","150","0","0","0","0","0","47"
"2013年02月05日14時05分","0","0","0","0","0","0","97","143","0","35","0","0","0","19"
"2013年02月05日14時10分","0","0","0","0","0","0","178","11","0","61","0","0","0","43"
"2013年02月05日14時15分","0","0","0","0","0","0","277","19","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","0","0","0","0","162","29","0","53","0","0","0","51"
"2013年02月05日14時25分","0","0","0","0","0","0","288","1","0","0","0","0","0","8"
"2013年02月05日14時30分","0","0","0","0","0","0","170","2","0","0","0","0","0","125"
"2013年02月05日14時35分","0","96","164","0","0","0","9","0","0","0","0","0","0","30"
"2013年02月05日14時40分","0","1","106","0","0","0","106","36","0","0","0","0","0","48"
"2013年02月05日14時45分","0","0","2","0","0","0","202","11","0","0","0","0","0","80"
"2013年02月05日14時50分","0","0","0","0","0","0","135","2","0","0","0","0","0","54"
"2013年02月05日14時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時00分","0","0","4","0","0","0","265","14","0","0","0","0","0","1"
"2013年02月05日15時05分","0","47","43","0","0","0","172","1","0","0","0","0","0","31"
"2013年02月05日15時10分","0","8","13","0","0","0","146","78","0","0","0","0","0","49"
"2013年02月05日15時15分","0","16","202","0","0","0","54","0","0","0","0","0","0","26"
"2013年02月05日15時20分","0","47","111","0","0","0","140","0","0","0","0","0","0","0"
"2013年02月05日15時25分","0","40","0","0","0","0","213","5","0","0","0","0","0","35"
"2013年02月05日15時30分","0","0","0","0","0","0","208","11","0","0","0","0","0","75"
