"","打鍵回数","左クリック","右クリック"
"2013年02月05日11時30分","19","10","1"
"2013年02月05日11時35分","21","0","0"
"2013年02月05日11時40分","51","0","0"
"2013年02月05日11時45分","508","0","0"
"2013年02月05日11時50分","102","0","0"
"2013年02月05日11時55分","0","0","0"
"2013年02月05日12時00分","0","0","0"
"2013年02月05日12時05分","0","0","0"
"2013年02月05日12時10分","79","0","0"
"2013年02月05日12時15分","117","0","0"
"2013年02月05日12時20分","136","0","0"
"2013年02月05日12時25分","75","0","0"
"2013年02月05日12時30分","42","0","0"
"2013年02月05日12時35分","9","0","0"
"2013年02月05日12時40分","136","0","0"
"2013年02月05日12時45分","2","0","0"
"2013年02月05日12時50分","0","0","0"
"2013年02月05日12時55分","0","0","0"
"2013年02月05日13時00分","0","0","0"
"2013年02月05日13時05分","0","0","0"
"2013年02月05日13時10分","0","0","0"
"2013年02月05日13時15分","0","0","0"
"2013年02月05日13時20分","0","0","0"
"2013年02月05日13時25分","0","0","0"
"2013年02月05日13時30分","0","0","0"
"2013年02月05日13時35分","0","0","0"
"2013年02月05日13時40分","4","0","0"
"2013年02月05日13時45分","0","0","0"
"2013年02月05日13時50分","0","0","0"
"2013年02月05日13時55分","35","0","0"
"2013年02月05日14時00分","66","0","0"
"2013年02月05日14時05分","0","0","0"
"2013年02月05日14時10分","30","0","0"
"2013年02月05日14時15分","70","0","0"
"2013年02月05日14時20分","24","0","0"
"2013年02月05日14時25分","12","0","0"
"2013年02月05日14時30分","290","0","0"
"2013年02月05日14時35分","212","0","0"
"2013年02月05日14時40分","24","0","0"
"2013年02月05日14時45分","99","0","0"
"2013年02月05日14時50分","44","0","0"
"2013年02月05日14時55分","2","0","0"
"2013年02月05日15時00分","0","0","0"
"2013年02月05日15時05分","72","0","0"
"2013年02月05日15時10分","10","0","0"
"2013年02月05日15時15分","0","0","0"
"2013年02月05日15時20分","54","0","0"
"2013年02月05日15時25分","2","0","0"
"2013年02月05日15時30分","54","0","0"
"2013年02月05日15時35分","76","0","0"
"2013年02月05日15時40分","24","0","0"
"2013年02月05日15時45分","17","0","0"
"2013年02月05日15時50分","3","0","0"
"2013年02月05日15時55分","2","0","0"
"2013年02月05日16時00分","22","0","0"
"2013年02月05日16時05分","26","0","0"
"2013年02月05日16時10分","3","0","0"
"2013年02月05日16時15分","117","0","0"
"2013年02月05日16時20分","134","0","0"
"2013年02月05日16時25分","88","0","0"
"2013年02月05日16時30分","0","0","0"
"2013年02月05日16時35分","22","0","0"
"2013年02月05日16時40分","86","0","0"
"2013年02月05日16時45分","59","0","0"
"2013年02月05日16時50分","7","0","0"
"2013年02月05日16時55分","8","0","0"
"2013年02月05日17時00分","16","0","0"
"2013年02月05日17時05分","41","0","0"
"2013年02月05日17時10分","0","0","0"
"2013年02月05日17時15分","22","0","0"
"2013年02月05日17時20分","27","0","0"
"2013年02月05日17時25分","0","0","0"
"2013年02月05日17時30分","0","0","0"
"2013年02月05日17時35分","6","0","0"
"2013年02月05日17時40分","7","0","0"
"2013年02月05日17時45分","0","0","0"
"2013年02月05日17時50分","73","0","0"
"2013年02月05日17時55分","52","0","0"
"2013年02月05日18時00分","70","0","0"
"2013年02月05日18時05分","36","0","0"
"2013年02月05日18時10分","4","0","0"
"2013年02月05日18時15分","107","0","0"
"2013年02月05日18時20分","25","0","0"
"2013年02月05日18時25分","0","0","0"
"2013年02月05日18時30分","0","0","0"
"2013年02月05日18時35分","0","0","0"
"2013年02月05日18時40分","0","0","0"
"2013年02月05日18時45分","0","0","0"
"2013年02月05日18時50分","0","0","0"
"2013年02月05日18時55分","12","0","0"
"2013年02月05日19時00分","0","0","0"
"2013年02月05日19時05分","0","0","0"
"2013年02月05日19時10分","16","0","0"
"2013年02月05日19時15分","0","0","0"
"2013年02月05日19時20分","0","0","0"
"2013年02月05日19時25分","10","0","0"
"2013年02月05日19時30分","0","0","0"
"2013年02月05日19時35分","0","0","0"
"2013年02月05日19時40分","0","0","0"
"2013年02月05日19時45分","30","0","0"
"2013年02月05日19時50分","19","0","0"
"2013年02月05日19時55分","27","0","0"
"2013年02月05日20時00分","0","0","0"
"2013年02月05日20時05分","126","0","0"
"2013年02月05日20時10分","33","0","0"
"2013年02月05日20時15分","30","0","0"
"2013年02月05日20時20分","13","0","0"
"2013年02月05日20時25分","48","0","0"
"2013年02月05日20時30分","0","0","0"
"2013年02月05日20時35分","2","0","0"
"2013年02月05日20時40分","0","0","0"
"2013年02月05日20時45分","0","0","0"
"2013年02月05日20時50分","8","0","0"
"2013年02月05日20時55分","49","0","0"
"2013年02月05日21時00分","0","0","0"
"2013年02月05日21時05分","17","0","0"
"2013年02月05日21時10分","0","0","0"
"2013年02月05日21時15分","0","0","0"
"2013年02月05日21時20分","0","0","0"
"2013年02月05日21時25分","25","0","0"
"2013年02月05日21時30分","153","0","0"
"2013年02月05日21時35分","268","0","0"
"2013年02月05日21時40分","0","0","0"
"2013年02月05日21時45分","0","0","0"
"2013年02月05日21時50分","10","0","0"
"2013年02月05日21時55分","51","0","0"
"2013年02月05日22時00分","0","0","0"
"2013年02月05日22時05分","0","0","0"
"2013年02月05日22時10分","0","0","0"
"2013年02月05日22時15分","0","0","0"
"2013年02月05日22時20分","10","0","0"
"2013年02月05日22時25分","15","0","0"
"2013年02月05日22時30分","87","0","0"
"2013年02月05日22時35分","40","0","0"
"2013年02月05日22時40分","9","0","0"
"2013年02月05日22時45分","54","0","0"
"2013年02月05日22時50分","59","0","0"
"2013年02月06日09時20分","4","0","0"
"2013年02月06日09時25分","0","0","0"
"2013年02月06日09時30分","0","0","0"
"2013年02月06日09時35分","19","0","0"
"2013年02月06日09時40分","24","0","0"
"2013年02月06日09時45分","0","0","0"
"2013年02月06日09時50分","9","0","0"
"2013年02月06日09時55分","0","0","0"
"2013年02月06日10時00分","19","0","0"
"2013年02月06日10時05分","0","0","0"
"2013年02月06日10時10分","54","0","0"
"2013年02月06日10時15分","108","0","0"
"2013年02月06日10時20分","0","0","0"
"2013年02月06日10時25分","178","0","0"
"2013年02月06日10時30分","313","0","0"
"2013年02月06日10時35分","181","0","0"
"2013年02月06日10時40分","44","0","0"
"2013年02月06日10時45分","67","0","0"
"2013年02月06日10時50分","139","0","0"
"2013年02月06日10時55分","137","0","0"
"2013年02月06日11時00分","0","0","0"
"2013年02月06日11時05分","65","0","0"
"2013年02月06日11時10分","112","0","0"
"2013年02月06日11時15分","7","0","0"
"2013年02月06日11時20分","1","0","0"
"2013年02月06日11時25分","256","0","0"
"2013年02月06日11時30分","36","0","0"
"2013年02月06日11時35分","0","0","0"
"2013年02月06日11時40分","108","0","0"
"2013年02月06日11時45分","0","0","0"
"2013年02月06日11時50分","0","0","0"
"2013年02月06日11時55分","0","0","0"
"2013年02月06日12時00分","0","0","0"
"2013年02月06日12時05分","0","0","0"
"2013年02月06日12時10分","0","0","0"
"2013年02月06日12時15分","0","0","0"
"2013年02月06日12時20分","0","0","0"
"2013年02月06日12時25分","0","0","0"
"2013年02月06日12時30分","0","0","0"
"2013年02月06日12時35分","0","0","0"
"2013年02月06日12時40分","0","0","0"
"2013年02月06日12時45分","0","0","0"
"2013年02月06日12時50分","0","0","0"
"2013年02月06日12時55分","0","0","0"
"2013年02月06日13時00分","0","0","0"
"2013年02月06日13時05分","10","0","0"
"2013年02月06日13時10分","3","0","0"
"2013年02月06日13時15分","21","0","0"
"2013年02月06日13時20分","68","0","0"
"2013年02月06日13時25分","79","0","0"
"2013年02月06日13時30分","9","0","0"
"2013年02月06日13時35分","60","0","0"
"2013年02月06日13時40分","90","0","0"
"2013年02月06日13時45分","11","0","0"
"2013年02月06日13時50分","0","0","0"
"2013年02月06日13時55分","10","0","0"
"2013年02月06日14時00分","0","0","0"
"2013年02月06日14時05分","3","0","0"
"2013年02月06日14時10分","22","0","0"
"2013年02月06日14時15分","85","0","0"
"2013年02月06日14時20分","69","0","0"
"2013年02月06日14時30分","43","0","0"
"2013年02月06日14時35分","2","0","0"
"2013年02月06日14時40分","0","0","0"
"2013年02月06日14時45分","0","0","0"
"2013年02月06日14時50分","3","0","0"
"2013年02月06日14時55分","0","0","0"
"2013年02月06日15時00分","0","0","0"
"2013年02月06日15時05分","3","0","0"
"2013年02月06日15時10分","43","0","0"
"2013年02月06日15時15分","2","0","0"
"2013年02月06日15時20分","0","0","0"
"2013年02月06日15時25分","150","0","0"
"2013年02月06日15時30分","94","0","0"
"2013年02月06日15時35分","41","0","0"
"2013年02月06日15時40分","73","0","0"
"2013年02月06日15時45分","7","0","0"
"2013年02月06日15時50分","0","0","0"
"2013年02月06日15時55分","0","0","0"
"2013年02月06日16時00分","1","0","0"
"2013年02月06日16時05分","26","0","0"
