"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"TaskPit","2013年02月05日09時18分45秒","2013年02月05日09時18分48秒","0","0","0"
"登録外","2013年02月05日09時18分48秒","2013年02月05日09時19分11秒","0","0","0"
"登録外","2013年02月05日09時19分11秒","2013年02月05日09時19分23秒","2","0","0"
"ファイル操作","2013年02月05日09時19分23秒","2013年02月05日09時19分28秒","0","0","0"
"ブラウザ","2013年02月05日09時19分28秒","2013年02月05日09時19分30秒","0","0","0"
"ブラウザ","2013年02月05日09時19分30秒","2013年02月05日09時20分00秒","0","0","0"
"ブラウザ","2013年02月05日09時20分00秒","2013年02月05日09時21分41秒","2","0","0"
"ブラウザ","2013年02月05日09時21分41秒","2013年02月05日09時21分44秒","1","0","0"
"ブラウザ","2013年02月05日09時21分44秒","2013年02月05日09時21分45秒","1","0","0"
"ブラウザ","2013年02月05日09時21分45秒","2013年02月05日09時21分46秒","1","0","0"
"ブラウザ","2013年02月05日09時21分46秒","2013年02月05日09時21分49秒","1","0","0"
"ブラウザ","2013年02月05日09時21分49秒","2013年02月05日09時21分51秒","1","0","0"
"ブラウザ","2013年02月05日09時21分51秒","2013年02月05日09時21分52秒","1","0","0"
"ブラウザ","2013年02月05日09時21分52秒","2013年02月05日09時21分53秒","1","0","0"
"ブラウザ","2013年02月05日09時21分53秒","2013年02月05日09時22分07秒","1","0","12"
"ブラウザ","2013年02月05日09時22分07秒","2013年02月05日09時22分10秒","0","0","0"
"ブラウザ","2013年02月05日09時22分10秒","2013年02月05日09時22分14秒","1","0","0"
"ブラウザ","2013年02月05日09時22分14秒","2013年02月05日09時22分21秒","1","0","0"
"ブラウザ","2013年02月05日09時22分21秒","2013年02月05日09時22分22秒","1","0","0"
"ブラウザ","2013年02月05日09時22分22秒","2013年02月05日09時22分44秒","2","0","0"
"ファイル操作","2013年02月05日09時22分44秒","2013年02月05日09時22分47秒","0","0","0"
"メール","2013年02月05日09時22分47秒","2013年02月05日09時22分48秒","0","0","0"
"メール","2013年02月05日09時22分48秒","2013年02月05日09時23分01秒","2","0","3"
"メール","2013年02月05日09時23分01秒","2013年02月05日09時23分18秒","2","0","1"
"ブラウザ","2013年02月05日09時23分18秒","2013年02月05日09時23分24秒","2","0","7"
"ブラウザ","2013年02月05日09時23分24秒","2013年02月05日09時23分25秒","0","0","0"
"ブラウザ","2013年02月05日09時23分25秒","2013年02月05日09時23分26秒","1","0","0"
"ブラウザ","2013年02月05日09時23分26秒","2013年02月05日09時23分28秒","1","0","0"
"メール","2013年02月05日09時23分29秒","2013年02月05日09時24分05秒","7","0","11"
"ブラウザ","2013年02月05日09時24分05秒","2013年02月05日09時24分35秒","1","0","4"
"ブラウザ","2013年02月05日09時24分35秒","2013年02月05日09時24分40秒","3","0","0"
"ブラウザ","2013年02月05日09時24分40秒","2013年02月05日09時24分41秒","0","0","0"
"エクセル","2013年02月05日09時24分41秒","2013年02月05日09時24分42秒","0","0","0"
"エクセル","2013年02月05日09時24分42秒","2013年02月05日09時24分57秒","3","0","0"
"エクセル","2013年02月05日09時24分57秒","2013年02月05日09時25分00秒","2","0","0"
"エクセル","2013年02月05日09時25分00秒","2013年02月05日09時25分01秒","1","0","0"
"ブラウザ","2013年02月05日09時25分01秒","2013年02月05日09時25分02秒","0","0","0"
"ブラウザ","2013年02月05日09時25分02秒","2013年02月05日09時25分06秒","1","0","0"
"メール","2013年02月05日09時25分06秒","2013年02月05日09時26分14秒","5","0","24"
"ブラウザ","2013年02月05日09時26分14秒","2013年02月05日09時27分38秒","1","0","0"
"ファイル操作","2013年02月05日09時27分38秒","2013年02月05日09時29分58秒","1","0","0"
"メール","2013年02月05日09時29分58秒","2013年02月05日09時30分00秒","0","0","0"
"メール","2013年02月05日09時30分00秒","2013年02月05日09時30分11秒","1","0","0"
"ブラウザ","2013年02月05日09時30分11秒","2013年02月05日09時30分17秒","1","0","0"
"メール","2013年02月05日09時30分17秒","2013年02月05日09時30分40秒","1","0","0"
"ブラウザ","2013年02月05日09時30分40秒","2013年02月05日09時31分11秒","1","0","0"
"ブラウザ","2013年02月05日09時31分11秒","2013年02月05日09時31分20秒","1","0","0"
"メール","2013年02月05日09時31分20秒","2013年02月05日09時31分40秒","1","0","0"
"ブラウザ","2013年02月05日09時31分40秒","2013年02月05日09時31分42秒","1","0","0"
"ファイル操作","2013年02月05日09時31分42秒","2013年02月05日09時31分53秒","4","0","0"
"ファイル操作","2013年02月05日09時31分53秒","2013年02月05日09時31分55秒","1","0","0"
"ブラウザ","2013年02月05日09時31分55秒","2013年02月05日09時31分59秒","1","0","7"
"ブラウザ","2013年02月05日09時31分59秒","2013年02月05日09時32分02秒","1","0","0"
"ファイル操作","2013年02月05日09時32分02秒","2013年02月05日09時32分05秒","1","0","0"
"ファイル操作","2013年02月05日09時32分05秒","2013年02月05日09時32分09秒","1","0","0"
"ブラウザ","2013年02月05日09時32分09秒","2013年02月05日09時32分14秒","1","0","7"
"ブラウザ","2013年02月05日09時32分14秒","2013年02月05日09時32分15秒","0","0","2"
"ファイル操作","2013年02月05日09時32分15秒","2013年02月05日09時32分17秒","0","0","2"
"ブラウザ","2013年02月05日09時32分17秒","2013年02月05日09時32分22秒","1","0","7"
"ブラウザ","2013年02月05日09時32分22秒","2013年02月05日09時32分28秒","1","0","0"
"ファイル操作","2013年02月05日09時32分28秒","2013年02月05日09時32分29秒","1","0","2"
"ブラウザ","2013年02月05日09時32分29秒","2013年02月05日09時32分44秒","1","0","0"
"ファイル操作","2013年02月05日09時32分44秒","2013年02月05日09時32分47秒","1","0","0"
"ファイル操作","2013年02月05日09時32分47秒","2013年02月05日09時32分49秒","1","0","0"
"ブラウザ","2013年02月05日09時32分49秒","2013年02月05日09時32分51秒","1","0","0"
"ファイル操作","2013年02月05日09時32分51秒","2013年02月05日09時32分55秒","2","0","0"
"ファイル操作","2013年02月05日09時32分55秒","2013年02月05日09時32分56秒","1","0","0"
"ファイル操作","2013年02月05日09時32分56秒","2013年02月05日09時33分00秒","1","0","6"
"ブラウザ","2013年02月05日09時33分00秒","2013年02月05日09時33分01秒","1","0","0"
"ブラウザ","2013年02月05日09時33分01秒","2013年02月05日09時33分02秒","0","0","0"
"ブラウザ","2013年02月05日09時33分02秒","2013年02月05日09時33分03秒","1","0","0"
"ブラウザ","2013年02月05日09時33分03秒","2013年02月05日09時33分04秒","1","0","0"
"ファイル操作","2013年02月05日09時33分04秒","2013年02月05日09時33分09秒","2","0","0"
"登録外","2013年02月05日09時33分09秒","2013年02月05日09時33分11秒","0","0","0"
"登録外","2013年02月05日09時33分11秒","2013年02月05日09時33分13秒","1","0","0"
"登録外","2013年02月05日09時33分13秒","2013年02月05日09時35分00秒","1","0","56"
"登録外","2013年02月05日09時35分00秒","2013年02月05日09時37分21秒","2","0","52"
"ファイル操作","2013年02月05日09時37分21秒","2013年02月05日09時37分22秒","1","0","0"
"ブラウザ","2013年02月05日09時37分22秒","2013年02月05日09時37分23秒","1","0","0"
"ブラウザ","2013年02月05日09時37分23秒","2013年02月05日09時37分45秒","1","0","3"
"登録外","2013年02月05日09時37分45秒","2013年02月05日09時37分49秒","2","0","0"
"登録外","2013年02月05日09時37分49秒","2013年02月05日09時37分50秒","1","0","0"
"登録外","2013年02月05日09時37分50秒","2013年02月05日09時37分55秒","2","0","2"
"登録外","2013年02月05日09時37分55秒","2013年02月05日09時37分56秒","1","0","0"
"登録外","2013年02月05日09時37分56秒","2013年02月05日09時40分01秒","1","0","56"
"登録外","2013年02月05日09時40分01秒","2013年02月05日09時42分53秒","4","0","84"
"ファイル操作","2013年02月05日09時42分53秒","2013年02月05日09時42分54秒","1","0","0"
"ブラウザ","2013年02月05日09時42分54秒","2013年02月05日09時42分56秒","1","0","0"
"登録外","2013年02月05日09時42分56秒","2013年02月05日09時42分57秒","1","0","0"
"メール","2013年02月05日09時42分57秒","2013年02月05日09時43分05秒","3","0","1"
"登録外","2013年02月05日09時43分05秒","2013年02月05日09時45分01秒","0","0","65"
"登録外","2013年02月05日09時45分01秒","2013年02月05日09時46分55秒","0","0","0"
"登録外","2013年02月05日09時48分20秒","2013年02月05日09時48分22秒","1","0","0"
