"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月06日09時15分","129","7","8","0","0","0","0","0","0","0","2"
"2013年02月06日09時20分","295","0","3","0","0","0","0","0","0","0","0"
"2013年02月06日09時25分","84","17","51","146","0","0","0","0","0","0","0"
"2013年02月06日09時30分","34","144","96","23","0","0","0","0","0","0","0"
"2013年02月06日09時35分","24","71","0","0","0","203","0","0","0","0","0"
"2013年02月06日09時40分","0","124","0","0","0","175","0","0","0","0","0"
"2013年02月06日09時45分","0","68","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時50分","8","68","110","6","0","1","0","0","0","0","0"
"2013年02月06日09時55分","0","25","216","0","0","56","0","0","0","0","0"
"2013年02月06日10時00分","100","32","160","0","0","4","0","0","0","0","0"
"2013年02月06日10時05分","232","5","18","43","0","0","0","0","0","0","0"
"2013年02月06日10時10分","164","57","48","5","0","0","0","23","0","0","0"
"2013年02月06日10時15分","9","38","44","207","0","0","0","0","0","0","0"
"2013年02月06日10時20分","0","0","30","48","220","0","0","0","0","0","0"
"2013年02月06日10時25分","0","0","23","99","92","0","0","0","0","84","0"
"2013年02月06日10時30分","0","0","0","0","121","0","0","0","0","175","0"
"2013年02月06日10時35分","0","0","5","45","56","0","0","0","0","191","0"
"2013年02月06日10時40分","0","0","0","0","300","0","0","0","0","0","0"
"2013年02月06日10時45分","0","0","0","0","300","0","0","0","0","0","0"
"2013年02月06日10時50分","0","15","84","17","182","0","0","0","0","0","0"
"2013年02月06日10時55分","0","56","18","15","183","0","0","0","0","0","0"
"2013年02月06日11時00分","0","46","68","162","22","0","0","0","0","0","0"
"2013年02月06日11時05分","0","162","27","0","109","0","0","0","0","0","0"
"2013年02月06日11時10分","0","173","4","0","92","0","0","0","0","29","0"
"2013年02月06日11時15分","0","198","0","0","0","0","0","0","0","101","0"
"2013年02月06日11時20分","0","19","14","0","0","3","0","0","0","260","0"
"2013年02月06日11時25分","0","34","2","0","0","0","0","0","0","260","0"
"2013年02月06日11時30分","0","296","0","0","0","0","0","0","0","3","0"
"2013年02月06日11時35分","0","203","0","0","0","0","0","0","0","0","0"
