"","TaskPit","ブラウザ","メール","プログラミング","ワード","プレゼン編集","エクセル","ファイル操作","文書閲覧　","調査　","SQLサーバ　","テスト　","プログラミング・デバッグ　","登録外"
"2013年02月05日08時55分","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時00分","26","116","0","0","0","0","0","80","53","0","0","0","0","0"
"2013年02月05日09時05分","0","0","50","0","0","0","175","61","0","0","0","0","0","0"
"2013年02月05日09時10分","0","0","61","0","0","0","237","1","0","0","0","0","0","0"
"2013年02月05日09時15分","0","0","0","0","0","0","187","0","0","0","0","0","0","0"
"2013年02月05日09時20分","0","0","56","0","0","0","95","3","0","0","0","0","0","0"
"2013年02月05日09時25分","0","0","47","0","0","0","230","13","0","0","0","0","0","8"
"2013年02月05日09時30分","0","0","227","0","0","0","69","2","0","0","0","0","0","0"
"2013年02月05日09時35分","0","0","232","0","0","0","65","0","0","0","0","0","0","0"
"2013年02月05日09時40分","0","0","284","0","0","0","15","0","0","0","0","0","0","0"
"2013年02月05日09時45分","0","0","34","0","0","0","2","158","0","100","0","0","0","2"
"2013年02月05日09時50分","0","0","87","81","0","0","15","110","0","4","0","0","81","0"
"2013年02月05日09時55分","0","0","0","22","0","0","28","2","0","247","0","0","22","0"
"2013年02月05日10時00分","0","0","0","0","0","0","0","0","0","299","0","0","0","0"
"2013年02月05日10時05分","0","0","0","0","0","0","0","0","0","299","0","0","0","0"
"2013年02月05日10時10分","0","0","0","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月05日10時15分","0","0","0","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月05日10時20分","0","0","0","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月05日10時25分","0","0","0","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月05日10時30分","0","21","45","0","0","0","13","1","0","218","0","0","0","0"
"2013年02月05日10時35分","0","0","224","0","0","0","72","2","0","0","0","0","0","0"
"2013年02月05日10時40分","0","0","299","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時45分","0","0","300","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時50分","0","0","249","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時55分","0","4","100","22","0","0","8","21","0","85","0","0","22","0"
"2013年02月05日11時00分","0","0","0","210","0","0","70","4","0","12","0","0","210","0"
"2013年02月05日11時05分","0","0","0","288","0","0","9","0","0","0","0","0","288","0"
"2013年02月05日11時10分","0","0","0","299","0","0","0","0","0","0","0","0","299","0"
"2013年02月05日11時15分","0","0","7","292","0","0","0","0","0","0","0","0","292","0"
"2013年02月05日11時20分","0","0","0","218","0","0","44","0","0","0","0","0","218","0"
"2013年02月05日11時25分","0","0","16","274","0","0","6","0","0","0","0","0","274","0"
"2013年02月05日11時30分","0","0","17","240","0","0","35","4","0","0","0","0","240","0"
"2013年02月05日11時35分","0","0","0","282","0","0","13","1","0","0","0","0","282","0"
"2013年02月05日11時40分","0","0","0","65","0","0","227","1","0","0","0","0","65","0"
"2013年02月05日11時45分","0","0","150","114","0","0","15","0","0","0","0","0","114","0"
"2013年02月05日11時50分","0","0","0","299","0","0","0","0","0","0","0","0","299","0"
"2013年02月05日11時55分","0","0","0","194","0","0","0","0","0","0","0","0","194","0"
"2013年02月05日12時00分","0","0","0","272","0","0","0","0","0","0","0","0","272","0"
"2013年02月05日12時05分","0","3","0","181","0","0","0","5","0","0","0","0","181","0"
"2013年02月05日12時10分","0","280","0","17","0","0","0","1","0","0","0","0","17","0"
"2013年02月05日12時15分","0","298","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時20分","0","49","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時40分","0","0","0","124","0","0","0","0","0","0","0","0","124","0"
"2013年02月05日12時45分","0","0","0","63","0","0","0","0","0","0","0","0","63","0"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","90","0","1","0","0","0","2","0","0","0","0","1","0"
"2013年02月05日13時35分","0","17","110","102","0","0","0","40","0","21","0","0","102","7"
"2013年02月05日13時40分","0","0","300","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時45分","10","0","286","0","0","0","0","0","0","2","0","0","0","0"
"2013年02月05日13時50分","0","0","233","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時55分","0","0","23","37","0","0","0","0","0","0","0","0","37","0"
"2013年02月05日14時00分","0","0","0","300","0","0","0","0","0","0","0","0","300","0"
"2013年02月05日14時05分","0","114","25","155","0","0","0","4","0","0","0","0","155","0"
"2013年02月05日14時10分","0","221","38","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時35分","0","0","243","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時40分","0","5","104","0","0","0","0","84","0","104","0","0","0","0"
"2013年02月05日14時45分","0","0","4","0","0","0","0","97","0","25","0","0","0","0"
"2013年02月05日14時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時20分","0","0","0","34","0","0","129","0","0","0","0","0","34","72"
"2013年02月05日15時25分","0","0","0","259","0","0","18","1","0","0","0","0","259","18"
"2013年02月05日15時30分","0","0","0","216","0","0","80","0","0","0","0","0","216","0"
"2013年02月05日15時35分","0","0","0","271","0","0","24","1","0","0","0","0","271","0"
"2013年02月05日15時40分","0","0","0","238","0","0","58","2","0","0","0","0","238","0"
"2013年02月05日15時45分","0","0","0","241","0","0","54","1","0","0","0","0","241","0"
"2013年02月05日15時50分","0","0","0","213","0","0","0","0","0","0","0","0","213","0"
"2013年02月05日15時55分","0","0","0","70","0","0","0","0","0","0","0","0","70","0"
"2013年02月05日16時00分","0","0","0","122","0","0","176","0","0","0","0","0","122","0"
"2013年02月05日16時05分","0","1","0","233","0","0","16","5","0","0","0","0","233","0"
"2013年02月05日16時10分","0","0","0","267","0","0","29","1","0","0","0","0","267","0"
"2013年02月05日16時15分","0","107","37","30","0","0","28","96","0","0","0","0","30","0"
"2013年02月05日16時20分","0","0","0","57","0","0","0","115","0","9","0","0","57","0"
"2013年02月05日16時25分","5","0","9","0","0","0","30","71","0","40","0","0","0","28"
"2013年02月05日16時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時35分","0","0","0","0","0","0","0","181","0","0","0","0","0","0"
"2013年02月05日16時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時05分","0","0","143","0","0","0","0","7","0","0","0","0","0","0"
"2013年02月05日17時10分","0","16","130","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時15分","0","180","8","0","0","0","0","9","0","0","0","0","0","0"
"2013年02月05日17時20分","0","0","0","0","0","0","0","149","0","0","0","0","0","0"
"2013年02月05日17時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時10分","0","0","113","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時15分","0","0","110","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時20分","0","0","283","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日19時25分","0","0","233","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時40分","0","0","94","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時45分","0","0","242","0","0","0","0","46","0","8","0","0","0","0"
"2013年02月05日19時50分","0","0","300","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時55分","0","0","231","0","0","0","0","22","0","20","0","0","0","25"
"2013年02月05日20時00分","0","0","69","0","0","0","0","47","0","132","0","0","0","0"
"2013年02月05日20時05分","0","0","0","0","0","0","0","8","0","174","0","0","0","0"
"2013年02月05日20時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
