"","打鍵回数","左クリック","右クリック"
"2013年02月04日10時45分","2","47","1"
"2013年02月04日10時50分","10","6","0"
"2013年02月04日10時55分","1","2","0"
"2013年02月04日11時00分","266","85","0"
"2013年02月04日11時05分","158","153","0"
"2013年02月04日11時10分","68","47","1"
"2013年02月04日11時15分","4","25","0"
"2013年02月04日11時20分","56","63","2"
"2013年02月04日11時25分","76","98","1"
"2013年02月04日11時30分","2","25","4"
"2013年02月04日11時35分","1","103","0"
"2013年02月04日11時40分","2","88","0"
"2013年02月04日11時45分","5","135","0"
"2013年02月04日11時50分","5","103","0"
"2013年02月04日11時55分","3","0","0"
"2013年02月04日12時00分","0","0","0"
"2013年02月04日12時05分","0","0","0"
"2013年02月04日12時10分","0","0","0"
"2013年02月04日12時15分","0","0","0"
"2013年02月04日12時20分","0","0","0"
"2013年02月04日12時25分","0","0","0"
"2013年02月04日12時30分","0","0","0"
"2013年02月04日12時35分","0","0","0"
"2013年02月04日12時40分","0","0","0"
"2013年02月04日12時45分","0","0","0"
"2013年02月04日12時50分","0","0","0"
"2013年02月04日12時55分","16","32","0"
"2013年02月04日13時00分","80","52","0"
"2013年02月04日13時05分","4","19","0"
"2013年02月04日13時10分","297","77","0"
"2013年02月04日13時15分","410","99","2"
"2013年02月04日13時20分","313","107","3"
"2013年02月04日13時25分","203","97","5"
"2013年02月04日13時30分","48","74","0"
"2013年02月04日13時35分","55","44","2"
"2013年02月04日13時40分","11","57","0"
"2013年02月04日13時45分","30","48","0"
"2013年02月04日13時50分","6","24","0"
"2013年02月04日13時55分","83","84","1"
"2013年02月04日14時00分","35","60","0"
"2013年02月04日14時05分","0","0","0"
"2013年02月04日14時10分","15","38","0"
"2013年02月04日14時15分","46","68","1"
"2013年02月04日14時20分","18","128","4"
"2013年02月04日14時25分","34","111","1"
"2013年02月04日14時30分","208","90","2"
"2013年02月04日14時35分","121","159","10"
"2013年02月04日14時40分","101","62","0"
"2013年02月04日14時45分","137","106","1"
"2013年02月04日14時50分","18","87","0"
"2013年02月04日14時55分","2","69","0"
"2013年02月04日15時00分","13","77","0"
"2013年02月04日15時05分","14","84","3"
"2013年02月04日15時10分","14","39","0"
"2013年02月04日15時15分","66","46","0"
"2013年02月04日15時20分","16","47","0"
"2013年02月04日15時25分","0","0","0"
"2013年02月04日15時30分","62","25","0"
"2013年02月04日15時35分","143","82","0"
"2013年02月04日15時40分","111","51","0"
"2013年02月04日15時45分","34","52","0"
"2013年02月04日15時50分","179","99","4"
"2013年02月04日15時55分","164","138","0"
"2013年02月04日16時00分","26","0","0"
"2013年02月04日16時05分","280","0","0"
"2013年02月04日16時10分","288","0","0"
"2013年02月04日16時15分","191","0","0"
"2013年02月04日16時20分","381","0","0"
"2013年02月04日16時25分","3","0","0"
"2013年02月04日16時30分","0","0","0"
"2013年02月04日16時35分","115","0","0"
"2013年02月04日16時40分","97","0","0"
"2013年02月04日16時45分","0","0","0"
"2013年02月04日16時50分","0","0","0"
"2013年02月04日16時55分","59","0","0"
"2013年02月04日17時00分","0","0","0"
"2013年02月04日17時05分","1","0","0"
"2013年02月04日17時10分","62","0","0"
"2013年02月04日17時15分","0","0","0"
"2013年02月04日17時20分","7","0","0"
"2013年02月04日17時25分","0","0","0"
"2013年02月04日17時30分","0","0","0"
"2013年02月04日17時35分","0","0","0"
"2013年02月04日17時40分","5","0","0"
"2013年02月04日17時45分","85","0","0"
"2013年02月04日17時50分","150","0","0"
"2013年02月04日17時55分","60","0","0"
"2013年02月04日18時00分","25","0","0"
"2013年02月04日18時05分","106","0","0"
"2013年02月04日18時10分","389","0","0"
"2013年02月04日18時15分","51","0","0"
"2013年02月04日18時20分","22","0","0"
"2013年02月04日18時25分","13","0","0"
"2013年02月04日18時30分","100","0","0"
"2013年02月04日18時35分","68","0","0"
"2013年02月04日18時40分","47","0","0"
"2013年02月04日18時45分","271","0","0"
"2013年02月04日18時50分","241","0","0"
"2013年02月04日18時55分","233","0","0"
"2013年02月04日19時00分","176","0","0"
"2013年02月04日19時05分","151","0","0"
"2013年02月04日19時10分","290","0","0"
"2013年02月04日19時15分","268","0","0"
"2013年02月05日09時10分","42","0","0"
"2013年02月05日09時15分","43","0","0"
"2013年02月05日09時20分","3","0","0"
"2013年02月05日09時25分","71","0","0"
"2013年02月05日09時30分","227","0","0"
"2013年02月05日09時35分","70","0","0"
"2013年02月05日09時40分","30","0","0"
"2013年02月05日09時45分","17","0","0"
"2013年02月05日09時50分","2","0","0"
"2013年02月05日09時55分","6","0","0"
"2013年02月05日10時00分","0","0","0"
"2013年02月05日10時05分","0","0","0"
"2013年02月05日10時10分","0","0","0"
"2013年02月05日10時15分","0","0","0"
"2013年02月05日10時20分","9","0","0"
"2013年02月05日10時25分","9","0","0"
"2013年02月05日10時30分","98","0","0"
"2013年02月05日10時35分","35","0","0"
"2013年02月05日10時40分","0","0","0"
"2013年02月05日10時45分","0","0","0"
"2013年02月05日10時50分","0","0","0"
"2013年02月05日10時55分","0","0","0"
"2013年02月05日11時00分","19","0","0"
"2013年02月05日11時05分","8","0","0"
"2013年02月05日11時10分","0","0","0"
"2013年02月05日11時15分","9","0","0"
