タスク名,開始時刻,終了時刻,左クリック,右クリック,打鍵回数
登録外,2013年02月06日09時15分35秒,2013年02月06日09時15分36秒,1,0,0
メール,2013年02月06日09時15分36秒,2013年02月06日09時15分42秒,2,0,0
メール,2013年02月06日09時15分42秒,2013年02月06日09時16分27秒,6,0,0
メール,2013年02月06日09時16分27秒,2013年02月06日09時16分31秒,1,0,0
メール,2013年02月06日09時16分31秒,2013年02月06日09時16分32秒,1,0,0
メール,2013年02月06日09時16分32秒,2013年02月06日09時19分04秒,6,1,49
メール,2013年02月06日09時19分04秒,2013年02月06日09時20分00秒,2,0,167
メール,2013年02月06日09時20分00秒,2013年02月06日09時21分05秒,1,0,96
ブラウザ,2013年02月06日09時21分07秒,2013年02月06日09時21分08秒,0,0,0
ブラウザ,2013年02月06日09時21分08秒,2013年02月06日09時21分22秒,1,0,0
ブラウザ,2013年02月06日09時21分22秒,2013年02月06日09時21分35秒,0,0,2
ブラウザ,2013年02月06日09時21分35秒,2013年02月06日09時21分45秒,1,0,0
メール,2013年02月06日09時21分45秒,2013年02月06日09時22分30秒,1,0,0
ブラウザ,2013年02月06日09時22分30秒,2013年02月06日09時22分32秒,1,0,0
ブラウザ,2013年02月06日09時22分32秒,2013年02月06日09時22分34秒,1,0,0
ブラウザ,2013年02月06日09時22分34秒,2013年02月06日09時22分36秒,1,0,0
ブラウザ,2013年02月06日09時22分36秒,2013年02月06日09時22分37秒,0,0,0
ブラウザ,2013年02月06日09時22分37秒,2013年02月06日09時22分41秒,0,0,0
ブラウザ,2013年02月06日09時22分41秒,2013年02月06日09時22分43秒,1,0,0
ブラウザ,2013年02月06日09時22分43秒,2013年02月06日09時24分18秒,4,0,0
ブラウザ,2013年02月06日09時24分18秒,2013年02月06日09時24分25秒,2,0,25
ブラウザ,2013年02月06日09時24分25秒,2013年02月06日09時24分39秒,2,0,0
メール,2013年02月06日09時24分39秒,2013年02月06日09時24分43秒,1,0,0
ブラウザ,2013年02月06日09時24分43秒,2013年02月06日09時24分45秒,1,0,0
ブラウザ,2013年02月06日09時24分45秒,2013年02月06日09時24分46秒,2,0,0
ブラウザ,2013年02月06日09時24分46秒,2013年02月06日09時25分00秒,3,0,26
