"","TaskPit - 打鍵回数","ブラウザ - 打鍵回数","メール - 打鍵回数","プログラミング - 打鍵回数","ワード - 打鍵回数","プレゼン編集 - 打鍵回数","エクセル - 打鍵回数","ファイル操作 - 打鍵回数","文書閲覧　 - 打鍵回数","調査　 - 打鍵回数","SQLサーバ　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ　 - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日11時10分","0","41","5","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時15分","0","23","87","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時20分","0","0","369","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時25分","0","0","0","0","0","0","0","9","0","0","0","0","0","0"
"2013年02月05日11時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時35分","0","2","189","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時40分","0","0","450","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時45分","0","0","555","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時50分","0","0","435","0","0","0","0","2","0","0","0","0","0","0"
"2013年02月05日11時55分","0","0","173","0","0","0","0","7","0","0","0","0","0","0"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時10分","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"2013年02月05日12時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時20分","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日12時25分","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"2013年02月05日12時30分","0","0","0","0","0","0","0","7","0","0","0","0","0","0"
"2013年02月05日12時35分","0","23","0","0","0","0","0","1","0","0","0","0","0","8"
"2013年02月05日12時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"2013年02月05日12時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時00分","0","0","0","0","0","0","0","13","0","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日13時35分","0","26","0","0","0","0","0","0","0","0","0","0","0","320"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","211"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","137"
"2013年02月05日13時50分","0","0","0","0","0","0","120","19","0","0","0","0","0","145"
"2013年02月05日13時55分","0","0","0","0","0","0","18","89","1","0","0","0","0","0"
"2013年02月05日14時00分","0","0","0","0","0","0","0","34","0","0","0","0","0","0"
"2013年02月05日14時05分","0","0","0","0","0","0","2","37","0","32","0","0","0","0"
"2013年02月05日14時10分","0","0","0","0","0","0","29","6","0","10","0","0","0","41"
"2013年02月05日14時15分","0","0","0","0","0","0","90","15","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","0","0","0","0","23","0","0","0","0","0","0","0"
"2013年02月05日14時25分","0","0","0","0","0","0","130","0","0","0","0","0","0","0"
"2013年02月05日14時30分","0","0","0","0","0","0","71","0","0","0","0","0","0","8"
"2013年02月05日14時35分","0","0","0","0","0","0","6","0","0","0","0","0","0","2"
"2013年02月05日14時40分","0","0","0","0","0","0","10","12","0","0","0","0","0","63"
"2013年02月05日14時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時00分","0","0","0","0","0","0","162","0","0","0","0","0","0","1"
"2013年02月05日15時05分","0","12","0","0","0","0","23","0","0","0","0","0","0","1"
"2013年02月05日15時10分","0","0","0","0","0","0","14","1","0","0","0","0","0","1"
"2013年02月05日15時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時20分","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"2013年02月05日15時25分","0","13","0","0","0","0","50","0","0","0","0","0","0","0"
"2013年02月05日15時30分","0","0","0","0","0","0","186","0","0","0","0","0","0","0"
"2013年02月05日15時35分","0","0","0","0","0","0","30","6","0","0","0","0","0","0"
"2013年02月05日15時40分","0","0","0","0","0","0","6","0","0","0","0","0","0","0"
"2013年02月05日15時45分","0","0","8","0","0","0","11","0","0","0","0","0","0","0"
"2013年02月05日15時50分","0","0","0","0","0","0","23","0","0","0","0","0","0","0"
"2013年02月05日15時55分","0","0","73","0","0","0","10","1","0","0","0","0","0","0"
"2013年02月05日16時00分","0","0","615","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時05分","0","0","296","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時10分","0","0","540","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時15分","0","0","300","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時20分","0","0","175","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時30分","0","0","0","0","0","0","30","2","0","0","0","0","0","0"
"2013年02月05日16時35分","0","2","0","0","0","0","29","0","0","0","0","0","0","0"
"2013年02月05日16時40分","0","13","0","0","0","0","166","0","0","0","0","0","0","0"
"2013年02月05日16時45分","0","0","0","0","0","0","32","1","0","0","0","0","0","0"
"2013年02月05日16時50分","0","0","0","0","0","0","3","2","0","0","0","0","0","0"
"2013年02月05日16時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日17時05分","0","0","385","0","0","0","0","0","0","0","0","0","0","0"
