"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"登録外","2013年02月04日09時38分21秒","2013年02月04日09時38分40秒","1","0","0"
"ファイル操作","2013年02月04日09時38分40秒","2013年02月04日09時38分56秒","2","1","0"
"調査　","2013年02月04日09時38分56秒","2013年02月04日09時38分58秒","0","0","0"
"調査　","2013年02月04日09時38分58秒","2013年02月04日09時39分08秒","1","0","0"
"TaskPit","2013年02月04日09時39分08秒","2013年02月04日09時39分09秒","1","0","0"
"ファイル操作","2013年02月04日09時39分09秒","2013年02月04日09時39分15秒","0","0","2"
"ファイル操作","2013年02月04日09時39分15秒","2013年02月04日09時39分20秒","0","0","1"
"ファイル操作","2013年02月04日09時39分20秒","2013年02月04日09時39分21秒","0","0","0"
"ファイル操作","2013年02月04日09時39分21秒","2013年02月04日09時39分22秒","0","0","1"
"ファイル操作","2013年02月04日09時39分22秒","2013年02月04日09時39分23秒","0","0","0"
"ファイル操作","2013年02月04日09時39分23秒","2013年02月04日09時39分32秒","3","0","3"
"ファイル操作","2013年02月04日09時39分32秒","2013年02月04日09時39分34秒","0","0","4"
"ファイル操作","2013年02月04日09時39分34秒","2013年02月04日09時39分37秒","0","0","0"
"ファイル操作","2013年02月04日09時39分37秒","2013年02月04日09時39分38秒","0","0","0"
"ファイル操作","2013年02月04日09時39分38秒","2013年02月04日09時39分42秒","2","0","0"
"ファイル操作","2013年02月04日09時39分46秒","2013年02月04日09時39分54秒","1","0","0"
"ブラウザ","2013年02月04日09時39分54秒","2013年02月04日09時39分56秒","0","0","0"
"ブラウザ","2013年02月04日09時39分56秒","2013年02月04日09時40分00秒","0","0","0"
"ブラウザ","2013年02月04日09時40分00秒","2013年02月04日09時40分07秒","1","0","11"
"ブラウザ","2013年02月04日09時40分07秒","2013年02月04日09時40分08秒","0","0","0"
"ブラウザ","2013年02月04日09時40分08秒","2013年02月04日09時40分09秒","1","0","0"
"ブラウザ","2013年02月04日09時40分15秒","2013年02月04日09時40分16秒","0","0","0"
"ブラウザ","2013年02月04日09時40分16秒","2013年02月04日09時41分07秒","3","0","0"
"メール","2013年02月04日09時41分07秒","2013年02月04日09時41分11秒","0","0","2"
"ファイル操作","2013年02月04日09時41分11秒","2013年02月04日09時41分30秒","2","0","0"
"ファイル操作","2013年02月04日09時41分30秒","2013年02月04日09時41分31秒","2","0","0"
"ファイル操作","2013年02月04日09時41分31秒","2013年02月04日09時41分35秒","2","0","0"
"ファイル操作","2013年02月04日09時41分35秒","2013年02月04日09時41分40秒","1","1","0"
"調査　","2013年02月04日09時41分40秒","2013年02月04日09時42分00秒","1","0","1"
"調査　","2013年02月04日09時42分00秒","2013年02月04日09時42分01秒","0","0","1"
"調査　","2013年02月04日09時42分01秒","2013年02月04日09時42分03秒","1","0","2"
"ファイル操作","2013年02月04日09時42分03秒","2013年02月04日09時42分06秒","3","0","0"
"ファイル操作","2013年02月04日09時42分06秒","2013年02月04日09時42分07秒","0","0","0"
"ファイル操作","2013年02月04日09時42分07秒","2013年02月04日09時42分08秒","1","0","0"
"ファイル操作","2013年02月04日09時42分08秒","2013年02月04日09時42分12秒","1","3","0"
"調査　","2013年02月04日09時42分12秒","2013年02月04日09時42分15秒","1","0","0"
"ファイル操作","2013年02月04日09時42分15秒","2013年02月04日09時42分17秒","1","1","0"
"調査　","2013年02月04日09時42分17秒","2013年02月04日09時42分19秒","1","0","0"
"ファイル操作","2013年02月04日09時42分19秒","2013年02月04日09時42分22秒","1","1","0"
"調査　","2013年02月04日09時42分22秒","2013年02月04日09時42分25秒","1","0","0"
"ファイル操作","2013年02月04日09時42分25秒","2013年02月04日09時42分27秒","1","1","0"
"調査　","2013年02月04日09時42分27秒","2013年02月04日09時42分29秒","1","0","0"
"ファイル操作","2013年02月04日09時42分29秒","2013年02月04日09時42分31秒","1","0","0"
"メール","2013年02月04日09時42分31秒","2013年02月04日09時42分36秒","2","0","0"
"ブラウザ","2013年02月04日09時42分36秒","2013年02月04日09時42分44秒","1","0","0"
"メール","2013年02月04日09時42分44秒","2013年02月04日09時42分46秒","2","0","0"
"メール","2013年02月04日09時42分46秒","2013年02月04日09時42分48秒","1","0","0"
"メール","2013年02月04日09時42分48秒","2013年02月04日09時42分49秒","2","0","0"
"メール","2013年02月04日09時42分49秒","2013年02月04日09時42分52秒","1","0","0"
"メール","2013年02月04日09時42分52秒","2013年02月04日09時42分54秒","1","0","0"
"メール","2013年02月04日09時42分54秒","2013年02月04日09時42分55秒","1","0","0"
"メール","2013年02月04日09時42分55秒","2013年02月04日09時43分44秒","5","0","0"
"ブラウザ","2013年02月04日09時43分44秒","2013年02月04日09時43分45秒","1","0","0"
"ファイル操作","2013年02月04日09時43分45秒","2013年02月04日09時43分49秒","1","1","0"
"ブラウザ","2013年02月04日09時43分49秒","2013年02月04日09時44分31秒","1","0","0"
"メール","2013年02月04日09時44分31秒","2013年02月04日09時44分36秒","4","0","0"
"ブラウザ","2013年02月04日09時44分36秒","2013年02月04日09時44分43秒","18","0","0"
"ブラウザ","2013年02月04日09時44分43秒","2013年02月04日09時44分47秒","2","0","0"
"ブラウザ","2013年02月04日09時44分47秒","2013年02月04日09時44分51秒","1","0","1"
"ブラウザ","2013年02月04日09時44分51秒","2013年02月04日09時44分56秒","2","0","0"
"ブラウザ","2013年02月04日09時44分56秒","2013年02月04日09時44分59秒","0","0","0"
"ブラウザ","2013年02月04日09時44分59秒","2013年02月04日09時45分00秒","0","0","0"
"ブラウザ","2013年02月04日09時45分00秒","2013年02月04日09時45分06秒","1","0","0"
"ファイル操作","2013年02月04日09時45分06秒","2013年02月04日09時45分07秒","0","0","2"
"ファイル操作","2013年02月04日09時45分07秒","2013年02月04日09時45分14秒","1","0","13"
"ファイル操作","2013年02月04日09時45分14秒","2013年02月04日09時45分15秒","2","0","0"
"ファイル操作","2013年02月04日09時45分15秒","2013年02月04日09時45分21秒","1","0","0"
"ブラウザ","2013年02月04日09時45分21秒","2013年02月04日09時45分22秒","1","0","0"
"ブラウザ","2013年02月04日09時45分22秒","2013年02月04日09時45分40秒","0","0","2"
"ブラウザ","2013年02月04日10時02分04秒","2013年02月04日10時02分05秒","1","0","0"
"メール","2013年02月04日10時02分06秒","2013年02月04日10時02分07秒","2","0","0"
"メール","2013年02月04日10時02分07秒","2013年02月04日10時02分11秒","3","0","0"
"ファイル操作","2013年02月04日10時02分11秒","2013年02月04日10時02分17秒","1","0","8"
"ファイル操作","2013年02月04日10時02分17秒","2013年02月04日10時02分24秒","2","0","0"
"ファイル操作","2013年02月04日10時02分24秒","2013年02月04日10時02分25秒","2","0","0"
"ファイル操作","2013年02月04日10時02分25秒","2013年02月04日10時02分27秒","3","0","0"
"ファイル操作","2013年02月04日10時02分27秒","2013年02月04日10時02分28秒","2","0","0"
"ファイル操作","2013年02月04日10時02分28秒","2013年02月04日10時02分36秒","1","0","4"
"ファイル操作","2013年02月04日10時02分36秒","2013年02月04日10時02分41秒","2","0","4"
"エクセル","2013年02月04日10時02分41秒","2013年02月04日10時03分15秒","1","0","0"
"ブラウザ","2013年02月04日10時03分15秒","2013年02月04日10時03分16秒","1","0","0"
"ファイル操作","2013年02月04日10時03分16秒","2013年02月04日10時03分18秒","2","0","0"
"ブラウザ","2013年02月04日10時03分18秒","2013年02月04日10時03分20秒","1","0","0"
"ブラウザ","2013年02月04日10時03分20秒","2013年02月04日10時03分28秒","5","0","0"
"エクセル","2013年02月04日10時03分28秒","2013年02月04日10時04分02秒","1","0","0"
"ブラウザ","2013年02月04日10時04分03秒","2013年02月04日10時04分32秒","1","0","0"
"メール","2013年02月04日10時04分32秒","2013年02月04日10時04分34秒","1","0","0"
"メール","2013年02月04日10時04分34秒","2013年02月04日10時05分01秒","1","0","0"
"メール","2013年02月04日10時05分01秒","2013年02月04日10時05分19秒","1","0","0"
"ファイル操作","2013年02月04日10時05分19秒","2013年02月04日10時05分21秒","2","0","2"
"ファイル操作","2013年02月04日10時05分21秒","2013年02月04日10時05分22秒","2","0","0"
"エクセル","2013年02月04日10時05分22秒","2013年02月04日10時07分07秒","2","0","3"
"ブラウザ","2013年02月04日10時07分07秒","2013年02月04日10時07分10秒","1","0","0"
"エクセル","2013年02月04日10時07分10秒","2013年02月04日10時07分12秒","1","0","0"
"ブラウザ","2013年02月04日10時07分12秒","2013年02月04日10時07分42秒","3","0","0"
"エクセル","2013年02月04日10時07分42秒","2013年02月04日10時07分48秒","1","0","0"
"ブラウザ","2013年02月04日10時07分48秒","2013年02月04日10時08分18秒","1","0","0"
"ブラウザ","2013年02月04日10時08分18秒","2013年02月04日10時08分29秒","2","0","0"
"ブラウザ","2013年02月04日10時08分29秒","2013年02月04日10時08分30秒","1","0","0"
"ブラウザ","2013年02月04日10時08分30秒","2013年02月04日10時08分37秒","1","0","0"
"ブラウザ","2013年02月04日10時08分37秒","2013年02月04日10時08分45秒","2","0","0"
"ブラウザ","2013年02月04日10時08分45秒","2013年02月04日10時08分54秒","2","0","0"
"ブラウザ","2013年02月04日10時08分54秒","2013年02月04日10時09分10秒","2","0","0"
"ブラウザ","2013年02月04日10時09分10秒","2013年02月04日10時09分13秒","1","0","0"
"ブラウザ","2013年02月04日10時09分13秒","2013年02月04日10時09分14秒","1","0","0"
"ブラウザ","2013年02月04日10時09分14秒","2013年02月04日10時09分15秒","1","0","0"
"ブラウザ","2013年02月04日10時09分15秒","2013年02月04日10時09分16秒","1","0","0"
"ブラウザ","2013年02月04日10時09分16秒","2013年02月04日10時09分18秒","1","0","0"
"ブラウザ","2013年02月04日10時09分18秒","2013年02月04日10時09分22秒","1","0","0"
"エクセル","2013年02月04日10時09分22秒","2013年02月04日10時09分33秒","1","0","0"
"ブラウザ","2013年02月04日10時09分33秒","2013年02月04日10時09分44秒","1","0","0"
"ブラウザ","2013年02月04日10時09分44秒","2013年02月04日10時10分01秒","2","0","0"
"ブラウザ","2013年02月04日10時10分01秒","2013年02月04日10時10分02秒","1","0","0"
"ブラウザ","2013年02月04日10時10分02秒","2013年02月04日10時10分16秒","2","0","0"
"エクセル","2013年02月04日10時10分16秒","2013年02月04日10時10分20秒","1","0","0"
"ブラウザ","2013年02月04日10時10分20秒","2013年02月04日10時10分25秒","1","0","0"
"エクセル","2013年02月04日10時10分26秒","2013年02月04日10時10分28秒","1","0","0"
"ブラウザ","2013年02月04日10時10分28秒","2013年02月04日10時10分31秒","1","0","0"
"ブラウザ","2013年02月04日10時10分31秒","2013年02月04日10時10分52秒","2","0","0"
"ファイル操作","2013年02月04日10時10分52秒","2013年02月04日10時10分54秒","1","0","0"
"ファイル操作","2013年02月04日10時10分54秒","2013年02月04日10時10分55秒","1","0","0"
"エクセル","2013年02月04日10時10分55秒","2013年02月04日10時10分57秒","1","0","0"
"エクセル","2013年02月04日10時10分57秒","2013年02月04日10時11分00秒","1","0","0"
"ファイル操作","2013年02月04日10時11分00秒","2013年02月04日10時11分02秒","1","0","0"
"ファイル操作","2013年02月04日10時11分02秒","2013年02月04日10時11分03秒","1","0","0"
"ファイル操作","2013年02月04日10時11分03秒","2013年02月04日10時11分04秒","2","0","0"
"ファイル操作","2013年02月04日10時11分04秒","2013年02月04日10時11分11秒","2","0","0"
"ファイル操作","2013年02月04日10時11分11秒","2013年02月04日10時11分17秒","2","0","0"
"ファイル操作","2013年02月04日10時11分17秒","2013年02月04日10時11分19秒","2","0","0"
"ファイル操作","2013年02月04日10時11分19秒","2013年02月04日10時11分24秒","3","0","0"
"ファイル操作","2013年02月04日10時11分24秒","2013年02月04日10時11分32秒","1","1","0"
"登録外","2013年02月04日10時11分32秒","2013年02月04日10時11分34秒","0","0","0"
"登録外","2013年02月04日10時11分34秒","2013年02月04日10時11分36秒","1","0","0"
"ファイル操作","2013年02月04日10時11分36秒","2013年02月04日10時12分00秒","2","0","0"
"ファイル操作","2013年02月04日10時12分00秒","2013年02月04日10時12分07秒","2","0","0"
"プログラミング・デバッグ　","2013年02月04日10時12分07秒","2013年02月04日10時12分08秒","0","0","0"
