"","打鍵回数","左クリック","右クリック"
"2013年02月05日11時25分","39","17","2"
"2013年02月05日11時30分","22","64","2"
"2013年02月05日11時35分","0","0","0"
"2013年02月05日11時40分","0","0","0"
"2013年02月05日11時45分","0","0","0"
"2013年02月05日11時50分","0","0","0"
"2013年02月05日11時55分","0","0","0"
"2013年02月05日12時00分","0","0","0"
"2013年02月05日12時35分","0","3","0"
"2013年02月05日12時40分","31","46","0"
"2013年02月05日12時45分","48","46","0"
"2013年02月05日12時50分","49","9","0"
"2013年02月05日12時55分","40","21","0"
"2013年02月05日13時00分","2","42","0"
"2013年02月05日13時05分","0","48","0"
"2013年02月05日13時10分","2","97","0"
"2013年02月05日13時15分","48","15","0"
"2013年02月05日13時20分","27","9","0"
"2013年02月05日13時25分","22","9","1"
"2013年02月05日13時30分","7","8","0"
"2013年02月05日13時35分","18","55","2"
"2013年02月05日13時40分","8","83","1"
"2013年02月05日13時45分","0","39","1"
"2013年02月05日13時50分","25","61","6"
"2013年02月05日13時55分","27","29","2"
"2013年02月05日14時00分","141","60","0"
"2013年02月05日14時05分","21","49","8"
"2013年02月05日14時10分","8","11","0"
"2013年02月05日14時15分","22","80","5"
"2013年02月05日14時20分","4","68","4"
"2013年02月05日14時25分","0","10","2"
"2013年02月05日14時30分","2","48","0"
"2013年02月05日14時35分","0","85","6"
"2013年02月05日14時40分","18","46","2"
"2013年02月05日14時45分","3","60","1"
"2013年02月05日14時50分","0","13","0"
"2013年02月05日14時55分","3","68","0"
"2013年02月05日15時00分","0","26","0"
"2013年02月05日15時05分","1","35","3"
"2013年02月05日15時10分","56","59","1"
"2013年02月05日15時15分","79","66","9"
"2013年02月05日15時20分","88","97","7"
"2013年02月05日15時25分","0","55","1"
"2013年02月05日15時30分","68","70","10"
"2013年02月05日15時35分","4","37","2"
"2013年02月05日15時40分","12","54","3"
"2013年02月05日15時45分","0","30","0"
"2013年02月05日15時50分","0","1","0"
"2013年02月05日15時55分","0","0","0"
"2013年02月05日16時00分","30","22","2"
"2013年02月05日16時05分","0","13","1"
"2013年02月05日16時10分","30","41","3"
"2013年02月05日16時15分","6","34","1"
"2013年02月05日16時20分","73","39","1"
"2013年02月05日16時25分","45","44","1"
"2013年02月05日16時30分","11","20","1"
"2013年02月05日16時35分","57","37","3"
"2013年02月05日16時40分","1","34","2"
"2013年02月05日16時45分","9","35","1"
"2013年02月05日16時50分","93","76","8"
"2013年02月05日16時55分","0","45","1"
"2013年02月05日17時00分","2","29","0"
"2013年02月05日17時05分","0","7","0"
"2013年02月05日17時10分","0","18","0"
"2013年02月05日17時15分","8","67","1"
"2013年02月05日17時20分","5","18","0"
"2013年02月05日17時25分","79","50","1"
"2013年02月05日17時30分","15","62","0"
"2013年02月05日17時35分","35","53","0"
"2013年02月05日17時40分","64","67","0"
"2013年02月05日17時45分","0","40","0"
"2013年02月05日17時50分","82","24","2"
"2013年02月05日17時55分","0","8","0"
"2013年02月05日18時00分","0","10","0"
"2013年02月05日18時05分","0","45","0"
"2013年02月05日18時10分","0","0","0"
"2013年02月05日18時15分","4","0","0"
"2013年02月05日18時20分","0","29","2"
"2013年02月05日18時25分","29","67","2"
"2013年02月05日18時30分","0","22","1"
"2013年02月05日18時35分","60","59","0"
"2013年02月05日18時40分","0","19","0"
"2013年02月05日18時45分","2","46","0"
"2013年02月05日18時50分","9","57","1"
"2013年02月05日18時55分","0","25","0"
"2013年02月05日19時00分","48","29","0"
"2013年02月05日19時05分","24","32","0"
"2013年02月06日09時10分","37","0","0"
"2013年02月06日09時20分","43","72","5"
"2013年02月06日09時25分","128","64","5"
"2013年02月06日09時30分","31","62","6"
"2013年02月06日09時35分","46","32","2"
"2013年02月06日09時40分","10","38","3"
"2013年02月06日09時45分","95","23","1"
"2013年02月06日09時50分","60","57","6"
"2013年02月06日09時55分","47","30","3"
"2013年02月06日10時00分","33","36","2"
"2013年02月06日10時05分","37","29","0"
"2013年02月06日10時10分","48","64","3"
"2013年02月06日10時15分","127","57","3"
"2013年02月06日10時20分","36","47","5"
"2013年02月06日10時25分","41","48","3"
"2013年02月06日10時30分","103","30","3"
"2013年02月06日10時35分","157","75","13"
"2013年02月06日10時40分","3","40","2"
"2013年02月06日10時45分","0","0","0"
"2013年02月06日10時50分","21","64","3"
"2013年02月06日10時55分","133","44","5"
"2013年02月06日11時00分","33","69","2"
"2013年02月06日11時05分","4","45","0"
"2013年02月06日11時10分","0","33","9"
"2013年02月06日11時15分","0","36","5"
"2013年02月06日11時20分","0","10","2"
"2013年02月06日11時25分","0","18","1"
"2013年02月06日11時30分","5","11","1"
"2013年02月06日11時35分","21","39","4"
"2013年02月06日11時40分","0","18","0"
"2013年02月06日11時45分","0","0","0"
"2013年02月06日11時50分","0","0","0"
"2013年02月06日11時55分","0","0","0"
"2013年02月06日12時00分","0","0","0"
