"","TaskPit - 右クリック","ブラウザ - 右クリック","メール - 右クリック","プログラミング - 右クリック","ワード - 右クリック","プレゼン編集 - 右クリック","エクセル - 右クリック","ファイル操作 - 右クリック","文書閲覧 - 右クリック","調査 - 右クリック","SQLサーバ - 右クリック","テスト - 右クリック","プログラミング・デバッグ - 右クリック","登録外 - 右クリック"
"2013年02月05日09時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時05分","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"2013年02月05日10時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時40分","0","1","0","0","0","0","0","3","0","0","0","0","0","1"
"2013年02月05日10時45分","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日10時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日11時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
