"","打鍵回数","左クリック","右クリック"
"2013年02月05日08時55分","0","0","0"
"2013年02月05日09時00分","43","31","0"
"2013年02月05日09時05分","7","51","0"
"2013年02月05日09時10分","134","28","1"
"2013年02月05日09時15分","0","1","0"
"2013年02月05日09時20分","144","41","0"
"2013年02月05日09時25分","59","66","1"
"2013年02月05日09時30分","549","37","0"
"2013年02月05日09時35分","327","37","0"
"2013年02月05日09時40分","432","11","0"
"2013年02月05日09時45分","0","42","0"
"2013年02月05日09時50分","9","62","1"
"2013年02月05日09時55分","595","6","0"
"2013年02月05日10時00分","568","24","0"
"2013年02月05日10時05分","407","6","0"
"2013年02月05日10時10分","623","0","0"
"2013年02月05日10時15分","514","4","0"
"2013年02月05日10時20分","465","3","0"
"2013年02月05日10時25分","561","0","0"
"2013年02月05日10時30分","525","17","0"
"2013年02月05日10時35分","95","32","1"
"2013年02月05日10時40分","0","77","0"
"2013年02月05日10時45分","63","124","0"
"2013年02月05日10時50分","0","3","0"
"2013年02月05日10時55分","31","28","0"
"2013年02月05日11時00分","139","38","0"
"2013年02月05日11時05分","78","60","1"
"2013年02月05日11時10分","0","20","0"
"2013年02月05日11時15分","0","11","0"
"2013年02月05日11時20分","103","63","0"
"2013年02月05日11時25分","37","114","0"
"2013年02月05日11時30分","124","62","0"
"2013年02月05日11時35分","63","82","0"
"2013年02月05日11時40分","116","38","0"
"2013年02月05日11時45分","7","138","0"
"2013年02月05日11時50分","1","81","0"
"2013年02月05日11時55分","0","10","0"
"2013年02月05日12時00分","0","103","0"
"2013年02月05日12時05分","20","0","0"
"2013年02月05日12時10分","556","0","0"
"2013年02月05日12時15分","470","0","0"
"2013年02月05日12時20分","3","0","0"
"2013年02月05日12時25分","0","0","0"
"2013年02月05日12時30分","0","0","0"
"2013年02月05日12時35分","0","0","0"
"2013年02月05日12時40分","2","0","0"
"2013年02月05日12時45分","0","0","0"
"2013年02月05日12時50分","0","0","0"
"2013年02月05日12時55分","0","0","0"
"2013年02月05日13時00分","0","0","0"
"2013年02月05日13時05分","0","0","0"
"2013年02月05日13時10分","0","0","0"
"2013年02月05日13時15分","0","0","0"
"2013年02月05日13時20分","0","0","0"
"2013年02月05日13時25分","0","0","0"
"2013年02月05日13時30分","92","0","0"
"2013年02月05日13時35分","268","0","0"
"2013年02月05日13時40分","414","0","0"
"2013年02月05日13時45分","183","0","0"
"2013年02月05日13時50分","75","0","0"
"2013年02月05日13時55分","74","0","0"
"2013年02月05日14時00分","191","0","0"
"2013年02月05日14時05分","465","0","0"
"2013年02月05日14時10分","201","0","0"
"2013年02月05日14時15分","0","0","0"
"2013年02月05日14時20分","0","0","0"
"2013年02月05日14時25分","0","0","0"
"2013年02月05日14時30分","0","0","0"
"2013年02月05日14時35分","247","0","0"
"2013年02月05日14時40分","110","0","0"
"2013年02月05日14時45分","0","0","0"
"2013年02月05日14時50分","0","0","0"
"2013年02月05日14時55分","0","0","0"
"2013年02月05日15時00分","0","0","0"
"2013年02月05日15時05分","0","0","0"
"2013年02月05日15時10分","0","0","0"
"2013年02月05日15時15分","0","0","0"
"2013年02月05日15時20分","70","0","0"
"2013年02月05日15時25分","67","0","0"
"2013年02月05日15時30分","124","0","0"
"2013年02月05日15時35分","91","0","0"
"2013年02月05日15時40分","181","0","0"
"2013年02月05日15時45分","56","0","0"
"2013年02月05日15時50分","6","0","0"
"2013年02月05日15時55分","13","0","0"
"2013年02月05日16時00分","26","0","0"
"2013年02月05日16時05分","39","0","0"
"2013年02月05日16時10分","70","0","0"
"2013年02月05日16時15分","70","0","0"
"2013年02月05日16時20分","7","0","0"
"2013年02月05日16時25分","2","0","0"
"2013年02月05日16時30分","0","0","0"
"2013年02月05日16時35分","2","0","0"
"2013年02月05日16時40分","0","0","0"
"2013年02月05日16時45分","0","0","0"
"2013年02月05日16時50分","0","0","0"
"2013年02月05日16時55分","0","0","0"
"2013年02月05日17時00分","0","0","0"
"2013年02月05日17時05分","204","0","0"
"2013年02月05日17時10分","1","0","0"
"2013年02月05日17時15分","1","0","0"
"2013年02月05日17時20分","0","0","0"
"2013年02月05日17時25分","0","0","0"
"2013年02月05日17時30分","0","0","0"
"2013年02月05日17時35分","0","0","0"
"2013年02月05日17時40分","0","0","0"
"2013年02月05日17時45分","0","0","0"
"2013年02月05日17時50分","0","0","0"
"2013年02月05日17時55分","0","0","0"
"2013年02月05日18時00分","0","0","0"
"2013年02月05日18時05分","0","0","0"
"2013年02月05日18時10分","0","0","0"
"2013年02月05日18時15分","0","0","0"
"2013年02月05日18時20分","0","0","0"
"2013年02月05日18時25分","0","0","0"
"2013年02月05日18時30分","0","0","0"
"2013年02月05日18時35分","0","0","0"
"2013年02月05日18時40分","0","0","0"
"2013年02月05日18時45分","0","0","0"
"2013年02月05日18時50分","0","0","0"
"2013年02月05日18時55分","0","0","0"
"2013年02月05日19時00分","0","0","0"
"2013年02月05日19時05分","0","0","0"
"2013年02月05日19時10分","48","0","0"
"2013年02月05日19時15分","0","0","0"
"2013年02月05日19時20分","226","0","0"
"2013年02月05日19時25分","6","0","0"
"2013年02月05日19時30分","0","0","0"
"2013年02月05日19時35分","0","0","0"
"2013年02月05日19時40分","143","0","0"
"2013年02月05日19時45分","289","0","0"
