"","打鍵回数","左クリック","右クリック"
"2013年02月04日09時30分","12","0","0"
"2013年02月04日09時35分","29","0","0"
"2013年02月04日09時45分","35","2","0"
"2013年02月04日09時50分","148","0","0"
"2013年02月04日09時55分","276","0","0"
"2013年02月04日10時00分","24","0","0"
"2013年02月04日10時05分","0","0","0"
"2013年02月04日10時10分","10","0","0"
"2013年02月04日10時15分","153","0","0"
"2013年02月04日10時20分","163","0","0"
"2013年02月04日10時25分","327","0","0"
"2013年02月04日10時30分","5","0","0"
"2013年02月04日10時35分","160","0","0"
"2013年02月04日10時40分","20","0","0"
"2013年02月04日10時45分","12","0","0"
"2013年02月04日10時50分","2","0","0"
"2013年02月04日10時55分","0","0","0"
"2013年02月04日11時00分","55","0","0"
"2013年02月04日11時05分","67","0","0"
"2013年02月04日11時10分","0","0","0"
"2013年02月04日11時15分","0","0","0"
"2013年02月04日11時20分","0","0","0"
"2013年02月04日11時25分","0","0","0"
"2013年02月04日11時30分","8","0","0"
"2013年02月04日11時35分","47","0","0"
"2013年02月04日11時40分","225","0","0"
"2013年02月04日11時45分","0","0","0"
"2013年02月04日11時50分","0","0","0"
"2013年02月04日11時55分","0","0","0"
"2013年02月04日12時00分","0","0","0"
"2013年02月04日12時05分","0","0","0"
"2013年02月04日12時10分","0","0","0"
"2013年02月04日12時15分","0","0","0"
"2013年02月04日12時20分","0","0","0"
"2013年02月04日12時25分","0","0","0"
"2013年02月04日12時30分","0","0","0"
"2013年02月04日12時35分","0","0","0"
"2013年02月04日12時40分","0","0","0"
"2013年02月04日12時45分","0","0","0"
"2013年02月04日12時50分","20","0","0"
"2013年02月04日12時55分","56","0","0"
"2013年02月04日13時00分","52","0","0"
"2013年02月04日13時05分","138","0","0"
"2013年02月04日13時10分","64","0","0"
"2013年02月04日13時15分","36","0","0"
"2013年02月04日13時20分","169","0","0"
"2013年02月04日13時25分","47","0","0"
"2013年02月04日13時30分","70","0","0"
"2013年02月04日13時35分","0","0","0"
"2013年02月04日13時40分","26","0","0"
"2013年02月04日13時45分","0","0","0"
"2013年02月04日13時50分","8","0","0"
"2013年02月04日13時55分","51","0","0"
"2013年02月04日14時00分","185","0","0"
"2013年02月04日14時05分","206","0","0"
"2013年02月04日14時10分","183","0","0"
"2013年02月04日14時15分","34","0","0"
"2013年02月04日14時20分","187","0","0"
"2013年02月04日14時25分","80","0","0"
"2013年02月04日14時30分","93","0","0"
"2013年02月04日14時35分","24","0","0"
"2013年02月04日14時40分","25","0","0"
"2013年02月04日14時45分","163","0","0"
"2013年02月04日14時50分","107","0","0"
"2013年02月04日14時55分","50","0","0"
"2013年02月04日15時00分","5","0","0"
"2013年02月04日15時05分","22","0","0"
"2013年02月04日15時10分","69","0","0"
"2013年02月04日15時15分","171","0","0"
"2013年02月04日15時20分","273","0","0"
"2013年02月04日15時25分","225","0","0"
"2013年02月04日15時30分","259","0","0"
"2013年02月04日15時35分","261","0","0"
"2013年02月04日15時40分","71","0","0"
"2013年02月04日15時45分","0","0","0"
"2013年02月04日15時50分","285","0","0"
"2013年02月04日15時55分","192","0","0"
"2013年02月04日16時00分","299","0","0"
"2013年02月04日16時05分","400","0","0"
"2013年02月04日16時10分","300","0","0"
"2013年02月04日16時15分","84","0","0"
"2013年02月04日16時20分","338","0","0"
"2013年02月04日16時25分","35","0","0"
"2013年02月04日16時30分","20","0","0"
"2013年02月04日16時35分","23","0","0"
"2013年02月04日16時40分","2","0","0"
"2013年02月04日16時45分","118","0","0"
"2013年02月04日16時50分","68","0","0"
"2013年02月04日16時55分","494","0","0"
"2013年02月04日17時00分","27","0","0"
"2013年02月04日17時05分","9","0","0"
"2013年02月04日17時10分","12","0","0"
"2013年02月04日17時15分","63","0","0"
"2013年02月04日17時20分","0","0","0"
"2013年02月04日17時25分","103","0","0"
"2013年02月04日17時30分","318","0","0"
"2013年02月04日17時35分","2","0","0"
"2013年02月04日17時40分","0","0","0"
"2013年02月04日17時45分","0","0","0"
"2013年02月04日17時50分","65","0","0"
"2013年02月04日17時55分","42","0","0"
"2013年02月04日18時00分","130","0","0"
"2013年02月04日18時05分","18","0","0"
"2013年02月04日18時10分","88","0","0"
"2013年02月05日09時05分","55","0","0"
"2013年02月05日09時15分","177","0","0"
"2013年02月05日09時20分","17","0","0"
"2013年02月05日09時25分","0","0","0"
"2013年02月05日09時30分","1","0","0"
"2013年02月05日09時35分","78","0","0"
"2013年02月05日09時40分","266","0","0"
"2013年02月05日09時45分","227","0","0"
"2013年02月05日09時50分","0","0","0"
"2013年02月05日09時55分","18","0","0"
"2013年02月05日10時00分","88","0","0"
"2013年02月05日10時05分","226","0","0"
"2013年02月05日10時10分","40","0","0"
"2013年02月05日10時15分","186","0","0"
"2013年02月05日10時20分","232","0","0"
"2013年02月05日10時25分","61","0","0"
"2013年02月05日10時30分","443","0","0"
"2013年02月05日10時35分","40","0","0"
"2013年02月05日10時40分","2","0","0"
"2013年02月05日10時45分","11","0","0"
"2013年02月05日10時50分","76","0","0"
"2013年02月05日10時55分","6","0","0"
"2013年02月05日11時00分","0","0","0"
"2013年02月05日11時05分","0","0","0"
"2013年02月05日11時10分","93","0","0"
"2013年02月05日11時15分","56","0","0"
