"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日11時30分","0","20","0","0","0","0","0","0","2","0","0"
"2013年02月05日11時35分","0","73","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時40分","0","5","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時45分","0","38","0","0","0","0","0","0","0","0","2"
"2013年02月05日11時50分","7","0","0","0","0","0","0","0","39","0","0"
"2013年02月05日11時55分","0","0","0","0","0","0","0","0","32","0","0"
"2013年02月05日12時00分","0","0","16","0","0","0","0","0","4","0","0"
"2013年02月05日12時05分","0","2","0","0","0","0","0","0","10","0","1"
"2013年02月05日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時20分","0","0","0","0","0","0","0","0","48","0","0"
"2013年02月05日12時25分","0","0","0","46","0","0","0","0","2","0","0"
"2013年02月05日12時30分","0","0","0","69","0","0","0","0","0","0","0"
"2013年02月05日12時35分","1","0","0","0","0","0","0","0","0","0","27"
"2013年02月05日12時40分","0","0","0","0","0","0","0","0","0","0","59"
"2013年02月05日12時45分","0","0","0","0","0","0","0","0","0","0","58"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","0","0","3"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時45分","0","1","0","0","0","0","0","0","0","0","20"
"2013年02月05日13時50分","0","0","0","0","0","0","0","0","0","0","60"
"2013年02月05日13時55分","0","0","0","0","0","0","0","0","0","0","33"
"2013年02月05日14時00分","15","0","0","0","0","0","0","0","0","0","29"
"2013年02月05日14時05分","1","0","0","0","0","0","0","0","0","0","10"
"2013年02月05日14時10分","1","0","0","0","0","0","0","0","0","0","34"
"2013年02月05日14時15分","0","0","0","0","0","0","0","0","0","0","12"
"2013年02月05日14時20分","0","0","0","0","0","0","0","0","0","0","18"
"2013年02月05日14時25分","0","0","0","0","0","0","0","0","0","0","69"
"2013年02月05日14時30分","0","0","0","0","0","0","0","0","1","0","97"
"2013年02月05日14時35分","0","0","0","0","0","0","0","0","14","0","62"
