"","打鍵回数","左クリック","右クリック"
"2013年02月04日09時55分","6","1","0"
"2013年02月04日10時00分","48","0","0"
"2013年02月04日10時05分","32","0","0"
"2013年02月04日10時10分","34","0","0"
"2013年02月04日10時15分","96","0","0"
"2013年02月04日10時20分","10","0","0"
"2013年02月04日10時25分","33","0","0"
"2013年02月04日10時30分","62","0","0"
"2013年02月04日10時35分","64","0","0"
"2013年02月04日10時40分","163","0","0"
"2013年02月04日10時45分","73","0","0"
"2013年02月04日10時50分","249","0","0"
"2013年02月04日10時55分","149","0","0"
"2013年02月04日11時00分","106","0","0"
"2013年02月04日11時05分","189","0","0"
"2013年02月04日11時10分","55","0","0"
"2013年02月04日11時15分","158","0","0"
"2013年02月04日11時20分","89","0","0"
"2013年02月04日11時25分","300","0","0"
"2013年02月04日11時30分","128","0","0"
"2013年02月04日11時35分","120","0","0"
"2013年02月04日11時40分","45","0","0"
"2013年02月04日11時45分","51","0","0"
"2013年02月04日11時50分","52","0","0"
"2013年02月04日11時55分","50","0","0"
"2013年02月04日12時00分","132","0","0"
"2013年02月04日12時05分","25","0","0"
"2013年02月04日12時10分","0","0","0"
"2013年02月04日12時15分","15","0","0"
"2013年02月04日12時20分","8","0","0"
"2013年02月04日12時25分","67","0","0"
"2013年02月04日12時30分","224","0","0"
"2013年02月04日12時35分","40","0","0"
"2013年02月04日12時40分","38","0","0"
"2013年02月04日12時45分","16","0","0"
"2013年02月04日12時50分","0","0","0"
"2013年02月04日12時55分","0","0","0"
"2013年02月04日13時00分","0","0","0"
"2013年02月04日13時05分","0","0","0"
"2013年02月04日13時10分","0","0","0"
"2013年02月04日13時40分","160","0","0"
"2013年02月04日13時45分","111","0","0"
"2013年02月04日13時50分","90","0","0"
"2013年02月04日13時55分","27","0","0"
"2013年02月04日14時00分","38","0","0"
"2013年02月04日14時05分","21","0","0"
"2013年02月04日14時10分","67","0","0"
"2013年02月04日14時15分","18","0","0"
"2013年02月04日14時20分","26","0","0"
"2013年02月04日14時25分","23","0","0"
"2013年02月04日14時30分","25","0","0"
"2013年02月04日14時35分","209","0","0"
"2013年02月04日14時40分","38","0","0"
"2013年02月04日14時45分","104","0","0"
"2013年02月04日14時50分","9","0","0"
"2013年02月04日14時55分","3","0","0"
"2013年02月04日15時00分","18","0","0"
"2013年02月04日15時05分","6","0","0"
"2013年02月04日15時10分","53","0","0"
"2013年02月04日15時15分","11","0","0"
"2013年02月04日15時20分","31","0","0"
"2013年02月04日15時25分","92","0","0"
"2013年02月04日15時30分","77","0","0"
"2013年02月04日15時35分","46","0","0"
"2013年02月04日15時40分","13","0","0"
"2013年02月04日15時45分","22","0","0"
"2013年02月04日15時50分","95","0","0"
"2013年02月04日15時55分","61","0","0"
"2013年02月04日16時00分","142","0","0"
"2013年02月04日16時05分","24","0","0"
"2013年02月04日16時10分","0","0","0"
"2013年02月04日16時15分","74","0","0"
"2013年02月04日16時20分","12","0","0"
"2013年02月04日16時25分","5","0","0"
"2013年02月04日16時30分","84","0","0"
"2013年02月04日16時35分","68","0","0"
"2013年02月04日16時40分","131","0","0"
"2013年02月04日16時45分","74","0","0"
"2013年02月04日16時50分","24","0","0"
"2013年02月04日16時55分","32","0","0"
"2013年02月04日17時00分","49","0","0"
"2013年02月04日17時05分","54","0","0"
"2013年02月04日17時10分","7","0","0"
"2013年02月04日17時15分","318","0","0"
"2013年02月04日17時20分","45","0","0"
"2013年02月04日17時25分","180","0","0"
"2013年02月04日17時30分","187","0","0"
"2013年02月04日17時35分","157","0","0"
"2013年02月04日17時40分","49","0","0"
"2013年02月04日17時45分","124","0","0"
"2013年02月04日17時50分","154","0","0"
"2013年02月04日17時55分","71","0","0"
"2013年02月04日18時00分","169","0","0"
"2013年02月04日18時05分","94","0","0"
"2013年02月04日18時10分","14","0","0"
"2013年02月04日18時15分","123","0","0"
"2013年02月04日18時20分","68","0","0"
"2013年02月04日18時25分","59","0","0"
"2013年02月04日18時30分","96","0","0"
"2013年02月04日18時35分","86","0","0"
"2013年02月04日18時40分","204","0","0"
"2013年02月04日18時45分","264","0","0"
"2013年02月04日18時50分","51","0","0"
"2013年02月04日18時55分","23","0","0"
"2013年02月04日19時00分","32","0","0"
"2013年02月04日19時05分","50","0","0"
"2013年02月04日19時10分","135","0","0"
"2013年02月04日19時15分","119","0","0"
"2013年02月05日09時00分","25","50","1"
"2013年02月05日09時05分","3","21","1"
"2013年02月05日09時10分","24","41","1"
"2013年02月05日09時15分","11","81","42"
"2013年02月05日09時20分","243","58","0"
"2013年02月05日09時25分","147","38","0"
"2013年02月05日09時30分","0","72","5"
"2013年02月05日09時35分","41","119","1"
"2013年02月05日09時40分","79","75","0"
"2013年02月05日09時45分","56","94","7"
"2013年02月05日09時50分","24","81","6"
"2013年02月05日09時55分","45","79","1"
"2013年02月05日10時00分","48","70","4"
"2013年02月05日10時05分","57","88","2"
"2013年02月05日10時10分","88","49","2"
"2013年02月05日10時15分","31","98","6"
"2013年02月05日10時20分","0","97","10"
"2013年02月05日10時25分","0","49","0"
"2013年02月05日10時30分","0","55","1"
"2013年02月05日10時35分","105","72","0"
"2013年02月05日10時40分","114","59","0"
"2013年02月05日10時45分","112","65","0"
"2013年02月05日10時50分","194","73","0"
"2013年02月05日10時55分","115","108","0"
"2013年02月05日11時00分","80","46","0"
"2013年02月05日11時05分","2","17","0"
"2013年02月05日11時10分","27","103","20"
"2013年02月05日11時15分","33","72","6"
"2013年02月05日11時20分","48","35","2"
