"","TaskPit - 左クリック","ブラウザ - 左クリック","メール - 左クリック","プログラミング - 左クリック","ワード - 左クリック","プレゼン編集 - 左クリック","エクセル - 左クリック","ファイル操作 - 左クリック","登録外 - 左クリック"
"2013年02月04日09時55分","0","0","0","0","0","0","0","1","0"
"2013年02月04日10時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時15分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時20分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時25分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時30分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時35分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時15分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時20分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時25分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時30分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時35分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時15分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時20分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時25分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時30分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時35分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時15分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時20分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時25分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時30分","0","0","0","0","0","0","0","0","0"
