"","ブラウザ - 左クリック","メール - 左クリック","ファイル操作 - 左クリック","調査　 - 左クリック","ＳＱＬサーバ　 - 左クリック","エクセル - 左クリック","ワード・パワポ - 左クリック","文書閲覧　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月05日11時30分","0","0","7","21","34","0","0","0","0","0","3"
"2013年02月05日11時35分","0","0","7","18","75","0","0","0","0","0","0"
"2013年02月05日11時40分","0","4","0","17","31","0","0","0","20","0","0"
"2013年02月05日11時45分","4","1","10","12","19","0","0","0","38","0","2"
"2013年02月05日11時50分","0","3","2","2","15","0","0","0","69","0","0"
"2013年02月05日11時55分","11","19","3","26","2","17","0","0","86","0","4"
"2013年02月05日12時00分","23","0","1","0","3","50","0","0","51","0","0"
"2013年02月05日12時05分","0","0","0","7","67","0","0","0","51","0","0"
"2013年02月05日12時10分","0","4","6","12","18","12","0","0","85","0","2"
"2013年02月05日12時15分","0","0","0","2","18","54","0","0","15","0","2"
"2013年02月05日12時20分","17","0","0","0","47","24","0","0","11","0","1"
"2013年02月05日12時25分","32","0","0","0","23","10","0","0","18","0","0"
"2013年02月05日12時30分","0","0","1","0","0","3","0","0","117","0","0"
"2013年02月05日12時35分","3","0","14","0","5","4","0","0","83","0","0"
"2013年02月05日12時40分","0","0","3","4","26","3","0","0","62","0","0"
"2013年02月05日12時45分","0","0","0","0","0","69","0","0","9","0","4"
"2013年02月05日12時50分","0","0","0","14","40","36","0","0","32","0","0"
"2013年02月05日12時55分","16","0","0","9","3","75","0","0","12","0","14"
"2013年02月05日13時00分","3","0","3","0","26","1","0","0","1","0","28"
"2013年02月05日13時05分","2","0","0","0","0","0","0","0","0","0","81"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時00分","3","4","0","8","3","4","0","0","0","0","0"
"2013年02月05日14時05分","0","0","10","23","101","0","0","0","0","0","0"
"2013年02月05日14時10分","0","0","2","2","121","0","0","0","0","0","7"
"2013年02月05日14時15分","0","0","13","0","80","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","9","34","22","0","0","0","0","0","0"
"2013年02月05日14時25分","12","3","0","0","33","5","0","0","0","0","0"
"2013年02月05日14時30分","0","0","0","0","1","123","0","0","0","0","0"
