"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月05日11時35分","0","0","0","0","0","0","0","0","155","0","0"
"2013年02月05日11時40分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月05日11時45分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月05日11時50分","0","0","0","0","0","0","0","0","61","0","0"
"2013年02月05日11時55分","0","0","0","0","0","0","0","0","109","0","0"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","207","0","0"
"2013年02月05日12時05分","0","0","0","0","0","0","0","0","93","0","0"
"2013年02月05日12時10分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月05日12時15分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月05日12時20分","0","0","0","0","0","0","0","0","296","0","0"
"2013年02月05日12時25分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月05日12時30分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月05日12時35分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月05日12時40分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月05日12時45分","24","0","0","0","0","0","0","0","173","0","0"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","58","0","0"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時05分","22","0","0","0","0","0","0","0","34","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","231","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","293","0","5"
"2013年02月05日13時20分","0","0","10","0","0","0","0","0","271","0","16"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月05日13時30分","0","0","21","36","0","0","0","0","227","0","11"
"2013年02月05日13時35分","0","0","0","21","0","0","0","0","265","0","10"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","299","0","0"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","296","0","0"
"2013年02月05日13時50分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月05日13時55分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月05日14時00分","0","0","0","0","0","0","0","0","264","0","0"
"2013年02月05日14時05分","0","0","0","0","0","0","0","0","295","0","0"
"2013年02月05日14時10分","0","0","0","0","0","0","0","0","299","0","0"
"2013年02月05日14時15分","0","0","0","0","0","0","0","0","36","0","0"
"2013年02月05日14時20分","0","0","0","0","0","0","0","0","62","0","0"
"2013年02月05日14時25分","0","0","0","0","0","0","0","0","297","0","0"
"2013年02月05日14時30分","0","0","0","0","0","0","0","0","165","0","38"
"2013年02月05日14時35分","0","0","15","0","0","0","0","0","162","0","56"
"2013年02月05日14時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時55分","0","0","0","0","0","1","0","0","0","0","0"
"2013年02月05日15時00分","0","0","0","0","0","32","0","0","0","0","0"
"2013年02月05日15時05分","0","0","0","0","0","149","0","0","0","0","0"
"2013年02月05日15時10分","0","0","0","0","0","90","0","0","0","0","2"
"2013年02月05日15時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時25分","11","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時30分","47","50","0","0","0","196","0","0","0","0","0"
"2013年02月05日15時35分","155","0","0","0","0","142","0","0","0","0","0"
"2013年02月05日15時40分","0","0","2","0","0","136","0","0","0","0","0"
"2013年02月05日15時45分","0","0","0","0","0","82","0","0","0","0","0"
"2013年02月05日15時50分","0","0","0","0","0","1","0","0","0","0","0"
"2013年02月05日15時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時05分","0","13","0","0","0","168","0","0","0","0","0"
"2013年02月05日16時10分","6","0","37","0","0","110","0","0","0","0","43"
"2013年02月05日16時15分","1","0","45","0","0","215","0","0","0","0","36"
"2013年02月05日16時20分","8","0","66","0","0","89","5","0","0","0","125"
"2013年02月05日16時25分","7","42","15","0","0","151","0","0","66","0","13"
"2013年02月05日16時30分","0","0","0","0","0","300","0","0","0","0","0"
"2013年02月05日16時35分","0","0","0","0","0","170","0","0","0","0","0"
"2013年02月05日16時40分","96","0","2","0","0","109","0","0","0","0","0"
"2013年02月05日16時45分","0","45","33","0","0","207","0","2","2","0","6"
"2013年02月05日16時50分","1","91","36","0","0","169","0","0","0","0","0"
"2013年02月05日16時55分","0","0","0","0","0","77","0","0","0","0","0"
"2013年02月05日17時00分","0","0","0","0","0","10","0","0","0","0","0"
"2013年02月05日17時05分","0","9","0","0","0","232","0","0","18","0","40"
"2013年02月05日17時10分","54","0","0","0","0","70","0","0","174","0","0"
"2013年02月05日17時15分","0","0","4","0","0","258","0","0","34","0","0"
"2013年02月05日17時20分","1","0","14","0","0","73","0","0","51","0","152"
"2013年02月05日17時25分","0","0","2","11","0","124","0","0","159","0","0"
"2013年02月05日17時30分","5","0","0","23","0","152","0","0","113","0","0"
"2013年02月05日17時35分","0","0","0","0","0","177","0","0","117","0","0"
"2013年02月05日17時40分","0","0","0","31","0","193","0","0","71","0","0"
"2013年02月05日17時45分","7","0","67","12","0","194","0","0","15","0","0"
"2013年02月05日17時50分","0","0","68","7","0","49","173","0","0","0","0"
"2013年02月05日17時55分","0","0","0","0","0","0","3","0","0","0","0"
"2013年02月05日18時00分","0","0","0","0","0","181","0","0","0","0","0"
"2013年02月05日18時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時10分","0","0","0","0","0","197","0","0","0","0","0"
"2013年02月05日18時15分","165","0","0","0","0","132","0","0","0","0","0"
"2013年02月05日18時20分","82","0","2","0","0","203","0","0","8","0","0"
"2013年02月05日18時25分","0","0","0","0","0","293","3","0","0","0","0"
"2013年02月05日18時30分","0","0","1","8","0","212","0","0","75","0","0"
"2013年02月05日18時35分","0","0","58","1","0","225","2","0","1","0","2"
"2013年02月05日18時40分","0","0","0","0","0","278","0","0","16","0","2"
"2013年02月05日18時45分","0","0","97","0","0","109","0","0","18","0","37"
"2013年02月05日18時50分","0","0","15","0","0","85","0","0","198","0","0"
"2013年02月05日18時55分","0","0","0","0","0","237","0","0","0","0","0"
"2013年02月05日19時00分","0","0","13","6","0","118","0","0","22","0","0"
"2013年02月05日19時05分","0","0","0","0","0","270","0","0","28","0","0"
"2013年02月05日19時10分","0","4","9","0","0","286","0","0","0","0","0"
"2013年02月05日19時15分","0","254","16","0","0","1","0","0","0","0","0"
"2013年02月05日19時20分","0","218","4","66","0","0","0","0","0","0","8"
"2013年02月05日19時25分","17","0","19","12","0","155","0","0","9","0","84"
"2013年02月05日19時30分","0","0","0","0","0","107","0","0","0","0","187"
"2013年02月05日19時35分","112","0","1","0","0","66","0","0","0","0","117"
"2013年02月06日16時30分","19","43","122","0","0","177","0","0","0","0","28"
"2013年02月06日16時35分","8","0","0","0","0","65","0","0","0","0","226"
"2013年02月06日16時40分","0","0","0","0","0","300","0","0","0","0","0"
"2013年02月06日16時45分","0","0","0","0","0","190","0","0","0","0","0"
"2013年02月06日16時50分","1","36","21","0","0","123","0","0","0","0","5"
"2013年02月06日16時55分","1","26","0","0","0","0","0","0","0","0","23"
"2013年02月06日17時00分","15","0","6","0","0","17","0","0","0","0","261"
"2013年02月06日17時05分","0","0","0","0","0","23","0","0","0","0","276"
"2013年02月06日17時10分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月06日17時15分","110","0","0","0","0","135","0","0","0","0","52"
"2013年02月06日17時20分","159","0","0","0","0","26","0","0","0","0","111"
"2013年02月06日17時25分","105","16","18","0","0","154","0","0","0","0","0"
"2013年02月06日17時30分","0","0","0","0","0","206","0","0","0","0","0"
"2013年02月06日17時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時40分","17","105","0","0","0","19","0","0","0","0","0"
