"","TaskPit - 打鍵回数","ブラウザ - 打鍵回数","メール - 打鍵回数","プログラミング - 打鍵回数","ワード - 打鍵回数","プレゼン編集 - 打鍵回数","エクセル - 打鍵回数","ファイル操作 - 打鍵回数","文書閲覧 - 打鍵回数","調査 - 打鍵回数","SQLサーバ - 打鍵回数","テスト - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月04日10時45分","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"2013年02月04日10時50分","0","8","0","0","0","0","2","0","0","0","0","0","0","0"
"2013年02月04日10時55分","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時00分","0","0","0","0","0","0","266","0","0","0","0","0","0","0"
"2013年02月04日11時05分","0","0","0","0","0","0","158","0","0","0","0","0","0","0"
"2013年02月04日11時10分","0","0","0","0","0","0","68","0","0","0","0","0","0","0"
"2013年02月04日11時15分","0","0","1","0","0","0","0","0","0","0","0","0","0","3"
"2013年02月04日11時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","54"
"2013年02月04日11時25分","0","0","1","0","0","0","29","0","0","0","0","0","0","46"
"2013年02月04日11時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月04日11時35分","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月04日11時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"2013年02月04日11時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"2013年02月04日11時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"2013年02月04日12時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時55分","0","0","5","0","0","0","0","0","0","0","0","0","0","11"
