"","TaskPit - 左クリック","ブラウザ - 左クリック","メール - 左クリック","プログラミング - 左クリック","ワード - 左クリック","プレゼン編集 - 左クリック","エクセル - 左クリック","ファイル操作 - 左クリック","文書閲覧 - 左クリック","調査 - 左クリック","SQLサーバ - 左クリック","テスト - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月04日10時45分","0","11","17","0","0","0","1","13","0","0","0","0","0","5"
"2013年02月04日10時50分","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時55分","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時00分","0","1","0","0","0","0","44","40","0","0","0","0","0","0"
"2013年02月04日11時05分","0","0","29","0","0","0","106","18","0","0","0","0","0","0"
"2013年02月04日11時10分","0","0","0","0","0","0","47","0","0","0","0","0","0","0"
"2013年02月04日11時15分","0","0","7","0","0","0","8","3","0","0","0","0","0","7"
"2013年02月04日11時20分","0","0","0","0","0","0","1","10","0","0","0","0","0","52"
"2013年02月04日11時25分","0","0","8","0","0","0","9","0","0","0","0","0","0","81"
"2013年02月04日11時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","32"
"2013年02月04日11時35分","0","0","7","0","0","0","0","0","0","0","0","0","0","96"
"2013年02月04日11時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","88"
"2013年02月04日11時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","135"
"2013年02月04日11時50分","0","0","3","0","0","0","1","2","0","0","0","0","0","97"
"2013年02月04日11時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時55分","0","1","9","0","0","0","0","1","0","0","0","0","0","21"
"2013年02月04日13時00分","0","0","16","0","0","0","0","1","0","17","0","0","0","18"
"2013年02月04日13時05分","0","0","0","0","0","0","0","0","0","5","0","0","0","14"
"2013年02月04日13時10分","0","20","17","0","0","0","35","0","0","0","0","0","0","0"
"2013年02月04日13時15分","0","0","0","0","0","0","84","14","0","0","0","0","0","1"
"2013年02月04日13時20分","0","12","0","0","0","0","85","10","0","0","0","0","0","0"
"2013年02月04日13時25分","0","6","19","0","0","0","6","25","0","2","0","2","0","37"
"2013年02月04日13時30分","0","20","23","0","0","0","6","0","0","0","0","7","0","18"
"2013年02月04日13時35分","0","23","0","0","0","0","1","17","2","0","0","0","0","1"
"2013年02月04日13時40分","0","0","0","0","0","0","6","48","0","0","0","0","0","3"
"2013年02月04日13時45分","0","0","5","0","0","0","6","11","0","0","0","12","0","13"
"2013年02月04日13時50分","0","0","4","0","0","0","14","0","0","0","0","0","0","6"
"2013年02月04日13時55分","0","2","0","0","0","0","10","38","0","0","0","16","0","19"
"2013年02月04日14時00分","0","0","0","0","0","0","0","0","0","0","0","60","0","0"
"2013年02月04日14時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時10分","0","0","0","0","0","0","0","0","0","0","0","38","0","0"
"2013年02月04日14時15分","0","0","0","0","0","0","0","0","0","0","0","68","0","0"
"2013年02月04日14時20分","0","0","0","0","0","0","17","51","0","0","0","57","0","3"
"2013年02月04日14時25分","0","2","0","0","0","0","60","17","0","0","0","32","0","0"
"2013年02月04日14時30分","0","0","0","0","0","0","90","0","0","0","0","0","0","0"
"2013年02月04日14時35分","0","0","0","0","0","0","157","1","0","1","0","0","0","0"
"2013年02月04日14時40分","0","10","0","0","0","0","22","30","0","0","0","0","0","0"
"2013年02月04日14時45分","0","0","0","0","0","0","68","24","0","3","0","1","0","10"
"2013年02月04日14時50分","0","0","0","0","0","0","6","72","0","0","0","0","0","9"
"2013年02月04日14時55分","0","0","0","0","0","0","12","57","0","0","0","0","0","0"
