"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"TaskPit","2013年02月04日10時37分39秒","2013年02月04日10時37分41秒","0","0","0"
"登録外","2013年02月04日10時37分41秒","2013年02月04日10時37分44秒","0","1","0"
"ファイル操作","2013年02月04日10時37分44秒","2013年02月04日10時37分45秒","1","0","0"
"登録外","2013年02月04日10時37分45秒","2013年02月04日10時37分52秒","2","0","0"
"ファイル操作","2013年02月04日10時37分52秒","2013年02月04日10時38分01秒","2","0","0"
"メール","2013年02月04日10時38分01秒","2013年02月04日10時38分02秒","0","0","0"
"メール","2013年02月04日10時38分02秒","2013年02月04日10時38分05秒","1","0","0"
"メール","2013年02月04日10時38分05秒","2013年02月04日10時38分09秒","5","0","0"
"メール","2013年02月04日10時38分09秒","2013年02月04日10時38分11秒","3","0","0"
"メール","2013年02月04日10時38分11秒","2013年02月04日10時38分12秒","0","0","0"
"メール","2013年02月04日10時38分12秒","2013年02月04日10時38分16秒","4","0","0"
"メール","2013年02月04日10時38分16秒","2013年02月04日10時38分20秒","4","0","0"
"ファイル操作","2013年02月04日10時38分20秒","2013年02月04日10時38分38秒","4","0","2"
"ファイル操作","2013年02月04日10時38分38秒","2013年02月04日10時38分41秒","1","0","0"
"ファイル操作","2013年02月04日10時38分41秒","2013年02月04日10時38分45秒","3","0","0"
"ファイル操作","2013年02月04日10時38分45秒","2013年02月04日10時38分50秒","2","0","0"
"エクセル","2013年02月04日10時38分50秒","2013年02月04日10時38分51秒","0","0","0"
"エクセル","2013年02月04日10時38分51秒","2013年02月04日10時38分52秒","1","0","0"
"ブラウザ","2013年02月04日10時38分54秒","2013年02月04日10時38分57秒","1","0","0"
"ブラウザ","2013年02月04日10時38分57秒","2013年02月04日10時39分03秒","1","0","0"
"ブラウザ","2013年02月04日10時39分03秒","2013年02月04日10時39分04秒","0","0","0"
"ブラウザ","2013年02月04日10時39分04秒","2013年02月04日10時39分07秒","0","0","0"
"ブラウザ","2013年02月04日10時39分07秒","2013年02月04日10時39分10秒","1","0","0"
"ブラウザ","2013年02月04日10時39分10秒","2013年02月04日10時39分13秒","0","0","0"
"ブラウザ","2013年02月04日10時39分13秒","2013年02月04日10時39分14秒","1","0","0"
"ブラウザ","2013年02月04日10時39分14秒","2013年02月04日10時39分15秒","0","0","0"
"ブラウザ","2013年02月04日10時39分15秒","2013年02月04日10時39分18秒","0","0","0"
