"","打鍵回数","左クリック","右クリック"
"2013年02月07日08時55分","9","0","0"
"2013年02月07日09時00分","0","0","0"
"2013年02月07日09時05分","12","0","0"
"2013年02月07日09時10分","0","0","0"
"2013年02月07日09時15分","0","0","0"
"2013年02月07日09時20分","0","0","0"
"2013年02月07日09時25分","0","0","0"
"2013年02月07日09時30分","15","0","0"
"2013年02月07日09時35分","8","0","0"
"2013年02月07日09時40分","0","0","0"
"2013年02月07日09時45分","1","0","0"
"2013年02月07日09時50分","0","0","0"
"2013年02月07日09時55分","0","0","0"
"2013年02月07日10時00分","1","0","0"
"2013年02月07日10時05分","84","0","0"
"2013年02月07日10時10分","58","0","0"
"2013年02月07日10時15分","283","0","0"
"2013年02月07日10時20分","1","0","0"
"2013年02月07日10時25分","74","0","0"
"2013年02月07日10時30分","16","0","0"
"2013年02月07日10時35分","3","0","0"
"2013年02月07日10時40分","17","0","0"
"2013年02月07日10時45分","19","0","0"
"2013年02月07日10時50分","12","0","0"
"2013年02月07日10時55分","24","0","0"
"2013年02月07日11時00分","37","0","0"
"2013年02月07日11時05分","0","0","0"
"2013年02月07日11時10分","0","0","0"
"2013年02月07日11時15分","0","0","0"
"2013年02月07日11時20分","0","0","0"
"2013年02月07日11時25分","0","0","0"
"2013年02月07日11時30分","0","0","0"
"2013年02月07日11時35分","0","0","0"
"2013年02月07日11時40分","0","0","0"
"2013年02月07日11時45分","0","0","0"
"2013年02月07日11時50分","0","0","0"
"2013年02月07日11時55分","0","0","0"
"2013年02月07日12時00分","0","0","0"
"2013年02月07日12時05分","0","0","0"
"2013年02月07日12時10分","0","0","0"
"2013年02月07日12時15分","0","0","0"
"2013年02月07日12時20分","0","0","0"
"2013年02月07日12時25分","0","0","0"
"2013年02月07日12時30分","0","0","0"
"2013年02月07日12時35分","0","0","0"
"2013年02月07日12時40分","0","0","0"
"2013年02月07日12時45分","0","0","0"
"2013年02月07日12時50分","0","0","0"
"2013年02月07日12時55分","0","0","0"
"2013年02月07日13時00分","0","0","0"
"2013年02月07日13時05分","0","0","0"
"2013年02月07日13時10分","0","0","0"
"2013年02月07日13時15分","0","0","0"
"2013年02月07日13時20分","0","0","0"
"2013年02月07日13時25分","0","0","0"
"2013年02月07日13時30分","0","0","0"
"2013年02月07日13時35分","38","0","0"
"2013年02月07日13時40分","0","0","0"
"2013年02月07日13時45分","9","0","0"
"2013年02月07日13時50分","11","0","0"
"2013年02月07日13時55分","4","0","0"
"2013年02月07日14時00分","0","0","0"
"2013年02月07日14時05分","27","0","0"
"2013年02月07日14時10分","139","0","0"
"2013年02月07日14時15分","22","0","0"
"2013年02月07日14時20分","17","0","0"
"2013年02月07日14時25分","108","0","0"
"2013年02月07日14時30分","54","0","0"
"2013年02月07日14時35分","11","0","0"
"2013年02月07日14時40分","13","0","0"
"2013年02月07日14時45分","13","0","0"
"2013年02月07日14時50分","14","0","0"
"2013年02月07日14時55分","0","0","0"
"2013年02月07日15時00分","7","0","0"
"2013年02月07日15時05分","3","0","0"
"2013年02月07日15時10分","0","0","0"
"2013年02月07日15時15分","0","0","0"
"2013年02月07日15時20分","0","0","0"
"2013年02月07日15時25分","16","0","0"
"2013年02月07日15時30分","0","0","0"
"2013年02月07日15時35分","14","0","0"
"2013年02月07日15時40分","57","0","0"
"2013年02月07日15時45分","187","0","0"
"2013年02月07日15時50分","7","0","0"
"2013年02月07日15時55分","0","0","0"
"2013年02月07日16時00分","16","0","0"
"2013年02月07日16時05分","67","0","0"
"2013年02月07日16時10分","2","0","0"
"2013年02月07日16時15分","0","0","0"
"2013年02月07日16時20分","1","0","0"
"2013年02月07日16時25分","12","0","0"
"2013年02月07日16時30分","10","0","0"
"2013年02月07日16時35分","18","0","0"
"2013年02月07日16時40分","0","0","0"
"2013年02月07日16時45分","22","0","0"
"2013年02月07日16時50分","1","0","0"
"2013年02月07日16時55分","1","0","0"
"2013年02月07日17時00分","1","0","0"
"2013年02月07日17時05分","60","0","0"
"2013年02月07日17時10分","1","0","0"
"2013年02月07日17時15分","1","0","0"
"2013年02月07日17時20分","1","0","0"
"2013年02月07日17時25分","15","0","0"
"2013年02月07日17時30分","14","0","0"
"2013年02月07日17時35分","17","0","0"
"2013年02月07日17時40分","12","0","0"
"2013年02月07日17時45分","0","0","0"
"2013年02月07日17時50分","0","0","0"
"2013年02月07日17時55分","6","0","0"
"2013年02月07日18時00分","29","0","0"
