"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"登録外","2013年02月07日08時53分19秒","2013年02月07日08時53分22秒","0","0","0"
"ファイル操作","2013年02月07日08時53分23秒","2013年02月07日08時53分23秒","0","0","1"
"ファイル操作","2013年02月07日08時53分23秒","2013年02月07日08時53分24秒","0","0","1"
"ファイル操作","2013年02月07日08時53分24秒","2013年02月07日08時53分30秒","0","0","1"
"ファイル操作","2013年02月07日08時53分30秒","2013年02月07日08時53分31秒","0","0","1"
"ファイル操作","2013年02月07日08時53分31秒","2013年02月07日08時53分41秒","0","0","0"
"登録外","2013年02月07日08時53分41秒","2013年02月07日08時53分43秒","0","0","0"
"登録外","2013年02月07日08時53分43秒","2013年02月07日08時53分50秒","0","0","0"
"登録外","2013年02月07日08時53分50秒","2013年02月07日08時54分00秒","0","0","0"
"登録外","2013年02月07日08時54分00秒","2013年02月07日08時54分02秒","0","0","0"
"登録外","2013年02月07日08時54分02秒","2013年02月07日08時54分20秒","0","0","0"
"登録外","2013年02月07日08時54分20秒","2013年02月07日08時54分25秒","0","0","4"
"登録外","2013年02月07日08時54分25秒","2013年02月07日08時54分28秒","0","0","0"
"登録外","2013年02月07日08時54分28秒","2013年02月07日08時54分30秒","0","0","0"
"登録外","2013年02月07日08時54分30秒","2013年02月07日08時54分35秒","0","0","0"
"登録外","2013年02月07日08時54分35秒","2013年02月07日08時54分36秒","0","0","0"
"登録外","2013年02月07日08時54分36秒","2013年02月07日08時54分38秒","0","0","0"
"登録外","2013年02月07日08時54分38秒","2013年02月07日08時54分40秒","0","0","0"
"登録外","2013年02月07日08時54分40秒","2013年02月07日08時54分42秒","0","0","0"
"登録外","2013年02月07日08時54分42秒","2013年02月07日08時54分43秒","0","0","0"
"登録外","2013年02月07日08時54分43秒","2013年02月07日08時55分00秒","0","0","0"
"登録外","2013年02月07日08時55分00秒","2013年02月07日08時55分06秒","0","0","0"
"ファイル操作","2013年02月07日08時55分12秒","2013年02月07日08時55分14秒","0","0","0"
"登録外","2013年02月07日08時55分14秒","2013年02月07日08時57分23秒","0","0","0"
"メール","2013年02月07日09時01分24秒","2013年02月07日09時01分26秒","0","0","1"
"メール","2013年02月07日09時01分26秒","2013年02月07日09時01分31秒","0","0","3"
"メール","2013年02月07日09時01分31秒","2013年02月07日09時01分39秒","0","0","2"
"ファイル操作","2013年02月07日09時01分39秒","2013年02月07日09時01分49秒","0","0","6"
"ファイル操作","2013年02月07日09時01分49秒","2013年02月07日09時01分52秒","0","0","0"
"ファイル操作","2013年02月07日09時01分52秒","2013年02月07日09時02分00秒","0","0","0"
"エクセル","2013年02月07日09時02分00秒","2013年02月07日09時02分01秒","0","0","0"
"エクセル","2013年02月07日09時02分01秒","2013年02月07日09時02分08秒","0","0","0"
"エクセル","2013年02月07日09時02分08秒","2013年02月07日09時02分09秒","0","0","0"
"エクセル","2013年02月07日09時02分09秒","2013年02月07日09時02分11秒","0","0","0"
"エクセル","2013年02月07日09時02分11秒","2013年02月07日09時02分12秒","0","0","0"
"ファイル操作","2013年02月07日09時02分12秒","2013年02月07日09時02分13秒","0","0","0"
"エクセル","2013年02月07日09時02分13秒","2013年02月07日09時02分14秒","0","0","0"
"エクセル","2013年02月07日09時02分14秒","2013年02月07日09時02分18秒","0","0","0"
"エクセル","2013年02月07日09時02分18秒","2013年02月07日09時02分19秒","0","0","0"
"エクセル","2013年02月07日09時02分19秒","2013年02月07日09時02分21秒","0","0","0"
"ファイル操作","2013年02月07日09時02分21秒","2013年02月07日09時02分33秒","0","0","0"
"登録外","2013年02月07日09時02分33秒","2013年02月07日09時02分35秒","0","0","0"
"登録外","2013年02月07日09時02分35秒","2013年02月07日09時04分41秒","0","0","0"
"登録外","2013年02月07日09時04分41秒","2013年02月07日09時04分42秒","0","0","0"
"登録外","2013年02月07日09時04分42秒","2013年02月07日09時04分49秒","0","0","0"
"テスト　","2013年02月07日09時29分41秒","2013年02月07日09時29分45秒","0","0","13"
"テスト　","2013年02月07日09時29分45秒","2013年02月07日09時29分50秒","0","0","2"
"テスト　","2013年02月07日09時29分50秒","2013年02月07日09時30分01秒","0","0","0"
"テスト　","2013年02月07日09時30分01秒","2013年02月07日09時30分02秒","0","0","0"
"ファイル操作","2013年02月07日09時30分02秒","2013年02月07日09時30分26秒","0","0","0"
"ファイル操作","2013年02月07日09時30分26秒","2013年02月07日09時30分38秒","0","0","0"
"エクセル","2013年02月07日09時30分38秒","2013年02月07日09時30分49秒","0","0","0"
"エクセル","2013年02月07日09時30分49秒","2013年02月07日09時32分51秒","0","0","0"
"登録外","2013年02月07日09時33分15秒","2013年02月07日09時33分23秒","0","0","8"
"登録外","2013年02月07日09時33分23秒","2013年02月07日09時34分37秒","0","0","0"
"エクセル","2013年02月07日09時34分37秒","2013年02月07日09時34分43秒","0","0","0"
"エクセル","2013年02月07日09時34分43秒","2013年02月07日09時34分55秒","0","0","0"
"登録外","2013年02月07日09時34分55秒","2013年02月07日09時34分56秒","0","0","0"
"登録外","2013年02月07日09時34分56秒","2013年02月07日09時35分01秒","0","0","0"
"登録外","2013年02月07日09時35分01秒","2013年02月07日09時36分19秒","0","0","0"
"メール","2013年02月07日09時43分59秒","2013年02月07日09時44分08秒","0","0","1"
"メール","2013年02月07日09時59分24秒","2013年02月07日09時59分27秒","0","0","1"
"登録外","2013年02月07日09時59分27秒","2013年02月07日09時59分32秒","0","0","0"
"登録外","2013年02月07日09時59分32秒","2013年02月07日10時00分02秒","0","0","0"
"登録外","2013年02月07日10時00分02秒","2013年02月07日10時01分44秒","0","0","0"
"登録外","2013年02月07日10時01分44秒","2013年02月07日10時01分45秒","0","0","0"
"登録外","2013年02月07日10時01分45秒","2013年02月07日10時02分18秒","0","0","0"
"登録外","2013年02月07日10時02分18秒","2013年02月07日10時02分19秒","0","0","0"
"登録外","2013年02月07日10時02分19秒","2013年02月07日10時02分25秒","0","0","0"
"ファイル操作","2013年02月07日10時03分55秒","2013年02月07日10時04分16秒","0","0","49"
"エクセル","2013年02月07日10時04分16秒","2013年02月07日10時05分02秒","0","0","35"
"エクセル","2013年02月07日10時05分02秒","2013年02月07日10時05分21秒","0","0","1"
"ファイル操作","2013年02月07日10時05分21秒","2013年02月07日10時05分26秒","0","0","0"
"ファイル操作","2013年02月07日10時05分26秒","2013年02月07日10時05分30秒","0","0","0"
"ファイル操作","2013年02月07日10時05分30秒","2013年02月07日10時05分33秒","0","0","0"
"エクセル","2013年02月07日10時05分33秒","2013年02月07日10時06分29秒","0","0","18"
"メール","2013年02月07日10時06分29秒","2013年02月07日10時06分35秒","0","0","2"
"登録外","2013年02月07日10時06分35秒","2013年02月07日10時06分47秒","0","0","0"
"ワード・パワポ","2013年02月07日10時06分47秒","2013年02月07日10時08分25秒","0","0","0"
"登録外","2013年02月07日10時08分25秒","2013年02月07日10時08分30秒","0","0","0"
"ファイル操作","2013年02月07日10時08分30秒","2013年02月07日10時08分31秒","0","0","0"
"エクセル","2013年02月07日10時08分33秒","2013年02月07日10時08分35秒","0","0","0"
"エクセル","2013年02月07日10時08分35秒","2013年02月07日10時08分37秒","0","0","0"
"ファイル操作","2013年02月07日10時08分37秒","2013年02月07日10時08分38秒","0","0","0"
"エクセル","2013年02月07日10時08分38秒","2013年02月07日10時08分39秒","0","0","0"
"エクセル","2013年02月07日10時08分39秒","2013年02月07日10時08分41秒","0","0","0"
"ファイル操作","2013年02月07日10時08分41秒","2013年02月07日10時08分49秒","0","0","0"
"ファイル操作","2013年02月07日10時08分49秒","2013年02月07日10時08分54秒","0","0","0"
"エクセル","2013年02月07日10時08分54秒","2013年02月07日10時09分16秒","0","0","0"
"ファイル操作","2013年02月07日10時09分17秒","2013年02月07日10時09分18秒","0","0","0"
"ファイル操作","2013年02月07日10時09分18秒","2013年02月07日10時09分19秒","0","0","0"
"エクセル","2013年02月07日10時09分19秒","2013年02月07日10時09分32秒","0","0","0"
"エクセル","2013年02月07日10時09分39秒","2013年02月07日10時10分02秒","0","0","37"
"エクセル","2013年02月07日10時10分02秒","2013年02月07日10時12分01秒","0","0","139"
"ファイル操作","2013年02月07日10時12分01秒","2013年02月07日10時12分06秒","0","0","0"
