"","打鍵回数","左クリック","右クリック"
"2013年02月05日09時10分","0","0","0"
"2013年02月05日09時15分","0","0","0"
"2013年02月05日09時20分","0","0","0"
"2013年02月05日09時25分","17","0","0"
"2013年02月05日09時30分","38","0","0"
"2013年02月05日09時35分","98","0","0"
"2013年02月05日09時40分","3","0","0"
"2013年02月05日09時45分","0","0","0"
"2013年02月05日09時50分","0","0","0"
"2013年02月05日09時55分","1","0","0"
"2013年02月05日10時00分","1","0","0"
"2013年02月05日10時05分","1","0","0"
"2013年02月05日10時10分","14","0","0"
"2013年02月05日10時15分","6","0","0"
"2013年02月05日10時20分","0","0","0"
"2013年02月05日10時25分","8","0","0"
"2013年02月05日10時30分","74","0","0"
"2013年02月05日10時35分","89","0","0"
"2013年02月05日10時40分","92","0","0"
"2013年02月05日10時45分","111","0","0"
"2013年02月05日10時50分","29","0","0"
"2013年02月05日10時55分","47","0","0"
"2013年02月05日11時00分","100","0","0"
"2013年02月05日11時05分","88","0","0"
"2013年02月05日11時10分","121","0","0"
"2013年02月05日11時15分","47","0","0"
"2013年02月05日11時20分","16","0","0"
"2013年02月05日11時25分","27","0","0"
"2013年02月05日11時30分","50","0","0"
"2013年02月05日11時35分","3","0","0"
"2013年02月05日11時40分","0","0","0"
"2013年02月05日11時45分","0","0","0"
"2013年02月05日11時50分","0","0","0"
"2013年02月05日11時55分","0","0","0"
"2013年02月05日12時00分","0","0","0"
"2013年02月05日12時05分","0","0","0"
"2013年02月05日12時10分","0","0","0"
"2013年02月05日12時15分","0","0","0"
"2013年02月05日12時20分","0","0","0"
"2013年02月05日12時25分","5","0","0"
"2013年02月05日12時30分","0","0","0"
"2013年02月05日12時35分","0","0","0"
"2013年02月05日12時40分","0","0","0"
"2013年02月05日12時45分","0","0","0"
"2013年02月05日12時50分","0","0","0"
"2013年02月05日12時55分","6","0","0"
"2013年02月05日13時00分","10","0","0"
"2013年02月05日13時05分","1","0","0"
"2013年02月05日13時10分","0","0","0"
"2013年02月05日13時15分","0","0","0"
"2013年02月05日13時20分","3","0","0"
"2013年02月05日13時25分","8","0","0"
"2013年02月05日13時30分","15","0","0"
"2013年02月05日13時35分","43","0","0"
"2013年02月05日13時40分","44","0","0"
"2013年02月05日13時45分","26","0","0"
"2013年02月05日13時50分","166","0","0"
"2013年02月05日13時55分","63","0","0"
"2013年02月05日14時00分","104","0","0"
"2013年02月05日14時05分","157","0","0"
"2013年02月05日14時10分","147","0","0"
"2013年02月05日14時15分","60","0","0"
"2013年02月05日14時20分","8","0","0"
"2013年02月05日14時25分","14","0","0"
"2013年02月05日14時30分","0","0","0"
"2013年02月05日14時35分","1","0","0"
"2013年02月05日14時40分","5","0","0"
"2013年02月05日14時45分","14","0","0"
"2013年02月05日14時50分","35","0","0"
"2013年02月05日14時55分","12","0","0"
"2013年02月05日15時00分","134","0","0"
"2013年02月05日15時05分","31","0","0"
"2013年02月05日15時10分","159","0","0"
"2013年02月05日15時15分","7","0","0"
"2013年02月05日15時20分","31","0","0"
"2013年02月05日15時25分","25","0","0"
"2013年02月05日15時30分","7","0","0"
