"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"TaskPit","2013年02月05日09時05分31秒","2013年02月05日09時05分39秒","0","0","0"
"ファイル操作","2013年02月05日09時05分39秒","2013年02月05日09時05分40秒","0","0","0"
"ファイル操作","2013年02月05日09時05分40秒","2013年02月05日09時05分45秒","0","0","0"
"ファイル操作","2013年02月05日09時05分45秒","2013年02月05日09時05分47秒","0","0","0"
"ファイル操作","2013年02月05日09時05分47秒","2013年02月05日09時05分55秒","0","0","0"
"エクセル","2013年02月05日09時05分55秒","2013年02月05日09時05分59秒","0","0","0"
"エクセル","2013年02月05日09時05分59秒","2013年02月05日09時06分01秒","0","0","0"
"ファイル操作","2013年02月05日09時06分01秒","2013年02月05日09時06分03秒","0","0","0"
"登録外","2013年02月05日09時06分03秒","2013年02月05日09時06分07秒","0","0","0"
"登録外","2013年02月05日09時06分07秒","2013年02月05日09時06分10秒","0","0","0"
"登録外","2013年02月05日09時06分10秒","2013年02月05日09時07分48秒","0","0","0"
"登録外","2013年02月05日09時07分48秒","2013年02月05日09時07分49秒","0","0","0"
"登録外","2013年02月05日09時07分49秒","2013年02月05日09時08分31秒","0","0","0"
"テスト　","2013年02月05日09時22分59秒","2013年02月05日09時23分05秒","0","0","13"
"テスト　","2013年02月05日09時23分05秒","2013年02月05日09時23分10秒","0","0","0"
"ファイル操作","2013年02月05日09時23分10秒","2013年02月05日09時23分23秒","0","0","0"
"ファイル操作","2013年02月05日09時23分23秒","2013年02月05日09時23分25秒","0","0","0"
"エクセル","2013年02月05日09時23分25秒","2013年02月05日09時23分40秒","0","0","0"
"ファイル操作","2013年02月05日09時23分40秒","2013年02月05日09時23分47秒","0","0","0"
"ファイル操作","2013年02月05日09時23分47秒","2013年02月05日09時23分56秒","0","0","0"
"エクセル","2013年02月05日09時23分56秒","2013年02月05日09時24分19秒","0","0","0"
"メール","2013年02月05日09時24分19秒","2013年02月05日09時24分21秒","0","0","0"
"メール","2013年02月05日09時24分21秒","2013年02月05日09時24分48秒","0","0","1"
"メール","2013年02月05日09時24分48秒","2013年02月05日09時24分54秒","0","0","3"
"登録外","2013年02月05日09時24分54秒","2013年02月05日09時24分56秒","0","0","0"
"テスト　","2013年02月05日09時24分56秒","2013年02月05日09時25分00秒","0","0","0"
"テスト　","2013年02月05日09時25分00秒","2013年02月05日09時25分08秒","0","0","0"
"ファイル操作","2013年02月05日09時25分08秒","2013年02月05日09時25分12秒","0","0","0"
