"","打鍵回数","左クリック","右クリック"
"2013年02月06日09時20分","216","20","1"
"2013年02月06日09時25分","149","23","0"
"2013年02月06日09時30分","319","70","0"
"2013年02月06日09時35分","89","99","0"
"2013年02月06日09時40分","0","0","0"
"2013年02月06日09時45分","0","0","0"
"2013年02月06日09時50分","0","0","0"
"2013年02月06日09時55分","0","0","0"
"2013年02月06日10時00分","0","0","0"
"2013年02月06日10時05分","78","10","0"
"2013年02月06日10時10分","288","77","3"
"2013年02月06日10時15分","246","90","0"
"2013年02月06日10時20分","187","61","1"
"2013年02月06日10時25分","347","94","3"
"2013年02月06日10時30分","50","63","0"
"2013年02月06日10時35分","12","64","0"
"2013年02月06日10時40分","4","75","0"
"2013年02月06日10時45分","89","75","0"
"2013年02月06日10時50分","91","48","0"
"2013年02月06日10時55分","536","32","0"
"2013年02月06日11時00分","247","41","0"
"2013年02月06日11時05分","0","0","0"
"2013年02月06日11時10分","79","25","0"
"2013年02月06日11時15分","158","109","1"
"2013年02月06日11時20分","259","115","0"
"2013年02月06日11時25分","76","146","6"
"2013年02月06日11時30分","33","25","0"
"2013年02月06日11時35分","130","95","1"
"2013年02月06日11時40分","75","85","1"
"2013年02月06日11時45分","30","17","0"
"2013年02月06日11時50分","10","16","0"
"2013年02月06日11時55分","702","66","0"
"2013年02月06日12時00分","431","32","1"
"2013年02月06日12時05分","12","37","0"
"2013年02月06日12時10分","138","48","3"
"2013年02月06日12時15分","105","6","0"
"2013年02月06日12時20分","88","31","0"
"2013年02月06日12時25分","2","22","0"
"2013年02月06日12時30分","8","26","0"
"2013年02月06日12時35分","6","24","0"
"2013年02月06日12時40分","0","0","0"
"2013年02月06日12時45分","0","0","0"
"2013年02月06日12時50分","0","0","0"
"2013年02月06日12時55分","0","0","0"
"2013年02月06日13時00分","0","0","0"
"2013年02月06日13時05分","0","0","0"
"2013年02月06日13時10分","0","0","0"
"2013年02月06日13時15分","0","0","0"
"2013年02月06日13時20分","0","0","0"
"2013年02月06日13時25分","0","0","0"
"2013年02月06日13時30分","0","0","0"
"2013年02月06日13時40分","355","20","0"
"2013年02月06日13時45分","689","31","0"
"2013年02月06日13時50分","138","52","0"
"2013年02月06日13時55分","158","26","0"
"2013年02月06日14時00分","430","27","0"
"2013年02月06日14時05分","191","34","0"
"2013年02月06日14時10分","512","37","0"
"2013年02月06日14時15分","0","21","0"
"2013年02月06日14時20分","198","39","0"
"2013年02月06日14時25分","58","31","0"
"2013年02月06日14時30分","5","33","0"
"2013年02月06日14時35分","280","23","0"
"2013年02月06日14時40分","17","33","0"
"2013年02月06日14時45分","409","49","0"
"2013年02月06日14時50分","682","42","1"
"2013年02月06日14時55分","242","31","0"
"2013年02月06日15時00分","432","54","0"
"2013年02月06日15時05分","3","34","0"
"2013年02月06日15時10分","11","47","0"
"2013年02月06日15時15分","4","40","1"
"2013年02月06日15時20分","12","69","1"
"2013年02月06日15時25分","60","48","3"
"2013年02月06日15時30分","98","132","0"
"2013年02月06日15時35分","132","86","2"
"2013年02月06日15時40分","71","78","1"
"2013年02月06日15時45分","187","15","0"
"2013年02月06日15時50分","14","7","0"
"2013年02月06日15時55分","110","48","0"
"2013年02月06日16時00分","30","32","0"
"2013年02月06日16時05分","78","74","0"
"2013年02月06日16時10分","2","11","0"
"2013年02月06日16時15分","25","48","0"
"2013年02月06日16時20分","276","61","0"
"2013年02月06日16時25分","555","74","2"
"2013年02月06日16時30分","74","79","2"
"2013年02月06日16時35分","0","34","2"
"2013年02月06日16時40分","31","21","0"
"2013年02月06日16時45分","16","62","0"
"2013年02月06日16時50分","50","80","1"
"2013年02月06日16時55分","80","90","2"
"2013年02月06日17時00分","56","52","5"
"2013年02月06日17時05分","10","57","2"
"2013年02月07日09時05分","3","33","0"
"2013年02月07日09時10分","14","61","0"
"2013年02月07日09時15分","416","36","0"
"2013年02月07日09時20分","68","34","0"
"2013年02月07日09時25分","277","30","0"
"2013年02月07日09時30分","508","25","0"
"2013年02月07日09時35分","443","45","1"
"2013年02月07日09時40分","161","7","0"
"2013年02月07日09時45分","21","58","0"
"2013年02月07日09時50分","17","35","0"
"2013年02月07日09時55分","6","26","0"
"2013年02月07日10時00分","51","21","1"
"2013年02月07日10時05分","171","54","2"
"2013年02月07日10時10分","156","58","1"
"2013年02月07日10時15分","169","71","1"
"2013年02月07日10時20分","186","88","3"
"2013年02月07日10時25分","132","92","6"
"2013年02月07日10時30分","76","125","1"
"2013年02月07日10時35分","65","85","2"
"2013年02月07日10時40分","27","54","2"
"2013年02月07日10時45分","8","22","1"
"2013年02月07日10時50分","1","19","0"
"2013年02月07日10時55分","42","51","1"
"2013年02月07日11時00分","174","32","3"
"2013年02月07日11時05分","1","25","0"
"2013年02月07日11時10分","0","5","0"
"2013年02月07日11時15分","26","16","0"
"2013年02月07日11時20分","40","4","0"
"2013年02月07日11時25分","10","10","0"
"2013年02月07日11時30分","0","25","1"
"2013年02月07日11時35分","0","12","0"
"2013年02月07日11時40分","0","13","0"
"2013年02月07日11時45分","29","37","2"
"2013年02月07日11時50分","194","123","1"
"2013年02月07日11時55分","0","2","0"
"2013年02月07日12時00分","0","0","0"
"2013年02月07日12時05分","67","18","0"
"2013年02月07日12時10分","293","36","1"
"2013年02月07日12時15分","1","7","0"
"2013年02月07日12時20分","10","23","1"
"2013年02月07日12時25分","0","26","1"
"2013年02月07日12時30分","14","74","0"
"2013年02月07日13時20分","0","5","0"
"2013年02月07日13時25分","0","0","0"
"2013年02月07日13時30分","14","20","0"
"2013年02月07日13時35分","0","1","0"
"2013年02月07日13時40分","52","12","0"
"2013年02月07日13時45分","50","36","0"
"2013年02月07日13時50分","81","58","1"
"2013年02月07日13時55分","46","105","3"
"2013年02月07日14時00分","141","34","0"
"2013年02月07日14時05分","90","58","0"
"2013年02月07日14時10分","118","39","0"
"2013年02月07日14時15分","7","92","0"
"2013年02月07日14時20分","13","90","2"
"2013年02月07日14時25分","33","69","4"
"2013年02月07日14時30分","5","37","1"
"2013年02月07日14時35分","127","64","0"
"2013年02月07日14時40分","94","68","0"
"2013年02月07日14時45分","29","21","0"
"2013年02月07日14時50分","130","34","0"
"2013年02月07日14時55分","122","40","0"
"2013年02月07日15時00分","61","33","5"
"2013年02月07日15時05分","5","48","2"
"2013年02月07日15時10分","8","42","0"
"2013年02月07日15時15分","0","20","0"
"2013年02月07日15時20分","0","0","0"
"2013年02月07日15時25分","17","43","0"
"2013年02月07日15時30分","1","0","0"
"2013年02月07日15時35分","15","6","0"
"2013年02月07日15時40分","18","16","0"
"2013年02月07日15時45分","16","13","0"
"2013年02月07日15時50分","52","41","0"
"2013年02月07日15時55分","2","9","0"
"2013年02月07日16時00分","19","36","0"
"2013年02月07日16時05分","18","47","2"
"2013年02月07日16時10分","27","22","6"
"2013年02月07日16時15分","1","8","0"
"2013年02月07日16時20分","5","27","0"
"2013年02月07日16時25分","0","0","0"
"2013年02月07日16時30分","58","53","8"
"2013年02月07日16時35分","100","33","0"
"2013年02月07日16時40分","52","82","0"
"2013年02月07日16時45分","5","36","1"
"2013年02月07日16時50分","52","30","0"
"2013年02月07日16時55分","5","10","0"
"2013年02月07日17時00分","1","7","0"
"2013年02月08日09時05分","22","0","0"
"2013年02月08日09時10分","63","0","0"
"2013年02月08日09時15分","81","0","0"
"2013年02月08日09時20分","208","0","0"
"2013年02月08日09時25分","42","0","0"
"2013年02月08日09時30分","5","0","0"
"2013年02月08日09時35分","34","0","0"
"2013年02月08日09時40分","0","0","0"
"2013年02月08日09時45分","31","0","0"
"2013年02月08日09時50分","58","0","0"
"2013年02月08日09時55分","4","0","0"
"2013年02月08日10時00分","51","0","0"
"2013年02月08日10時05分","62","0","0"
"2013年02月08日10時10分","244","0","0"
"2013年02月08日10時15分","71","0","0"
"2013年02月08日10時20分","67","0","0"
"2013年02月08日10時25分","14","0","0"
"2013年02月08日10時30分","3","0","0"
"2013年02月08日10時35分","66","0","0"
"2013年02月08日10時40分","279","0","0"
"2013年02月08日10時45分","421","0","0"
"2013年02月08日10時50分","204","0","0"
"2013年02月08日10時55分","42","0","0"
"2013年02月08日11時00分","6","0","0"
"2013年02月08日11時05分","68","0","0"
"2013年02月08日11時10分","94","0","0"
"2013年02月08日11時15分","541","0","0"
"2013年02月08日11時20分","4","0","0"
"2013年02月08日11時25分","1","0","0"
"2013年02月08日11時30分","0","0","0"
"2013年02月08日11時35分","12","0","0"
"2013年02月08日11時40分","19","0","0"
"2013年02月08日11時45分","104","0","0"
"2013年02月08日11時50分","7","0","0"
"2013年02月08日11時55分","59","0","0"
"2013年02月08日12時00分","5","0","0"
"2013年02月08日12時05分","0","0","0"
"2013年02月08日12時10分","0","0","0"
"2013年02月08日12時15分","24","0","0"
"2013年02月08日12時20分","90","0","0"
"2013年02月08日12時25分","2","0","0"
"2013年02月08日12時30分","63","0","0"
"2013年02月08日12時35分","4","0","0"
"2013年02月08日12時40分","34","0","0"
"2013年02月08日12時45分","0","0","0"
"2013年02月08日12時50分","0","0","0"
"2013年02月08日12時55分","0","0","0"
"2013年02月08日13時00分","0","0","0"
"2013年02月08日13時05分","0","0","0"
"2013年02月08日13時10分","0","0","0"
"2013年02月08日13時15分","0","0","0"
"2013年02月08日13時20分","0","0","0"
"2013年02月08日13時25分","0","0","0"
"2013年02月08日13時30分","0","0","0"
"2013年02月08日13時35分","0","0","0"
"2013年02月08日13時40分","0","0","0"
"2013年02月08日13時45分","46","0","0"
"2013年02月08日13時50分","3","0","0"
"2013年02月08日13時55分","67","0","0"
"2013年02月08日14時00分","0","0","0"
"2013年02月08日14時05分","0","0","0"
"2013年02月12日09時05分","6","0","0"
"2013年02月12日09時10分","91","0","0"
"2013年02月12日09時15分","153","0","0"
"2013年02月12日09時20分","180","0","0"
"2013年02月12日09時25分","135","0","0"
"2013年02月12日09時30分","37","0","0"
"2013年02月12日09時35分","68","0","0"
"2013年02月12日09時40分","52","0","0"
"2013年02月12日09時45分","497","0","0"
"2013年02月12日09時50分","257","0","0"
"2013年02月12日09時55分","453","0","0"
"2013年02月12日10時00分","482","0","0"
"2013年02月12日10時05分","567","0","0"
"2013年02月12日10時10分","310","0","0"
"2013年02月12日10時15分","10","0","0"
"2013年02月12日10時20分","63","0","0"
"2013年02月12日10時25分","538","0","0"
"2013年02月12日10時30分","88","0","0"
"2013年02月12日10時35分","230","0","0"
"2013年02月12日10時40分","475","0","0"
"2013年02月12日10時45分","0","0","0"
"2013年02月12日10時50分","40","0","0"
"2013年02月12日10時55分","30","0","0"
"2013年02月12日11時00分","78","0","0"
"2013年02月12日11時05分","123","0","0"
"2013年02月12日11時10分","59","0","0"
"2013年02月12日11時15分","56","0","0"
"2013年02月12日11時20分","12","0","0"
"2013年02月12日11時25分","15","0","0"
"2013年02月12日11時30分","35","0","0"
"2013年02月12日11時35分","69","0","0"
"2013年02月12日11時40分","2","0","0"
"2013年02月12日11時45分","56","0","0"
"2013年02月12日11時50分","53","0","0"
"2013年02月12日11時55分","41","0","0"
"2013年02月12日12時00分","56","0","0"
"2013年02月12日12時05分","1","0","0"
"2013年02月12日12時10分","26","0","0"
"2013年02月12日12時15分","6","0","0"
"2013年02月12日12時20分","19","0","0"
"2013年02月12日12時25分","0","0","0"
"2013年02月12日12時30分","4","0","0"
"2013年02月12日12時35分","0","0","0"
"2013年02月12日12時40分","0","0","0"
"2013年02月12日12時45分","0","0","0"
"2013年02月12日12時50分","0","0","0"
"2013年02月12日12時55分","28","0","0"
"2013年02月12日13時00分","0","0","0"
"2013年02月12日13時05分","0","0","0"
"2013年02月12日13時10分","0","0","0"
"2013年02月12日13時15分","0","0","0"
"2013年02月12日13時20分","0","0","0"
"2013年02月12日13時25分","0","0","0"
"2013年02月12日13時30分","0","0","0"
"2013年02月12日13時35分","0","0","0"
"2013年02月12日13時40分","4","0","0"
"2013年02月12日13時45分","123","0","0"
"2013年02月12日13時50分","503","0","0"
"2013年02月12日13時55分","448","0","0"
"2013年02月12日14時00分","13","0","0"
"2013年02月12日14時05分","92","0","0"
"2013年02月12日14時10分","33","0","0"
"2013年02月12日14時15分","11","0","0"
"2013年02月12日14時20分","366","0","0"
"2013年02月12日14時25分","19","0","0"
"2013年02月12日14時30分","4","0","0"
"2013年02月12日14時35分","14","0","0"
"2013年02月12日14時40分","132","0","0"
"2013年02月12日14時45分","130","0","0"
"2013年02月12日14時50分","648","0","0"
"2013年02月12日14時55分","381","0","0"
"2013年02月12日15時00分","0","0","0"
"2013年02月12日15時05分","48","0","0"
"2013年02月12日15時10分","4","0","0"
"2013年02月12日15時15分","59","0","0"
"2013年02月12日15時20分","151","0","0"
"2013年02月12日15時25分","0","0","0"
"2013年02月12日15時30分","109","0","0"
"2013年02月12日15時35分","382","0","0"
"2013年02月12日15時40分","344","0","0"
"2013年02月12日15時45分","71","0","0"
"2013年02月12日15時50分","3","0","0"
"2013年02月12日15時55分","167","0","0"
"2013年02月12日16時00分","144","0","0"
"2013年02月12日16時05分","0","0","0"
"2013年02月12日16時10分","0","0","0"
"2013年02月12日16時15分","0","0","0"
"2013年02月12日16時20分","189","0","0"
"2013年02月12日16時25分","231","0","0"
