"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月06日09時20分","0","216","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時25分","53","96","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時30分","2","317","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時35分","63","4","4","0","0","18","0","0","0","0","0"
"2013年02月06日09時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時05分","0","78","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時10分","0","204","10","0","0","66","8","0","0","0","0"
"2013年02月06日10時15分","0","0","43","0","0","180","23","0","0","0","0"
"2013年02月06日10時20分","0","4","35","0","0","129","19","0","0","0","0"
"2013年02月06日10時25分","0","250","79","0","0","0","0","0","0","0","18"
"2013年02月06日10時30分","0","48","0","0","0","2","0","0","0","0","0"
"2013年02月06日10時35分","2","0","10","0","0","0","0","0","0","0","0"
"2013年02月06日10時40分","2","2","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時45分","0","0","1","0","0","82","0","0","0","0","6"
"2013年02月06日10時50分","20","0","1","0","0","69","1","0","0","0","0"
"2013年02月06日10時55分","433","8","0","0","0","93","2","0","0","0","0"
"2013年02月06日11時00分","228","0","10","0","0","0","0","0","0","0","9"
"2013年02月06日11時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時10分","79","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時15分","0","0","29","0","0","125","4","0","0","0","0"
"2013年02月06日11時20分","0","0","23","0","0","236","0","0","0","0","0"
"2013年02月06日11時25分","0","0","0","0","0","76","0","0","0","0","0"
"2013年02月06日11時30分","0","0","0","0","0","39","0","0","0","0","0"
"2013年02月06日11時35分","0","0","81","0","0","49","0","0","0","0","0"
"2013年02月06日11時40分","0","0","10","0","0","43","22","0","0","0","0"
"2013年02月06日11時45分","0","2","11","0","0","0","3","0","0","0","14"
"2013年02月06日11時50分","10","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時55分","0","646","3","0","0","12","0","0","0","0","41"
"2013年02月06日12時00分","0","0","28","0","0","55","348","0","0","0","0"
"2013年02月06日12時05分","10","0","2","0","0","0","0","0","0","0","0"
"2013年02月06日12時10分","0","0","10","0","0","0","128","0","0","0","0"
"2013年02月06日12時15分","32","0","0","0","0","0","73","0","0","0","0"
"2013年02月06日12時20分","88","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時25分","0","0","0","0","0","0","2","0","0","0","0"
"2013年02月06日12時30分","0","0","0","0","0","0","8","0","0","0","0"
"2013年02月06日12時35分","0","0","6","0","0","0","0","0","0","0","0"
"2013年02月06日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時40分","355","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時45分","689","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時50分","138","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時55分","27","131","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時00分","28","400","2","0","0","0","0","0","0","0","0"
"2013年02月06日14時05分","25","166","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時10分","24","488","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時20分","7","191","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時25分","5","52","1","0","0","0","0","0","0","0","0"
"2013年02月06日14時30分","1","0","4","0","0","0","0","0","0","0","0"
"2013年02月06日14時35分","0","280","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時40分","17","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時45分","9","396","4","0","0","0","0","0","0","0","0"
"2013年02月06日14時50分","0","653","29","0","0","0","0","0","0","0","0"
"2013年02月06日14時55分","0","241","1","0","0","0","0","0","0","0","0"
"2013年02月06日15時00分","0","383","0","0","0","49","0","0","0","0","0"
"2013年02月06日15時05分","0","0","3","0","0","0","0","0","0","0","0"
"2013年02月06日15時10分","0","0","11","0","0","0","0","0","0","0","0"
"2013年02月06日15時15分","0","0","2","0","0","2","0","0","0","0","0"
"2013年02月06日15時20分","0","0","2","0","0","10","0","0","0","0","0"
"2013年02月06日15時25分","0","0","0","0","0","23","0","0","0","0","37"
"2013年02月06日15時30分","33","0","0","0","0","65","0","0","0","0","0"
"2013年02月06日15時35分","2","0","4","0","0","113","0","0","0","0","13"
"2013年02月06日15時40分","0","0","0","0","0","67","0","0","0","0","4"
"2013年02月06日15時45分","0","0","19","0","0","109","0","0","0","0","59"
"2013年02月06日15時50分","0","0","0","0","0","14","0","0","0","0","0"
"2013年02月06日15時55分","0","0","13","0","0","99","0","0","0","0","0"
"2013年02月06日16時00分","27","0","1","0","0","0","0","0","0","0","2"
"2013年02月06日16時05分","20","0","13","0","0","0","0","0","10","0","35"
"2013年02月06日16時10分","0","0","2","0","0","0","0","0","0","0","0"
"2013年02月06日16時15分","0","0","4","0","0","20","0","0","0","0","1"
"2013年02月06日16時20分","0","0","9","0","0","267","0","0","0","0","0"
"2013年02月06日16時25分","0","0","16","0","0","539","0","0","0","0","0"
"2013年02月06日16時30分","0","0","2","0","0","72","0","0","0","0","0"
"2013年02月06日16時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時40分","31","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時45分","0","0","16","0","0","0","0","0","0","0","0"
"2013年02月06日16時50分","12","0","33","0","0","3","0","0","2","0","0"
"2013年02月06日16時55分","0","0","76","0","0","2","0","0","2","0","0"
"2013年02月06日17時00分","16","0","9","2","0","0","0","0","0","0","29"
"2013年02月06日17時05分","4","0","3","2","0","0","0","0","1","0","0"
"2013年02月07日09時05分","0","3","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時10分","0","0","12","0","0","0","2","0","0","0","0"
"2013年02月07日09時15分","0","416","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時20分","0","68","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時25分","0","276","1","0","0","0","0","0","0","0","0"
"2013年02月07日09時30分","0","508","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時35分","0","442","0","0","0","1","0","0","0","0","0"
"2013年02月07日09時40分","0","161","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時45分","0","20","1","0","0","0","0","0","0","0","0"
"2013年02月07日09時50分","0","0","0","0","0","0","6","0","0","0","11"
"2013年02月07日09時55分","0","1","5","0","0","0","0","0","0","0","0"
"2013年02月07日10時00分","0","0","0","0","0","51","0","0","0","0","0"
"2013年02月07日10時05分","0","0","47","0","0","64","0","0","0","0","111"
"2013年02月07日10時10分","23","0","3","0","0","4","0","0","87","0","39"
"2013年02月07日10時15分","0","0","1","46","0","7","0","0","25","0","90"
"2013年02月07日10時20分","0","0","39","143","0","3","0","0","1","0","0"
"2013年02月07日10時25分","0","0","41","14","0","0","0","0","0","0","77"
"2013年02月07日10時30分","0","0","62","0","0","0","0","0","0","0","14"
"2013年02月07日10時35分","0","0","17","29","0","2","0","0","15","0","2"
"2013年02月07日10時40分","0","0","8","9","0","0","0","0","1","0","9"
"2013年02月07日10時45分","0","0","7","0","0","0","0","0","1","0","0"
"2013年02月07日10時50分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月07日10時55分","1","0","34","7","0","0","0","0","0","0","0"
"2013年02月07日11時00分","0","0","22","142","0","0","0","0","0","0","10"
"2013年02月07日11時05分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月07日11時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時15分","26","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時20分","40","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時25分","2","0","0","0","0","0","0","0","8","0","0"
"2013年02月07日11時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時45分","1","0","2","21","0","0","0","0","5","0","0"
"2013年02月07日11時50分","77","0","27","59","0","0","0","0","22","0","9"
"2013年02月07日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時05分","0","67","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時10分","1","292","0","0","0","0","0","0","0","0","0"
