"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月06日09時20分","0","262","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時25分","183","112","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時30分","71","223","1","1","0","0","0","0","0","0","0"
"2013年02月06日09時35分","44","62","48","0","0","142","0","0","0","0","0"
"2013年02月06日09時40分","0","0","0","0","0","96","0","0","0","0","0"
"2013年02月06日09時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時05分","8","37","0","0","0","4","0","0","0","0","0"
"2013年02月06日10時10分","4","146","38","0","0","71","38","0","0","0","0"
"2013年02月06日10時15分","0","4","59","0","0","167","65","0","0","0","0"
"2013年02月06日10時20分","54","22","45","0","0","114","59","0","0","0","0"
"2013年02月06日10時25分","0","156","127","0","0","1","0","0","0","0","10"
"2013年02月06日10時30分","6","112","127","2","0","42","0","0","0","0","0"
"2013年02月06日10時35分","20","40","56","0","0","169","13","0","0","0","0"
"2013年02月06日10時40分","8","258","0","0","0","16","16","0","0","0","0"
"2013年02月06日10時45分","36","14","33","0","0","205","0","0","0","0","7"
"2013年02月06日10時50分","42","35","17","0","0","169","34","0","0","0","0"
"2013年02月06日10時55分","193","19","5","0","0","76","5","0","0","0","0"
"2013年02月06日11時00分","214","10","14","0","0","9","4","0","0","0","39"
"2013年02月06日11時05分","0","0","0","0","0","0","0","0","0","0","142"
"2013年02月06日11時10分","208","0","63","0","0","0","0","0","0","0","2"
"2013年02月06日11時15分","0","25","78","0","0","167","25","0","0","0","0"
"2013年02月06日11時20分","0","0","53","0","0","243","0","0","0","0","0"
"2013年02月06日11時25分","0","0","0","0","0","299","0","0","0","0","0"
"2013年02月06日11時30分","0","0","3","0","0","277","0","0","0","0","0"
"2013年02月06日11時35分","22","0","79","0","0","193","0","0","0","0","0"
"2013年02月06日11時40分","0","1","76","0","0","166","53","0","0","0","0"
"2013年02月06日11時45分","0","79","20","0","0","35","153","0","0","0","12"
"2013年02月06日11時50分","141","42","0","0","0","0","114","0","0","0","0"
"2013年02月06日11時55分","0","183","31","0","0","37","21","0","0","0","24"
"2013年02月06日12時00分","0","0","49","0","0","101","149","0","0","0","0"
